time,Milwaukee,pts.away,score,pts.home,Philadelphia
3:44.0,,,94-90,,Defensive rebound by N. Noel
3:37.0,,,94-90,,I. Smith misses 2-pt shot from 1 ft
3:35.0,,,94-90,,Offensive rebound by I. Smith
3:34.0,,,94-92,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
3:13.0,Turnover by K. Middleton (lost ball),,94-92,,
3:01.0,,,94-92,,Turnover by I. Smith (bad pass)
2:43.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,94-92,,
2:40.0,,,94-92,,Defensive rebound by I. Smith
2:21.0,,,94-94,2,I. Smith makes 2-pt shot from 1 ft
2:20.0,Milwaukee full timeout,,94-94,,
2:20.0,M. Plumlee enters the game for J. Henson,,94-94,,
2:03.0,G. Antetokounmpo misses 3-pt shot from 27 ft,,94-94,,
2:00.0,,,94-94,,Defensive rebound by Team
1:40.0,Personal foul by M. Plumlee,,94-94,,
1:40.0,,,94-94,,Philadelphia full timeout
1:40.0,,,94-94,,Turnover by I. Smith (lost ball; steal by M. Plumlee)
1:15.0,K. Middleton makes 2-pt shot from 4 ft,2,96-94,,
1:00.0,,,96-94,,Shooting foul by K. Middleton (drawn by N. Stauskas)
1:00.0,,,96-95,1,N. Stauskas makes free throw 1 of 2
1:00.0,,,96-96,1,N. Stauskas makes free throw 2 of 2
0:47.0,Turnover by K. Middleton (bad pass),,96-96,,
0:33.0,,,96-98,2,I. Smith makes 2-pt shot at rim
0:33.0,Milwaukee full timeout,,96-98,,
0:33.0,,,96-98,,T. McConnell enters the game for N. Stauskas
0:33.0,,,96-98,,Violation by N. Noel (def goaltending)
0:33.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,98-98,,
0:30.0,,,98-98,,Philadelphia full timeout
0:30.0,,,98-98,,N. Stauskas enters the game for T. McConnell
0:30.0,,,98-98,,H. Thompson enters the game for J. Grant
0:12.0,,,98-98,,R. Covington misses 3-pt shot from 24 ft
0:11.0,Defensive rebound by G. Antetokounmpo,,98-98,,
0:11.0,Milwaukee full timeout,,98-98,,
0:11.0,,,98-98,,J. Grant enters the game for H. Thompson
0:11.0,,,98-98,,T. McConnell enters the game for N. Stauskas
0:03.0,,,98-98,,Personal foul by T. McConnell
0:00.0,K. Middleton misses 3-pt shot from 25 ft,,98-98,,
0:00.0,Offensive rebound by Team,,98-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:42.0,Turnover by K. Middleton (lost ball; steal by N. Noel),,98-98,,
4:36.0,Violation by G. Antetokounmpo (def goaltending),,98-98,,
4:36.0,,,98-100,2,I. Smith makes 2-pt shot at rim
4:20.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,100-100,,
4:03.0,,,100-100,,R. Covington misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by J. Parker,,100-100,,
3:42.0,K. Middleton misses 3-pt shot from 26 ft,,100-100,,
3:41.0,,,100-100,,Defensive rebound by R. Covington
3:18.0,,,100-100,,N. Noel misses 2-pt shot from 12 ft
3:17.0,Defensive rebound by K. Middleton,,100-100,,
3:09.0,Shooting foul by I. Smith (drawn by K. Middleton),,100-100,,
3:09.0,K. Middleton makes free throw 1 of 2,1,101-100,,
3:09.0,,,101-100,,H. Thompson enters the game for R. Covington
3:09.0,K. Middleton makes free throw 2 of 2,1,102-100,,
2:57.0,,,102-100,,I. Smith misses 2-pt shot from 19 ft
2:55.0,Defensive rebound by G. Antetokounmpo,,102-100,,
2:48.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,104-100,,
2:48.0,,,104-100,,Philadelphia full timeout
2:35.0,,,104-102,2,N. Noel makes 2-pt shot from 12 ft
2:21.0,Shooting foul by H. Thompson (drawn by G. Antetokounmpo),,104-102,,
2:21.0,G. Antetokounmpo makes free throw 1 of 2,1,105-102,,
2:21.0,,,105-102,,R. Covington enters the game for H. Thompson
2:21.0,G. Antetokounmpo makes free throw 2 of 2,1,106-102,,
2:11.0,,,106-102,,N. Stauskas misses 3-pt shot from 23 ft
2:10.0,,,106-102,,Offensive rebound by Team
1:56.0,,,106-102,,R. Covington misses 2-pt shot from 18 ft
1:54.0,Defensive rebound by K. Middleton,,106-102,,
1:34.0,J. Parker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,109-102,,
1:34.0,,,109-102,,Philadelphia full timeout
1:34.0,,,109-102,,H. Thompson enters the game for J. Grant
1:30.0,,,109-102,,N. Stauskas misses 2-pt shot at rim (block by G. Antetokounmpo)
1:27.0,Defensive rebound by K. Middleton,,109-102,,
1:18.0,K. Middleton misses 3-pt shot from 25 ft,,109-102,,
1:16.0,,,109-102,,Defensive rebound by N. Stauskas
1:06.0,,,109-105,3,I. Smith makes 3-pt shot from 25 ft
0:49.0,Turnover by K. Middleton (lost ball; steal by N. Noel),,109-105,,
0:43.0,,,109-108,3,H. Thompson makes 3-pt shot from 26 ft (assist by I. Smith)
0:29.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,109-108,,
0:28.0,,,109-108,,Defensive rebound by I. Smith
0:08.0,,,109-108,,I. Smith misses 3-pt shot from 25 ft
0:06.0,,,109-108,,Offensive rebound by H. Thompson
0:05.0,,,109-108,,H. Thompson misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
0:04.0,,,109-108,,Offensive rebound by I. Smith
0:02.0,,,109-108,,I. Smith misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by G. Antetokounmpo,,109-108,,
0:00.0,,,109-108,,Personal foul by R. Covington
0:00.0,End of 1st overtime,,,,End of 1st overtime
