time,Orlando,pts.away,score,pts.home,LA Clippers
3:17.0,Turnover by T. Harris (bad pass; steal by W. Johnson),,96-94,,
3:07.0,,,96-94,,W. Johnson misses 3-pt shot from 23 ft
3:06.0,,,96-94,,Offensive rebound by D. Jordan
3:02.0,,,96-97,3,J. Crawford makes 3-pt shot from 27 ft (assist by W. Johnson)
3:02.0,Orlando full timeout,,96-97,,
2:45.0,E. Payton misses 2-pt shot from 18 ft,,96-97,,
2:44.0,,,96-97,,Defensive rebound by B. Griffin
2:31.0,,,96-97,,Turnover by J. Crawford (bad pass)
2:20.0,Turnover by N. Vucevic (offensive foul),,96-97,,
2:20.0,Offensive foul by N. Vucevic,,96-97,,
2:04.0,,,96-99,2,J. Crawford makes 2-pt shot from 3 ft
1:53.0,Shooting foul by W. Johnson (drawn by T. Harris),,96-99,,
1:53.0,T. Harris makes free throw 1 of 2,1,97-99,,
1:53.0,T. Harris makes free throw 2 of 2,1,98-99,,
1:41.0,,,98-99,,A. Rivers misses 2-pt shot from 2 ft (block by E. Fournier)
1:41.0,Defensive rebound by Team,,98-99,,
1:23.0,Turnover by E. Fournier (traveling),,98-99,,
1:07.0,,,98-101,2,B. Griffin makes 2-pt shot from 20 ft (assist by J. Crawford)
1:07.0,Orlando full timeout,,98-101,,
1:07.0,V. Oladipo enters the game for E. Fournier,,98-101,,
0:52.0,E. Payton misses 3-pt shot from 26 ft,,98-101,,
0:51.0,Offensive rebound by J. Smith,,98-101,,
0:51.0,J. Smith makes 2-pt shot from 2 ft,2,100-101,,
0:34.0,,,100-101,,J. Crawford misses 3-pt shot from 27 ft
0:34.0,Defensive rebound by N. Vucevic,,100-101,,
0:13.0,T. Harris misses 2-pt shot from 13 ft,,100-101,,
0:12.0,,,100-101,,Defensive rebound by J. Crawford
0:10.0,Personal take foul by E. Payton (drawn by J. Crawford),,100-101,,
0:10.0,,,100-101,,J. Crawford misses free throw 1 of 2
0:10.0,,,100-101,,Offensive rebound by Team
0:10.0,,,100-102,1,J. Crawford makes free throw 2 of 2
0:10.0,Orlando full timeout,,100-102,,
0:10.0,,,100-102,,L. Mbah a Moute enters the game for J. Crawford
0:04.0,V. Oladipo misses 2-pt shot from 21 ft,,100-102,,
0:04.0,,,100-102,,Defensive rebound by A. Rivers
0:04.0,Personal take foul by T. Harris (drawn by A. Rivers),,100-102,,
0:04.0,,,100-103,1,A. Rivers makes free throw 1 of 2
0:04.0,,,100-103,,A. Rivers misses free throw 2 of 2
0:04.0,Defensive rebound by E. Payton,,100-103,,
0:02.0,,,100-103,,Personal take foul by L. Mbah a Moute (drawn by E. Payton)
0:02.0,E. Payton makes free throw 1 of 2,1,101-103,,
0:02.0,E. Payton misses free throw 2 of 2,,101-103,,
0:01.0,,,101-103,,Defensive rebound by Team
0:01.0,,,101-103,,LA Clippers full timeout
0:01.0,,,101-103,,J. Crawford enters the game for L. Mbah a Moute
0:01.0,,,101-103,,P. Pierce enters the game for D. Jordan
0:01.0,E. Fournier enters the game for N. Vucevic,,101-103,,
0:01.0,A. Gordon enters the game for J. Smith,,101-103,,
0:01.0,,,101-103,,Turnover by P. Pierce (bad pass; steal by E. Payton)
0:00.0,End of 4th quarter,,,,End of 4th quarter
