time,Philadelphia,pts.away,score,pts.home,Memphis
5:37.0,Offensive rebound by J. Grant,,77-76,,
5:37.0,J. Grant misses 2-pt shot from 1 ft,,77-76,,
5:36.0,,,77-76,,Defensive rebound by Z. Randolph
5:28.0,,,77-78,2,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley)
5:26.0,Philadelphia full timeout,,77-78,,
5:26.0,J. Okafor enters the game for R. Covington,,77-78,,
5:05.0,J. Okafor misses 2-pt shot at rim (block by M. Gasol),,77-78,,
5:03.0,,,77-78,,Defensive rebound by M. Gasol
4:59.0,,,77-78,,J. Green misses 2-pt shot at rim (block by J. Grant)
4:56.0,,,77-78,,Offensive rebound by Z. Randolph
4:56.0,,,77-80,2,Z. Randolph makes 2-pt shot at rim
4:38.0,Turnover by J. Okafor (bad pass; steal by M. Barnes),,77-80,,
4:35.0,,,77-80,,Shooting foul by H. Thompson (drawn by J. Green)
4:35.0,,,77-81,1,J. Green makes free throw 1 of 2
4:35.0,R. Covington enters the game for T. McConnell,,77-81,,
4:35.0,,,77-82,1,J. Green makes free throw 2 of 2
4:18.0,Turnover by I. Canaan (step out of bounds),,77-82,,
3:59.0,,,77-82,,Shooting foul by J. Grant (drawn by Z. Randolph)
3:59.0,,,77-83,1,Z. Randolph makes free throw 1 of 2
3:59.0,,,77-84,1,Z. Randolph makes free throw 2 of 2
3:45.0,Jump ball: R. Covington vs. M. Gasol (M. Barnes gains possession),,,,Jump ball: R. Covington vs. M. Gasol (M. Barnes gains possession)
3:45.0,Turnover by R. Covington (lost ball),,77-84,,
3:24.0,,,77-84,,M. Conley misses 2-pt shot from 1 ft
3:23.0,Defensive rebound by J. Okafor,,77-84,,
3:16.0,H. Thompson misses 3-pt shot from 25 ft,,77-84,,
3:14.0,,,77-84,,Defensive rebound by M. Barnes
3:09.0,,,77-86,2,M. Conley makes 2-pt shot at rim
2:59.0,Shooting foul by Z. Randolph (drawn by J. Okafor),,77-86,,
2:59.0,Philadelphia full timeout,,77-86,,
2:59.0,P. Pressey enters the game for J. Grant,,77-86,,
2:59.0,J. Okafor makes free throw 1 of 2,1,78-86,,
2:59.0,J. Okafor makes free throw 2 of 2,1,79-86,,
2:44.0,,,79-86,,Turnover by M. Gasol (lost ball; steal by R. Covington)
2:39.0,Offensive charge foul by P. Pressey,,79-86,,
2:39.0,Turnover by P. Pressey (offensive foul),,79-86,,
2:22.0,,,79-89,3,J. Green makes 3-pt shot from 25 ft (assist by M. Barnes)
2:22.0,Philadelphia full timeout,,79-89,,
1:58.0,R. Covington makes 3-pt shot from 23 ft (assist by H. Thompson),3,82-89,,
1:35.0,,,82-89,,M. Conley misses 2-pt shot at rim
1:33.0,Defensive rebound by P. Pressey,,82-89,,
1:19.0,P. Pressey misses 2-pt shot at rim,,82-89,,
1:17.0,,,82-89,,Defensive rebound by M. Gasol
1:13.0,,,82-89,,Shooting foul by R. Covington (drawn by M. Barnes)
1:13.0,,,82-89,,M. Barnes misses free throw 1 of 2
1:13.0,,,82-89,,Offensive rebound by Team
1:13.0,,,82-89,,M. Barnes misses free throw 2 of 2
1:12.0,Defensive rebound by R. Covington,,82-89,,
0:54.0,I. Canaan misses 3-pt shot from 27 ft,,82-89,,
0:53.0,Offensive rebound by J. Okafor,,82-89,,
0:47.0,J. Okafor makes 2-pt shot from 1 ft (assist by I. Canaan),2,84-89,,
0:39.0,Personal take foul by J. Okafor (drawn by M. Gasol),,84-89,,
0:39.0,,,84-89,,M. Gasol misses free throw 1 of 2
0:39.0,,,84-89,,Offensive rebound by Team
0:39.0,,,84-90,1,M. Gasol makes free throw 2 of 2
0:39.0,Philadelphia full timeout,,84-90,,
0:33.0,R. Covington misses 3-pt shot from 22 ft (block by M. Gasol),,84-90,,
0:31.0,,,84-90,,Defensive rebound by M. Conley
0:24.0,Personal take foul by H. Thompson (drawn by M. Conley),,84-90,,
0:24.0,,,84-91,1,M. Conley makes free throw 1 of 2
0:24.0,,,84-92,1,M. Conley makes free throw 2 of 2
0:12.0,H. Thompson misses 3-pt shot from 22 ft,,84-92,,
0:12.0,,,84-92,,Defensive rebound by M. Barnes
0:00.0,End of 4th quarter,,,,End of 4th quarter
