time,Memphis,pts.away,score,pts.home,Indiana
3:31.0,Defensive rebound by M. Gasol,,96-96,,
3:23.0,J. Green makes 3-pt shot from 26 ft (assist by C. Lee),3,99-96,,
3:23.0,,,99-96,,Indiana full timeout
3:04.0,,,99-96,,P. George misses 3-pt shot from 26 ft
3:03.0,Defensive rebound by M. Gasol,,99-96,,
2:47.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,101-96,,
2:29.0,,,101-99,3,M. Ellis makes 3-pt shot from 26 ft (assist by L. Allen)
2:09.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,103-99,,
1:51.0,,,103-99,,M. Ellis misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by Z. Randolph,,103-99,,
1:29.0,J. Green makes 3-pt shot from 26 ft (assist by Z. Randolph),3,106-99,,
1:29.0,,,106-99,,Indiana full timeout
1:29.0,T. Allen enters the game for Z. Randolph,,106-99,,
1:29.0,,,106-99,,C. Miles enters the game for L. Allen
1:21.0,,,106-99,,Turnover by G. Hill (bad pass; steal by T. Allen)
1:17.0,T. Allen misses 2-pt shot from 3 ft,,106-99,,
1:17.0,Offensive rebound by M. Conley,,106-99,,
1:17.0,M. Conley makes 2-pt shot from 1 ft,2,108-99,,
1:11.0,Personal foul by M. Conley (drawn by G. Hill),,108-99,,
1:11.0,,,108-100,1,G. Hill makes free throw 1 of 2
1:11.0,Z. Randolph enters the game for T. Allen,,108-100,,
1:11.0,,,108-101,1,G. Hill makes free throw 2 of 2
0:57.0,,,108-101,,Personal foul by I. Mahinmi (drawn by M. Gasol)
0:57.0,M. Gasol makes free throw 1 of 2,1,109-101,,
0:57.0,T. Allen enters the game for Z. Randolph,,109-101,,
0:57.0,M. Gasol makes free throw 2 of 2,1,110-101,,
0:47.0,,,110-103,2,G. Hill makes 2-pt shot from 1 ft
0:39.0,Turnover by M. Conley (bad pass; steal by C. Miles),,110-103,,
0:33.0,,,110-103,,P. George misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by M. Conley,,110-103,,
0:32.0,Memphis full timeout,,110-103,,
0:32.0,Z. Randolph enters the game for T. Allen,,110-103,,
0:32.0,,,110-103,,R. Stuckey enters the game for I. Mahinmi
0:28.0,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Conley),2,112-103,,
0:20.0,,,112-103,,G. Hill misses 3-pt shot from 29 ft
0:19.0,Defensive rebound by M. Gasol,,112-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
