time,Atlanta,pts.away,score,pts.home,Golden State
2:20.0,,,90-93,1,A. Bogut makes free throw 1 of 2
2:20.0,,,90-93,,A. Bogut misses free throw 2 of 2
2:20.0,,,90-93,,Offensive rebound by D. Green
2:01.0,,,90-95,2,K. Thompson makes 2-pt shot from 3 ft
1:45.0,K. Korver makes 3-pt shot from 27 ft (assist by P. Millsap),3,93-95,,
1:30.0,,,93-95,,Turnover by D. Green (bad pass; steal by P. Millsap)
1:22.0,D. Schroder makes 2-pt shot from 3 ft,2,95-95,,
1:22.0,,,95-95,,Golden State full timeout
1:22.0,T. Sefolosha enters the game for K. Korver,,95-95,,
1:15.0,,,95-95,,K. Thompson misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by A. Horford,,95-95,,
1:10.0,Atlanta full timeout,,95-95,,
1:10.0,K. Korver enters the game for T. Sefolosha,,95-95,,
1:00.0,Shooting foul by H. Barnes (drawn by P. Millsap),,95-95,,
1:00.0,P. Millsap makes free throw 1 of 2,1,96-95,,
1:00.0,T. Sefolosha enters the game for K. Korver,,96-95,,
1:00.0,,,96-95,,M. Speights enters the game for A. Bogut
1:00.0,P. Millsap makes free throw 2 of 2,1,97-95,,
0:48.0,,,97-95,,Shooting foul by P. Millsap (drawn by K. Thompson)
0:48.0,,,97-96,1,K. Thompson makes free throw 1 of 2
0:48.0,,,97-96,,A. Bogut enters the game for M. Speights
0:48.0,K. Korver enters the game for T. Sefolosha,,97-96,,
0:48.0,,,97-97,1,K. Thompson makes free throw 2 of 2
0:48.0,Atlanta full timeout,,97-97,,
0:24.0,P. Millsap misses 3-pt shot from 24 ft,,97-97,,
0:24.0,,,97-97,,Defensive rebound by D. Green
0:04.0,,,97-97,,K. Thompson misses 2-pt shot from 12 ft
0:01.0,,,97-97,,Offensive rebound by A. Bogut
0:00.0,,,97-97,,A. Bogut misses 2-pt shot from 11 ft
0:00.0,,,97-97,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:35.0,A. Horford misses 3-pt shot from 24 ft,,97-97,,
4:34.0,,,97-97,,Defensive rebound by S. Livingston
4:19.0,,,97-97,,K. Thompson misses 3-pt shot from 25 ft (block by K. Bazemore)
4:18.0,Defensive rebound by K. Korver,,97-97,,
4:08.0,P. Millsap misses 3-pt shot from 26 ft,,97-97,,
4:07.0,,,97-97,,Defensive rebound by A. Bogut
3:56.0,,,97-97,,Shooting foul by A. Horford (drawn by K. Thompson)
3:56.0,,,97-98,1,K. Thompson makes free throw 1 of 2
3:56.0,,,97-99,1,K. Thompson makes free throw 2 of 2
3:31.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,99-99,,
3:15.0,,,99-99,,Turnover by D. Green (lost ball; steal by A. Horford)
3:10.0,Shooting foul by K. Thompson (drawn by K. Bazemore),,99-99,,
3:10.0,K. Bazemore makes free throw 1 of 2,1,100-99,,
3:10.0,,,100-99,,Golden State full timeout
3:10.0,K. Bazemore makes free throw 2 of 2,1,101-99,,
2:54.0,,,101-102,3,K. Thompson makes 3-pt shot from 26 ft
2:37.0,Turnover by A. Horford (bad pass; steal by S. Livingston),,101-102,,
2:27.0,,,101-102,,K. Thompson misses 2-pt shot from 17 ft
2:24.0,Defensive rebound by A. Horford,,101-102,,
2:14.0,D. Schroder misses 2-pt shot from 18 ft,,101-102,,
2:14.0,,,101-102,,Defensive rebound by D. Green
1:51.0,,,101-102,,D. Green misses 2-pt shot from 10 ft
1:51.0,,,101-102,,Offensive rebound by A. Bogut
1:51.0,,,101-104,2,A. Bogut makes 2-pt shot at rim
1:51.0,Atlanta full timeout,,101-104,,
1:40.0,Shooting foul by D. Green (drawn by D. Schroder),,101-104,,
1:40.0,D. Schroder misses free throw 1 of 2,,101-104,,
1:40.0,Offensive rebound by Team,,101-104,,
1:40.0,T. Sefolosha enters the game for K. Korver,,101-104,,
1:40.0,D. Schroder misses free throw 2 of 2,,101-104,,
1:38.0,,,101-104,,Defensive rebound by D. Green
1:20.0,,,101-104,,H. Barnes misses 3-pt shot from 23 ft
1:19.0,Defensive rebound by T. Sefolosha,,101-104,,
1:05.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,103-104,,
0:40.0,,,103-107,3,D. Green makes 3-pt shot from 25 ft (assist by A. Bogut)
0:40.0,Atlanta full timeout,,103-107,,
0:40.0,K. Korver enters the game for T. Sefolosha,,103-107,,
0:33.0,Shooting foul by D. Green (drawn by D. Schroder),,103-107,,
0:33.0,D. Schroder makes free throw 1 of 2,1,104-107,,
0:33.0,T. Sefolosha enters the game for K. Korver,,104-107,,
0:33.0,,,104-107,,M. Speights enters the game for A. Bogut
0:33.0,D. Schroder makes free throw 2 of 2,1,105-107,,
0:11.0,,,105-109,2,K. Thompson makes 2-pt shot from 7 ft
0:11.0,Atlanta full timeout,,105-109,,
0:11.0,,,105-109,,A. Bogut enters the game for M. Speights
0:11.0,K. Korver enters the game for T. Sefolosha,,105-109,,
0:08.0,D. Schroder misses 3-pt shot from 29 ft,,105-109,,
0:07.0,,,105-109,,Defensive rebound by D. Green
0:05.0,Personal foul by K. Bazemore (drawn by K. Thompson),,105-109,,
0:05.0,,,105-109,,M. Speights enters the game for A. Bogut
0:05.0,T. Sefolosha enters the game for K. Korver,,105-109,,
0:05.0,,,105-109,,Golden State full timeout
0:00.0,End of 1st overtime,,,,End of 1st overtime
