time,Charlotte,pts.away,score,pts.home,Philadelphia
4:56.0,Personal foul by M. Williams (drawn by N. Noel),,102-85,,
4:56.0,,,102-86,1,N. Noel makes free throw 1 of 2
4:56.0,,,102-87,1,N. Noel makes free throw 2 of 2
4:46.0,Turnover by K. Walker (lost ball; steal by I. Smith),,102-87,,
4:42.0,,,102-89,2,I. Smith makes 2-pt shot from 2 ft
4:22.0,C. Zeller misses 2-pt shot from 8 ft,,102-89,,
4:21.0,Offensive rebound by M. Williams,,102-89,,
4:19.0,M. Williams misses 2-pt shot from 1 ft,,102-89,,
4:18.0,,,102-89,,Defensive rebound by R. Covington
4:11.0,,,102-89,,I. Canaan misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by C. Zeller,,102-89,,
3:59.0,Shooting foul by J. Grant (drawn by K. Walker),,102-89,,
3:59.0,K. Walker makes 2-pt shot from 5 ft,2,104-89,,
3:59.0,,,104-89,,T. McConnell enters the game for N. Noel
3:59.0,K. Walker misses free throw 1 of 1,,104-89,,
3:57.0,,,104-89,,Defensive rebound by R. Covington
3:57.0,,,104-89,,Philadelphia full timeout
3:57.0,,,104-89,,H. Thompson enters the game for T. McConnell
3:50.0,,,104-89,,Turnover by J. Grant (lost ball)
3:40.0,,,104-89,,Personal block foul by J. Grant (drawn by K. Walker)
3:40.0,K. Walker makes free throw 1 of 2,1,105-89,,
3:40.0,K. Walker makes free throw 2 of 2,1,106-89,,
3:25.0,,,106-89,,I. Smith misses 2-pt shot from 21 ft
3:23.0,Defensive rebound by C. Zeller,,106-89,,
3:08.0,Turnover by N. Batum (lost ball; steal by R. Covington),,106-89,,
3:05.0,,,106-91,2,R. Covington makes 2-pt shot at rim
2:37.0,Shooting foul by R. Covington (drawn by C. Zeller),,106-91,,
2:37.0,C. Zeller makes free throw 1 of 2,1,107-91,,
2:37.0,C. Zeller makes free throw 2 of 2,1,108-91,,
2:26.0,,,108-93,2,R. Covington makes 2-pt shot from 1 ft (assist by I. Smith)
2:09.0,N. Batum makes 3-pt shot from 24 ft (assist by C. Zeller),3,111-93,,
2:09.0,,,111-93,,Philadelphia full timeout
2:02.0,,,111-93,,I. Canaan misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by K. Walker,,111-93,,
1:46.0,N. Batum misses 3-pt shot from 24 ft,,111-93,,
1:45.0,Offensive rebound by C. Zeller,,111-93,,
1:45.0,,,111-93,,Personal foul by I. Canaan (drawn by C. Zeller)
1:45.0,C. Zeller makes free throw 1 of 2,1,112-93,,
1:45.0,,,112-93,,T. McConnell enters the game for I. Smith
1:45.0,A. Harrison enters the game for N. Batum,,112-93,,
1:45.0,T. Daniels enters the game for M. Williams,,112-93,,
1:45.0,T. Hansbrough enters the game for C. Lee,,112-93,,
1:45.0,J. Gutierrez enters the game for K. Walker,,112-93,,
1:45.0,,,112-93,,R. Holmes enters the game for R. Covington
1:45.0,,,112-93,,N. Stauskas enters the game for J. Grant
1:45.0,C. Zeller makes free throw 2 of 2,1,113-93,,
1:34.0,,,113-96,3,N. Stauskas makes 3-pt shot from 24 ft (assist by R. Holmes)
1:18.0,Offensive foul by C. Zeller,,113-96,,
1:18.0,Turnover by C. Zeller (offensive foul),,113-96,,
1:18.0,F. Kaminsky enters the game for C. Zeller,,113-96,,
1:06.0,,,113-96,,I. Canaan misses 2-pt shot from 1 ft
1:04.0,Defensive rebound by F. Kaminsky,,113-96,,
0:52.0,T. Daniels makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,116-96,,
0:41.0,,,116-96,,I. Canaan misses 3-pt shot from 27 ft
0:40.0,Defensive rebound by F. Kaminsky,,116-96,,
0:26.0,T. Daniels misses 3-pt shot from 25 ft,,116-96,,
0:24.0,Offensive rebound by A. Harrison,,116-96,,
0:22.0,A. Harrison makes 3-pt shot from 25 ft,3,119-96,,
0:06.0,,,119-98,2,N. Stauskas makes 2-pt shot from 3 ft
0:06.0,,,119-98,,Shooting foul by A. Harrison (drawn by N. Stauskas)
0:06.0,,,119-99,1,N. Stauskas makes free throw 1 of 1
0:00.0,End of 4th quarter,,,,End of 4th quarter
