time,Houston,pts.away,score,pts.home,Toronto
2:52.0,,,104-102,,Offensive rebound by J. Valanciunas
2:38.0,Shooting block foul by P. Beverley (drawn by D. DeRozan),,104-102,,
2:38.0,,,104-103,1,D. DeRozan makes free throw 1 of 2
2:38.0,,,104-103,,B. Biyombo enters the game for J. Valanciunas
2:38.0,,,104-104,1,D. DeRozan makes free throw 2 of 2
2:21.0,C. Brewer misses 2-pt shot from 15 ft,,104-104,,
2:20.0,,,104-104,,Defensive rebound by K. Lowry
2:08.0,,,104-104,,Shooting foul by D. Howard (drawn by D. DeRozan)
2:08.0,C. Capela enters the game for D. Howard,,104-104,,
2:08.0,,,104-104,,D. DeRozan misses free throw 1 of 2
2:08.0,,,104-104,,Offensive rebound by Team
2:08.0,,,104-105,1,D. DeRozan makes free throw 2 of 2
1:47.0,J. Harden makes 3-pt shot from 24 ft,3,107-105,,
1:30.0,,,107-105,,K. Lowry misses 2-pt shot from 2 ft (block by C. Capela)
1:29.0,Defensive rebound by J. Harden,,107-105,,
1:18.0,Shooting foul by P. Patterson (drawn by J. Harden),,107-105,,
1:18.0,J. Harden makes free throw 1 of 2,1,108-105,,
1:18.0,J. Harden makes free throw 2 of 2,1,109-105,,
1:18.0,,,109-105,,Toronto full timeout
1:18.0,,,109-105,,J. Valanciunas enters the game for B. Biyombo
1:11.0,,,109-105,,D. DeRozan misses 2-pt shot from 2 ft (block by C. Capela)
1:10.0,,,109-105,,Offensive rebound by D. DeRozan
1:08.0,,,109-105,,Turnover by D. DeRozan (lost ball; steal by P. Beverley)
1:02.0,,,109-105,,Flagrant foul type 1 by D. DeRozan (drawn by P. Beverley)
1:02.0,P. Beverley misses flagrant free throw 1 of 2,,109-105,,
1:02.0,Offensive rebound by Team,,109-105,,
1:02.0,P. Beverley makes flagrant free throw 2 of 2,1,110-105,,
0:42.0,P. Beverley misses 3-pt shot from 24 ft,,110-105,,
0:40.0,,,110-105,,Defensive rebound by D. DeRozan
0:26.0,,,110-105,,D. DeRozan misses 2-pt shot from 4 ft
0:25.0,Defensive rebound by P. Beverley,,110-105,,
0:19.0,C. Capela makes 2-pt shot at rim (assist by C. Brewer),2,112-105,,
0:19.0,,,112-105,,Toronto full timeout
0:13.0,,,112-107,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
0:11.0,Houston full timeout,,112-107,,
0:11.0,,,112-107,,B. Biyombo enters the game for J. Valanciunas
0:11.0,J. Terry enters the game for C. Capela,,112-107,,
0:09.0,,,112-107,,Personal foul by B. Biyombo (drawn by J. Harden)
0:09.0,J. Harden makes free throw 1 of 2,1,113-107,,
0:09.0,C. Capela enters the game for J. Terry,,113-107,,
0:09.0,J. Harden misses free throw 2 of 2,,113-107,,
0:09.0,,,113-107,,Defensive rebound by P. Patterson
0:09.0,,,113-107,,Toronto full timeout
0:09.0,,,113-107,,J. Valanciunas enters the game for B. Biyombo
0:09.0,,,113-107,,T. Ross enters the game for C. Joseph
0:06.0,,,113-107,,K. Lowry misses 3-pt shot from 25 ft
0:05.0,,,113-107,,Offensive rebound by J. Valanciunas
0:01.0,,,113-107,,J. Valanciunas misses 2-pt shot at rim
0:00.0,Defensive rebound by C. Brewer,,113-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
