time,Orlando,pts.away,score,pts.home,Portland
1:36.0,,,80-118,2,C. Kaman makes 2-pt shot from 5 ft (assist by B. Roberts)
1:21.0,D. Marble misses 3-pt shot from 25 ft,,80-118,,
1:21.0,Offensive rebound by A. Nicholson,,80-118,,
1:15.0,E. Ilyasova misses 2-pt shot from 4 ft,,80-118,,
1:13.0,,,80-118,,Defensive rebound by M. Harkless
0:58.0,,,80-121,3,M. Harkless makes 3-pt shot from 24 ft (assist by C. Kaman)
0:46.0,S. Napier makes 3-pt shot from 26 ft,3,83-121,,
0:26.0,,,83-121,,M. Harkless misses 2-pt shot from 4 ft
0:25.0,Defensive rebound by M. Hezonja,,83-121,,
0:22.0,Shooting foul by C. Kaman (drawn by M. Hezonja),,83-121,,
0:22.0,Orlando full timeout,,83-121,,
0:22.0,M. Hezonja misses free throw 1 of 2,,83-121,,
0:22.0,Offensive rebound by Team,,83-121,,
0:22.0,M. Hezonja makes free throw 2 of 2,1,84-121,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
