time,LA Clippers,pts.away,score,pts.home,Milwaukee
5:02.0,D. Jordan misses free throw 2 of 2,,88-77,,
5:01.0,Offensive rebound by D. Jordan,,88-77,,
4:56.0,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan),3,91-77,,
4:50.0,,,91-77,,Shooting foul by J. Redick (drawn by K. Middleton)
4:50.0,,,91-78,1,K. Middleton makes free throw 1 of 2
4:50.0,,,91-78,,K. Middleton misses free throw 2 of 2
4:48.0,Defensive rebound by B. Griffin,,91-78,,
4:48.0,,,91-78,,Personal take foul by M. Carter-Williams (drawn by D. Jordan)
4:48.0,D. Jordan misses free throw 1 of 2,,91-78,,
4:48.0,Offensive rebound by Team,,91-78,,
4:48.0,,,91-78,,G. Antetokounmpo enters the game for J. Parker
4:48.0,D. Jordan makes free throw 2 of 2,1,92-78,,
4:34.0,,,92-78,,M. Carter-Williams misses 2-pt shot from 3 ft (block by B. Griffin)
4:31.0,,,92-78,,Offensive rebound by G. Monroe
4:29.0,,,92-80,2,G. Antetokounmpo makes 2-pt shot from 12 ft (assist by M. Carter-Williams)
4:22.0,,,92-80,,Personal take foul by G. Antetokounmpo (drawn by D. Jordan)
4:22.0,D. Jordan makes free throw 1 of 2,1,93-80,,
4:22.0,D. Jordan makes free throw 2 of 2,1,94-80,,
4:11.0,,,94-82,2,O. Mayo makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
4:05.0,,,94-82,,Personal take foul by M. Carter-Williams (drawn by D. Jordan)
4:05.0,D. Jordan misses free throw 1 of 2,,94-82,,
4:05.0,Offensive rebound by Team,,94-82,,
4:05.0,D. Jordan makes free throw 2 of 2,1,95-82,,
3:52.0,,,95-82,,K. Middleton misses 3-pt shot from 27 ft
3:51.0,Defensive rebound by D. Jordan,,95-82,,
3:45.0,J. Crawford misses 3-pt shot from 25 ft,,95-82,,
3:44.0,,,95-82,,Defensive rebound by G. Monroe
3:35.0,,,95-84,2,O. Mayo makes 2-pt shot from 6 ft
3:19.0,J. Redick makes 2-pt shot from 4 ft (assist by C. Paul),2,97-84,,
3:18.0,,,97-84,,Milwaukee full timeout
3:04.0,,,97-86,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
2:43.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,99-86,,
2:32.0,,,99-86,,Shooting foul by D. Jordan (drawn by G. Antetokounmpo)
2:32.0,,,99-87,1,G. Antetokounmpo makes free throw 1 of 2
2:32.0,,,99-88,1,G. Antetokounmpo makes free throw 2 of 2
2:23.0,,,99-88,,Personal foul by K. Middleton (drawn by J. Redick)
2:23.0,J. Redick makes free throw 1 of 2,1,100-88,,
2:23.0,J. Redick makes free throw 2 of 2,1,101-88,,
2:15.0,,,101-90,2,G. Monroe makes 2-pt shot at rim (assist by O. Mayo)
2:03.0,,,101-90,,Personal foul by O. Mayo (drawn by C. Paul)
2:03.0,C. Paul makes free throw 1 of 2,1,102-90,,
2:03.0,C. Paul makes free throw 2 of 2,1,103-90,,
1:54.0,,,103-92,2,G. Antetokounmpo makes 2-pt shot from 18 ft
1:35.0,,,103-92,,Personal foul by K. Middleton (drawn by D. Jordan)
1:35.0,D. Jordan misses free throw 1 of 2,,103-92,,
1:35.0,Offensive rebound by Team,,103-92,,
1:35.0,D. Jordan makes free throw 2 of 2,1,104-92,,
1:24.0,Shooting block foul by D. Jordan (drawn by G. Antetokounmpo),,104-92,,
1:24.0,,,104-93,1,G. Antetokounmpo makes free throw 1 of 2
1:24.0,,,104-93,,G. Antetokounmpo misses free throw 2 of 2
1:21.0,Defensive rebound by B. Griffin,,104-93,,
1:08.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,106-93,,
1:03.0,,,106-93,,Turnover by M. Carter-Williams (bad pass)
0:45.0,C. Paul makes 3-pt shot from 27 ft,3,109-93,,
0:34.0,,,109-95,2,M. Carter-Williams makes 2-pt shot from 9 ft
0:12.0,B. Griffin misses 2-pt shot from 23 ft,,109-95,,
0:11.0,,,109-95,,Defensive rebound by G. Monroe
0:01.0,,,109-95,,O. Mayo misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by Team,,109-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
