time,Atlanta,pts.away,score,pts.home,Memphis
1:59.0,,,112-99,,Technical foul by Team
1:59.0,J. Teague makes technical free throw,1,113-99,,
1:59.0,,,113-99,,Technical foul by M. Barnes (drawn by P. Millsap)
1:59.0,J. Teague makes technical free throw,1,114-99,,
1:59.0,P. Millsap makes free throw 1 of 2,1,115-99,,
1:59.0,M. Scott enters the game for K. Korver,,115-99,,
1:59.0,D. Schroder enters the game for J. Teague,,115-99,,
1:59.0,P. Millsap makes free throw 2 of 2,1,116-99,,
1:50.0,,,116-101,2,C. Lee makes 2-pt shot from 7 ft
1:25.0,M. Muscala misses 3-pt shot from 25 ft,,116-101,,
1:24.0,,,116-101,,Defensive rebound by J. Green
1:17.0,,,116-101,,J. Green misses 2-pt shot from 2 ft
1:15.0,Defensive rebound by M. Scott,,116-101,,
1:09.0,Atlanta full timeout,,116-101,,
1:09.0,,,116-101,,J. Green enters the game for M. Gasol
1:09.0,,,116-101,,R. Smith enters the game for M. Conley
1:09.0,T. Hardaway enters the game for P. Millsap,,116-101,,
0:54.0,D. Schroder misses 3-pt shot from 24 ft,,116-101,,
0:53.0,,,116-101,,Defensive rebound by C. Lee
0:45.0,,,116-101,,M. Barnes misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by D. Schroder,,116-101,,
0:24.0,Turnover by D. Schroder (lost ball; steal by J. Green),,116-101,,
0:15.0,,,116-101,,R. Smith misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by M. Muscala,,116-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
