time,Milwaukee,pts.away,score,pts.home,Phoenix
2:24.0,,,92-91,,Defensive rebound by T. Chandler
2:18.0,Milwaukee full timeout,,92-91,,
2:00.0,,,92-93,2,B. Knight makes 2-pt shot from 4 ft
1:49.0,Shooting foul by T. Chandler (drawn by G. Monroe),,92-93,,
1:49.0,G. Monroe makes free throw 1 of 2,1,93-93,,
1:49.0,M. Carter-Williams enters the game for R. Vaughn,,93-93,,
1:49.0,G. Monroe misses free throw 2 of 2,,93-93,,
1:49.0,,,93-93,,Defensive rebound by P. Tucker
1:32.0,,,93-95,2,E. Bledsoe makes 2-pt shot from 18 ft
1:13.0,M. Carter-Williams makes 2-pt shot from 6 ft (assist by O. Mayo),2,95-95,,
0:55.0,,,95-95,,B. Knight misses 2-pt shot from 19 ft
0:55.0,,,95-95,,Offensive rebound by P. Tucker
0:36.0,,,95-95,,E. Bledsoe misses 2-pt shot at rim (block by O. Mayo)
0:34.0,Defensive rebound by Team,,95-95,,
0:21.0,G. Monroe makes 2-pt shot at rim,2,97-95,,
0:21.0,,,97-95,,Phoenix full timeout
0:21.0,,,97-95,,M. Teletovic enters the game for T. Chandler
0:21.0,J. Henson enters the game for J. Parker,,97-95,,
0:21.0,J. O'Bryant enters the game for G. Monroe,,97-95,,
0:08.0,,,97-95,,E. Bledsoe misses 2-pt shot from 3 ft (block by M. Carter-Williams)
0:06.0,Defensive rebound by M. Carter-Williams,,97-95,,
0:05.0,,,97-95,,Personal take foul by J. Leuer (drawn by K. Middleton)
0:05.0,K. Middleton makes free throw 1 of 2,1,98-95,,
0:05.0,,,98-95,,T. Chandler enters the game for M. Teletovic
0:05.0,,,98-95,,A. Len enters the game for J. Leuer
0:05.0,K. Middleton makes free throw 2 of 2,1,99-95,,
0:05.0,,,99-95,,Phoenix full timeout
0:05.0,,,99-95,,J. Leuer enters the game for P. Tucker
0:05.0,,,99-95,,D. Booker enters the game for T. Chandler
0:05.0,,,99-95,,M. Teletovic enters the game for A. Len
0:05.0,,,99-95,,Turnover by E. Bledsoe (bad pass)
0:04.0,,,99-95,,Personal take foul by D. Booker (drawn by K. Middleton)
0:04.0,K. Middleton makes free throw 1 of 2,1,100-95,,
0:04.0,K. Middleton makes free throw 2 of 2,1,101-95,,
0:00.0,,,101-95,,E. Bledsoe misses 3-pt shot from 38 ft
0:00.0,,,101-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
