time,Boston,pts.away,score,pts.home,New York
1:57.0,E. Turner misses 3-pt shot from 25 ft,,107-108,,
1:56.0,,,107-108,,Defensive rebound by J. Grant
1:53.0,,,107-110,2,D. Williams makes 2-pt shot at rim (assist by J. Grant)
1:42.0,A. Johnson makes 2-pt shot from 4 ft (assist by I. Thomas),2,109-110,,
1:21.0,,,109-112,2,A. Afflalo makes 2-pt shot from 7 ft (assist by J. Grant)
1:21.0,Boston full timeout,,109-112,,
1:21.0,M. Smart enters the game for E. Turner,,109-112,,
1:17.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Crowder),2,111-112,,
0:58.0,,,111-114,2,J. Grant makes 2-pt shot from 5 ft
0:50.0,I. Thomas makes 2-pt shot from 18 ft,2,113-114,,
0:44.0,,,113-114,,New York full timeout
0:31.0,Personal foul by A. Johnson (drawn by J. Grant),,113-114,,
0:31.0,,,113-115,1,J. Grant makes free throw 1 of 2
0:31.0,J. Sullinger enters the game for A. Johnson,,113-115,,
0:31.0,,,113-115,,L. Thomas enters the game for J. Calderon
0:31.0,,,113-116,1,J. Grant makes free throw 2 of 2
0:23.0,I. Thomas misses 2-pt shot from 2 ft (block by R. Lopez),,113-116,,
0:21.0,,,113-116,,Defensive rebound by D. Williams
0:18.0,Personal take foul by J. Sullinger (drawn by J. Grant),,113-116,,
0:18.0,,,113-117,1,J. Grant makes free throw 1 of 2
0:18.0,J. Jerebko enters the game for M. Smart,,113-117,,
0:18.0,,,113-118,1,J. Grant makes free throw 2 of 2
0:12.0,Shooting foul by L. Thomas (drawn by I. Thomas),,113-118,,
0:12.0,I. Thomas makes free throw 1 of 2,1,114-118,,
0:12.0,E. Turner enters the game for J. Sullinger,,114-118,,
0:12.0,M. Smart enters the game for J. Jerebko,,114-118,,
0:12.0,,,114-118,,J. Calderon enters the game for L. Thomas
0:12.0,I. Thomas misses free throw 2 of 2,,114-118,,
0:11.0,,,114-118,,Defensive rebound by R. Lopez
0:03.0,,,114-120,2,D. Williams makes 2-pt shot at rim (assist by J. Grant)
0:00.0,E. Turner misses 3-pt shot from 25 ft,,114-120,,
0:00.0,Offensive rebound by Team,,114-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
