time,New Orleans,pts.away,score,pts.home,Chicago
1:13.0,,,94-94,,Offensive rebound by Team
1:13.0,,,94-94,,Turnover by Team (shot clock)
0:58.0,A. Davis misses 2-pt shot from 5 ft,,94-94,,
0:57.0,,,94-94,,Defensive rebound by P. Gasol
0:40.0,,,94-96,2,A. Brooks makes 2-pt shot from 2 ft
0:40.0,New Orleans full timeout,,94-96,,
0:40.0,,,94-96,,K. Hinrich enters the game for A. Brooks
0:31.0,E. Gordon misses 3-pt shot from 27 ft,,94-96,,
0:30.0,,,94-96,,Defensive rebound by P. Gasol
0:12.0,,,94-98,2,D. Rose makes 2-pt shot from 15 ft
0:12.0,New Orleans full timeout,,94-98,,
0:12.0,N. Cole enters the game for A. Gee,,94-98,,
0:02.0,T. Evans misses 3-pt shot from 25 ft,,94-98,,
0:00.0,,,94-98,,Defensive rebound by D. Rose
0:00.0,End of 4th quarter,,,,End of 4th quarter
