time,Sacramento,pts.away,score,pts.home,Milwaukee
2:31.0,D. Collison misses 2-pt shot at rim (block by G. Monroe),,117-109,,
2:28.0,,,117-109,,Defensive rebound by G. Monroe
2:20.0,,,117-109,,K. Middleton misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by K. Koufos,,117-109,,
2:05.0,O. Casspi makes 3-pt shot from 28 ft (assist by R. Gay),3,120-109,,
1:49.0,,,120-109,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by K. Koufos)
1:49.0,,,120-109,,Offensive rebound by Team
1:49.0,M. Belinelli enters the game for D. Collison,,120-109,,
1:49.0,,,120-109,,Milwaukee full timeout
1:49.0,,,120-109,,Technical foul by Team
1:49.0,M. Belinelli makes technical free throw,1,121-109,,
1:44.0,,,121-109,,K. Middleton misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by R. Rondo,,121-109,,
1:17.0,R. Gay misses 3-pt shot from 23 ft,,121-109,,
1:16.0,,,121-109,,Defensive rebound by J. Bayless
1:11.0,,,121-112,3,K. Middleton makes 3-pt shot from 25 ft (assist by J. Bayless)
0:50.0,M. Belinelli misses 3-pt shot from 30 ft,,121-112,,
0:48.0,,,121-112,,Defensive rebound by G. Antetokounmpo
0:42.0,,,121-112,,Shooting foul by R. Gay (drawn by G. Monroe)
0:42.0,,,121-113,1,G. Monroe makes free throw 1 of 2
0:42.0,D. Collison enters the game for O. Casspi,,121-113,,
0:42.0,,,121-113,,G. Monroe misses free throw 2 of 2
0:41.0,Defensive rebound by K. Koufos,,121-113,,
0:37.0,,,121-113,,Personal foul by G. Antetokounmpo (drawn by D. Collison)
0:32.0,,,121-113,,Personal foul by G. Antetokounmpo (drawn by R. Gay)
0:32.0,R. Gay makes free throw 1 of 2,1,122-113,,
0:32.0,R. Gay makes free throw 2 of 2,1,123-113,,
0:32.0,,,123-113,,Milwaukee full timeout
0:26.0,,,123-116,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Monroe)
0:26.0,,,123-116,,Shooting foul by D. Collison (drawn by K. Middleton)
0:26.0,,,123-116,,M. Carter-Williams enters the game for G. Antetokounmpo
0:26.0,,,123-116,,K. Middleton misses free throw 1 of 1
0:25.0,Defensive rebound by K. Koufos,,123-116,,
0:22.0,,,123-116,,Personal take foul by G. Monroe (drawn by D. Collison)
0:22.0,D. Collison makes free throw 1 of 2,1,124-116,,
0:22.0,,,124-116,,G. Antetokounmpo enters the game for M. Carter-Williams
0:22.0,D. Collison makes free throw 2 of 2,1,125-116,,
0:18.0,,,125-118,2,J. Bayless makes 2-pt shot at rim
0:17.0,,,125-118,,Personal block foul by G. Antetokounmpo (drawn by D. Collison)
0:17.0,,,125-118,,M. Carter-Williams enters the game for G. Antetokounmpo
0:17.0,D. Collison makes free throw 1 of 2,1,126-118,,
0:17.0,D. Collison makes free throw 2 of 2,1,127-118,,
0:11.0,,,127-118,,Turnover by K. Middleton (lost ball; steal by M. Belinelli)
0:11.0,,,127-118,,Personal foul by K. Middleton (drawn by M. Belinelli)
0:11.0,M. Belinelli makes free throw 1 of 2,1,128-118,,
0:11.0,M. Belinelli makes free throw 2 of 2,1,129-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
