time,Detroit,pts.away,score,pts.home,Chicago
10:49.0,Shooting foul by A. Brooks (drawn by T. Harris),,70-69,,
10:49.0,T. Harris makes free throw 1 of 2,1,71-69,,
10:49.0,T. Harris makes free throw 2 of 2,1,72-69,,
10:31.0,,,72-69,,Shooting foul by T. Harris (drawn by A. Brooks)
10:31.0,,,72-70,1,A. Brooks makes free throw 1 of 3
10:31.0,,,72-71,1,A. Brooks makes free throw 2 of 3
10:31.0,A. Tolliver enters the game for T. Harris,,72-71,,
10:31.0,,,72-71,,J. Butler enters the game for D. McDermott
10:31.0,,,72-72,1,A. Brooks makes free throw 3 of 3
10:08.0,S. Johnson misses 2-pt shot from 13 ft,,72-72,,
10:07.0,,,72-72,,Defensive rebound by C. Felicio
9:44.0,,,72-72,,J. Butler misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by A. Tolliver,,72-72,,
9:33.0,K. Caldwell-Pope enters the game for S. Johnson,,72-72,,
9:33.0,A. Drummond enters the game for A. Baynes,,72-72,,
9:27.0,Shooting foul by J. Butler (drawn by A. Drummond),,72-72,,
9:27.0,A. Drummond misses free throw 1 of 2,,72-72,,
9:27.0,Offensive rebound by Team,,72-72,,
9:27.0,A. Drummond misses free throw 2 of 2,,72-72,,
9:25.0,,,72-72,,Defensive rebound by C. Felicio
9:13.0,,,72-74,2,A. Brooks makes 2-pt shot from 8 ft
8:58.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by A. Drummond),3,75-74,,
8:47.0,Personal foul by M. Morris,,75-74,,
8:47.0,,,75-74,,Chicago full timeout
8:47.0,R. Jackson enters the game for S. Blake,,75-74,,
8:39.0,,,75-74,,J. Holiday misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by A. Drummond,,75-74,,
8:25.0,M. Morris makes 2-pt shot from 11 ft,2,77-74,,
8:12.0,,,77-74,,J. Butler misses 2-pt shot from 16 ft
8:11.0,Defensive rebound by Team,,77-74,,
7:49.0,M. Morris misses 3-pt shot from 25 ft,,77-74,,
7:48.0,,,77-74,,Defensive rebound by A. Brooks
7:46.0,Flagrant foul type 1 by M. Morris,,77-74,,
7:46.0,,,77-75,1,J. Butler makes flagrant free throw 1 of 2
7:46.0,,,77-75,,J. Butler misses flagrant free throw 2 of 2
7:46.0,,,77-75,,Offensive rebound by Team
7:35.0,,,77-75,,N. Mirotic misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by A. Drummond,,77-75,,
7:33.0,,,77-75,,Personal foul by J. Butler
7:19.0,Turnover by K. Caldwell-Pope (lost ball; steal by A. Brooks),,77-75,,
7:19.0,Violation by K. Caldwell-Pope (kicked ball),,77-75,,
7:19.0,,,77-75,,P. Gasol enters the game for C. Felicio
7:19.0,T. Harris enters the game for A. Tolliver,,77-75,,
7:07.0,,,77-75,,N. Mirotic misses 2-pt shot from 13 ft
7:05.0,Defensive rebound by M. Morris,,77-75,,
6:58.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,79-75,,
6:31.0,,,79-75,,A. Brooks misses 3-pt shot from 25 ft
6:31.0,,,79-75,,Offensive rebound by Team
6:31.0,,,79-75,,Chicago full timeout
6:17.0,,,79-75,,Personal foul by N. Mirotic
6:17.0,Personal foul by K. Caldwell-Pope,,79-75,,
6:10.0,,,79-75,,Turnover by A. Brooks (lost ball; steal by A. Drummond)
6:05.0,Shooting foul by J. Holiday (drawn by R. Jackson),,79-75,,
6:05.0,R. Jackson misses free throw 1 of 2,,79-75,,
6:05.0,Offensive rebound by Team,,79-75,,
6:05.0,,,79-75,,E. Moore enters the game for A. Brooks
6:05.0,,,79-75,,M. Dunleavy enters the game for N. Mirotic
6:05.0,R. Jackson makes free throw 2 of 2,1,80-75,,
5:45.0,,,80-75,,E. Moore misses 2-pt shot from 9 ft
5:44.0,Defensive rebound by K. Caldwell-Pope,,80-75,,
5:43.0,,,80-75,,Personal take foul by M. Dunleavy
5:43.0,A. Drummond misses free throw 1 of 2,,80-75,,
5:43.0,Offensive rebound by Team,,80-75,,
5:43.0,A. Drummond misses free throw 2 of 2,,80-75,,
5:41.0,,,80-75,,Defensive rebound by J. Butler
5:22.0,,,80-77,2,J. Butler makes 2-pt shot from 9 ft (assist by P. Gasol)
5:22.0,Detroit full timeout,,80-77,,
5:22.0,A. Baynes enters the game for A. Drummond,,80-77,,
5:07.0,T. Harris makes 2-pt shot from 12 ft,2,82-77,,
4:51.0,,,82-79,2,P. Gasol makes 2-pt shot from 2 ft (assist by J. Butler)
4:39.0,Turnover by R. Jackson (traveling),,82-79,,
4:25.0,,,82-81,2,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol)
3:59.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,82-81,,
3:58.0,,,82-81,,Defensive rebound by P. Gasol
3:37.0,,,82-81,,P. Gasol misses 2-pt shot from 19 ft
3:36.0,Defensive rebound by R. Jackson,,82-81,,
3:28.0,R. Jackson misses 2-pt shot from 7 ft,,82-81,,
3:27.0,,,82-81,,Defensive rebound by P. Gasol
3:07.0,,,82-81,,M. Dunleavy misses 2-pt shot from 22 ft
3:06.0,Defensive rebound by A. Baynes,,82-81,,
2:51.0,Turnover by T. Harris (lost ball; steal by J. Butler),,82-81,,
2:38.0,,,82-81,,J. Butler misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by A. Baynes,,82-81,,
2:17.0,Shooting foul by P. Gasol (drawn by A. Baynes),,82-81,,
2:17.0,A. Baynes makes free throw 1 of 2,1,83-81,,
2:17.0,A. Baynes makes free throw 2 of 2,1,84-81,,
2:09.0,Personal foul by M. Morris,,84-81,,
2:09.0,,,84-82,1,J. Butler makes free throw 1 of 2
2:09.0,,,84-83,1,J. Butler makes free throw 2 of 2
1:46.0,R. Jackson makes 2-pt shot from 5 ft,2,86-83,,
1:30.0,,,86-83,,E. Moore misses 3-pt shot from 24 ft
