time,Brooklyn,pts.away,score,pts.home,Washington
1:39.0,,,73-86,,Defensive rebound by M. Gortat
1:24.0,,,73-86,,J. Dudley misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by H. Sims,,73-86,,
1:18.0,M. Brown makes 2-pt shot at rim (assist by D. Sloan),2,75-86,,
0:59.0,,,75-86,,M. Gortat misses 2-pt shot from 2 ft
0:58.0,Defensive rebound by H. Sims,,75-86,,
0:51.0,M. Brown misses 2-pt shot from 7 ft,,75-86,,
0:49.0,,,75-86,,Defensive rebound by M. Gortat
0:43.0,,,75-86,,G. Temple misses 2-pt shot at rim
0:42.0,,,75-86,,Offensive rebound by G. Temple
0:37.0,,,75-86,,O. Porter misses 3-pt shot from 23 ft
0:36.0,,,75-86,,Offensive rebound by M. Gortat
0:29.0,,,75-88,2,O. Porter makes 2-pt shot at rim (assist by R. Sessions)
0:05.0,Turnover by Team (shot clock),,75-88,,
0:02.0,,,75-88,,R. Sessions misses 3-pt shot from 32 ft
0:00.0,,,75-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,75-90,2,J. Dudley makes 2-pt shot from 18 ft (assist by B. Beal)
11:31.0,,,75-90,,Violation by G. Temple (kicked ball)
11:25.0,S. Kilpatrick misses 2-pt shot from 18 ft,,75-90,,
11:23.0,,,75-90,,Defensive rebound by G. Temple
11:18.0,Personal foul by H. Sims,,75-90,,
11:09.0,,,75-90,,N. Hilario misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by C. McCullough,,75-90,,
10:52.0,D. Sloan misses 2-pt shot from 7 ft,,75-90,,
10:50.0,,,75-90,,Defensive rebound by N. Hilario
10:35.0,,,75-93,3,G. Temple makes 3-pt shot from 23 ft (assist by N. Hilario)
10:31.0,Brooklyn full timeout,,75-93,,
10:17.0,Turnover by S. Kilpatrick (lost ball; steal by B. Beal),,75-93,,
10:12.0,,,75-95,2,B. Beal makes 2-pt shot from 1 ft
10:00.0,S. Kilpatrick misses 2-pt shot from 15 ft,,75-95,,
9:59.0,,,75-95,,Defensive rebound by G. Temple
9:50.0,,,75-95,,Turnover by N. Hilario (lost ball; steal by H. Sims)
9:46.0,Shooting foul by K. Oubre (drawn by M. Brown),,75-95,,
9:46.0,M. Brown misses free throw 1 of 2,,75-95,,
9:46.0,Offensive rebound by Team,,75-95,,
9:46.0,M. Brown makes free throw 2 of 2,1,76-95,,
9:32.0,,,76-98,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Dudley)
9:21.0,S. Kilpatrick misses 3-pt shot from 26 ft,,76-98,,
9:19.0,,,76-98,,Defensive rebound by N. Hilario
9:10.0,,,76-98,,B. Beal misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by C. McCullough,,76-98,,
9:03.0,M. Brown makes 2-pt shot from 17 ft,2,78-98,,
9:03.0,Shooting foul by N. Hilario (drawn by M. Brown),,78-98,,
9:03.0,M. Brown makes free throw 1 of 1,1,79-98,,
8:39.0,,,79-98,,G. Temple misses 2-pt shot from 17 ft
8:38.0,,,79-98,,Offensive rebound by N. Hilario
8:37.0,,,79-98,,N. Hilario misses 2-pt shot from 1 ft
8:37.0,,,79-98,,Offensive rebound by N. Hilario
8:37.0,,,79-98,,Shooting foul by C. McCullough (drawn by N. Hilario)
8:37.0,,,79-99,1,N. Hilario makes free throw 1 of 2
8:37.0,,,79-100,1,N. Hilario makes free throw 2 of 2
8:29.0,,,79-100,,Personal foul by K. Oubre
8:23.0,Shooting foul by K. Oubre (drawn by S. Kilpatrick),,79-100,,
8:23.0,S. Kilpatrick makes free throw 1 of 2,1,80-100,,
8:23.0,S. Kilpatrick makes free throw 2 of 2,1,81-100,,
8:04.0,,,81-102,2,B. Beal makes 2-pt shot from 3 ft (assist by G. Temple)
7:56.0,Turnover by D. Sloan (lost ball; steal by G. Temple),,81-102,,
7:51.0,,,81-104,2,B. Beal makes 2-pt shot from 1 ft (assist by G. Temple)
7:47.0,Brooklyn full timeout,,81-104,,
7:47.0,T. Robinson enters the game for H. Sims,,81-104,,
7:47.0,S. Larkin enters the game for D. Sloan,,81-104,,
7:41.0,Turnover by M. Brown (lost ball; steal by N. Hilario),,81-104,,
7:38.0,,,81-104,,Shooting foul by T. Robinson (drawn by G. Temple)
7:38.0,,,81-105,1,G. Temple makes free throw 1 of 2
7:38.0,,,81-106,1,G. Temple makes free throw 2 of 2
7:21.0,S. Kilpatrick misses 2-pt shot from 4 ft,,81-106,,
7:20.0,Offensive rebound by T. Robinson,,81-106,,
7:19.0,T. Robinson misses 2-pt shot from 1 ft,,81-106,,
7:19.0,Offensive rebound by T. Robinson,,81-106,,
7:19.0,Shooting foul by J. Dudley (drawn by T. Robinson),,81-106,,
7:19.0,T. Robinson makes free throw 1 of 2,1,82-106,,
7:19.0,R. Hollis-Jefferson enters the game for M. Brown,,82-106,,
7:19.0,T. Robinson makes free throw 2 of 2,1,83-106,,
7:05.0,,,83-108,2,N. Hilario makes 2-pt shot from 3 ft (assist by B. Beal)
6:50.0,C. McCullough makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,85-108,,
6:36.0,,,85-110,2,N. Hilario makes 2-pt shot at rim
6:25.0,Turnover by S. Kilpatrick (lost ball; steal by K. Oubre),,85-110,,
6:24.0,Personal foul by S. Kilpatrick,,85-110,,
6:24.0,,,85-110,,J. Hickson enters the game for N. Hilario
6:14.0,,,85-113,3,K. Oubre makes 3-pt shot from 25 ft (assist by B. Beal)
5:49.0,C. McCullough misses 2-pt shot from 18 ft,,85-113,,
5:48.0,,,85-113,,Defensive rebound by J. Hickson
5:44.0,,,85-113,,B. Beal misses 3-pt shot from 24 ft
5:43.0,,,85-113,,Offensive rebound by J. Hickson
5:37.0,,,85-113,,J. Dudley misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by T. Robinson,,85-113,,
5:32.0,S. Kilpatrick misses 2-pt shot from 14 ft,,85-113,,
5:29.0,,,85-113,,Defensive rebound by B. Beal
5:21.0,,,85-113,,K. Oubre misses 3-pt shot from 26 ft
5:21.0,Defensive rebound by Team,,85-113,,
5:21.0,,,85-113,,Loose ball foul by J. Hickson
5:21.0,S. Larkin misses free throw 1 of 2,,85-113,,
5:21.0,Offensive rebound by Team,,85-113,,
5:21.0,W. Ellington enters the game for S. Kilpatrick,,85-113,,
