time,Memphis,pts.away,score,pts.home,Utah
0:01.0,T. Allen enters the game for Z. Randolph,,84-84,,
0:01.0,,,84-84,,T. Burke enters the game for C. Johnson
0:01.0,,,84-84,,J. Ingles enters the game for J. Withey
0:00.0,,,84-84,,R. Hood misses 3-pt shot from 30 ft
0:00.0,,,84-84,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:45.0,Shooting foul by J. Withey (drawn by M. Gasol),,84-84,,
4:45.0,,,84-84,,T. Pleiss enters the game for J. Withey
4:45.0,M. Gasol makes free throw 1 of 2,1,85-84,,
4:45.0,M. Gasol misses free throw 2 of 2,,85-84,,
4:45.0,,,85-84,,Defensive rebound by R. Hood
4:22.0,,,85-86,2,R. Hood makes 2-pt shot from 16 ft (assist by T. Booker)
4:04.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley),2,87-86,,
3:41.0,,,87-86,,Turnover by G. Hayward (bad pass; steal by C. Lee)
3:21.0,M. Conley misses 3-pt shot from 24 ft,,87-86,,
3:19.0,,,87-86,,Defensive rebound by T. Booker
2:59.0,,,87-86,,R. Hood misses 3-pt shot from 24 ft
2:58.0,Defensive rebound by J. Green,,87-86,,
2:58.0,,,87-86,,Personal foul by T. Pleiss (drawn by J. Green)
2:37.0,Turnover by M. Conley (bad pass),,87-86,,
2:22.0,,,87-86,,T. Burke misses 2-pt shot from 14 ft
2:21.0,Defensive rebound by T. Allen,,87-86,,
2:03.0,M. Gasol misses 2-pt shot from 2 ft,,87-86,,
2:02.0,,,87-86,,Defensive rebound by T. Pleiss
1:46.0,,,87-86,,T. Pleiss misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by M. Conley,,87-86,,
1:25.0,J. Green misses 3-pt shot from 24 ft (block by T. Booker),,87-86,,
1:24.0,Offensive rebound by Team,,87-86,,
1:24.0,Turnover by Team (shot clock),,87-86,,
1:24.0,,,87-86,,J. Ingles enters the game for T. Pleiss
1:08.0,,,87-86,,Shooting foul by M. Gasol (drawn by T. Booker)
1:08.0,,,87-86,,T. Booker misses free throw 1 of 2
1:08.0,,,87-86,,Offensive rebound by Team
1:08.0,,,87-86,,T. Pleiss enters the game for T. Burke
1:08.0,Z. Randolph enters the game for T. Allen,,87-86,,
1:08.0,,,87-86,,C. Johnson enters the game for J. Ingles
1:08.0,,,87-87,1,T. Booker makes free throw 2 of 2
0:53.0,M. Gasol misses 2-pt shot from 19 ft,,87-87,,
0:52.0,,,87-87,,Defensive rebound by G. Hayward
0:46.0,,,87-87,,Utah full timeout
0:46.0,T. Allen enters the game for Z. Randolph,,87-87,,
0:46.0,,,87-87,,J. Ingles enters the game for T. Pleiss
0:46.0,,,87-87,,T. Burke enters the game for C. Johnson
0:29.0,,,87-87,,Shooting foul by M. Conley (drawn by R. Hood)
0:29.0,,,87-88,1,R. Hood makes free throw 1 of 2
0:29.0,,,87-89,1,R. Hood makes free throw 2 of 2
0:29.0,Memphis full timeout,,87-89,,
0:29.0,,,87-89,,C. Johnson enters the game for T. Burke
0:29.0,Z. Randolph enters the game for T. Allen,,87-89,,
0:20.0,M. Conley misses 2-pt shot from 10 ft,,87-89,,
0:18.0,,,87-89,,Defensive rebound by T. Booker
0:17.0,Personal foul by M. Gasol (drawn by T. Booker),,87-89,,
0:17.0,,,87-90,1,T. Booker makes free throw 1 of 2
0:17.0,,,87-90,,T. Booker misses free throw 2 of 2
0:17.0,Defensive rebound by Z. Randolph,,87-90,,
0:17.0,Memphis full timeout,,87-90,,
0:04.0,C. Lee misses 3-pt shot from 24 ft,,87-90,,
0:02.0,,,87-90,,Defensive rebound by T. Booker
0:02.0,Personal foul by M. Gasol (drawn by T. Booker),,87-90,,
0:02.0,,,87-91,1,T. Booker makes free throw 1 of 2
0:02.0,,,87-92,1,T. Booker makes free throw 2 of 2
0:00.0,End of 1st overtime,,,,End of 1st overtime
