time,Toronto,pts.away,score,pts.home,Minnesota
6:14.0,,,95-99,,Defensive rebound by K. Towns
5:59.0,,,95-99,,K. Towns misses 2-pt shot from 20 ft
5:58.0,,,95-99,,Offensive rebound by Team
5:58.0,Personal foul by D. DeRozan (drawn by A. Wiggins),,95-99,,
5:58.0,,,95-99,,Minnesota full timeout
5:58.0,,,95-100,1,A. Wiggins makes free throw 1 of 2
5:58.0,,,95-101,1,A. Wiggins makes free throw 2 of 2
5:47.0,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph),3,98-101,,
5:23.0,,,98-104,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
5:06.0,C. Joseph makes 2-pt shot from 1 ft,2,100-104,,
4:48.0,,,100-104,,A. Wiggins misses 2-pt shot from 5 ft (block by J. Valanciunas)
4:47.0,Defensive rebound by J. Valanciunas,,100-104,,
4:40.0,,,100-104,,Personal foul by Z. LaVine (drawn by D. DeRozan)
4:29.0,D. DeRozan makes 2-pt shot from 21 ft (assist by C. Joseph),2,102-104,,
4:05.0,,,102-104,,Turnover by R. Rubio (traveling)
3:42.0,J. Valanciunas makes 2-pt shot from 1 ft,2,104-104,,
3:18.0,,,104-106,2,A. Wiggins makes 2-pt shot from 16 ft
3:03.0,C. Joseph misses 2-pt shot from 9 ft,,104-106,,
3:02.0,Offensive rebound by J. Valanciunas,,104-106,,
3:02.0,Shooting foul by K. Towns (drawn by J. Valanciunas),,104-106,,
3:02.0,J. Valanciunas makes free throw 1 of 2,1,105-106,,
3:02.0,J. Valanciunas makes free throw 2 of 2,1,106-106,,
2:50.0,Personal foul by C. Joseph (drawn by A. Wiggins),,106-106,,
2:50.0,Toronto full timeout,,106-106,,
2:50.0,,,106-107,1,A. Wiggins makes free throw 1 of 2
2:50.0,,,106-108,1,A. Wiggins makes free throw 2 of 2
2:34.0,D. DeRozan makes 2-pt shot from 14 ft,2,108-108,,
2:17.0,,,108-110,2,K. Towns makes 2-pt shot from 19 ft (assist by G. Dieng)
2:01.0,,,108-110,,Personal foul by A. Wiggins (drawn by D. DeRozan)
2:01.0,D. DeRozan misses free throw 1 of 2,,108-110,,
2:01.0,Offensive rebound by Team,,108-110,,
2:01.0,B. Biyombo enters the game for J. Valanciunas,,108-110,,
2:01.0,Violation by Team (delay of game),,108-110,,
2:01.0,D. DeRozan makes free throw 2 of 2,1,109-110,,
1:51.0,,,109-112,2,A. Wiggins makes 2-pt shot from 21 ft
1:33.0,D. DeRozan misses 2-pt shot from 19 ft,,109-112,,
1:32.0,,,109-112,,Defensive rebound by K. Towns
1:17.0,,,109-112,,Shooting foul by P. Patterson (drawn by K. Towns)
1:17.0,,,109-113,1,K. Towns makes free throw 1 of 2
1:17.0,Toronto full timeout,,109-113,,
1:17.0,T. Ross enters the game for C. Joseph,,109-113,,
1:17.0,J. Valanciunas enters the game for B. Biyombo,,109-113,,
1:17.0,,,109-113,,K. Towns misses free throw 2 of 2
1:17.0,Defensive rebound by T. Ross,,109-113,,
0:59.0,,,109-113,,Personal foul by R. Rubio (drawn by K. Lowry)
0:59.0,K. Lowry makes free throw 1 of 2,1,110-113,,
0:59.0,B. Biyombo enters the game for J. Valanciunas,,110-113,,
0:59.0,C. Joseph enters the game for T. Ross,,110-113,,
0:59.0,K. Lowry misses free throw 2 of 2,,110-113,,
0:59.0,,,110-113,,Defensive rebound by R. Rubio
0:36.0,,,110-113,,Turnover by G. Dieng (traveling)
0:36.0,Toronto full timeout,,110-113,,
0:36.0,J. Valanciunas enters the game for B. Biyombo,,110-113,,
0:23.0,C. Joseph misses 2-pt shot at rim (block by K. Towns),,110-113,,
0:22.0,,,110-113,,Defensive rebound by K. Towns
0:21.0,Personal take foul by K. Lowry (drawn by G. Dieng),,110-113,,
0:21.0,,,110-114,1,G. Dieng makes free throw 1 of 2
0:21.0,,,110-115,1,G. Dieng makes free throw 2 of 2
0:15.0,K. Lowry misses 3-pt shot from 25 ft,,110-115,,
0:13.0,,,110-115,,Defensive rebound by A. Wiggins
0:10.0,Personal take foul by D. DeRozan (drawn by G. Dieng),,110-115,,
0:10.0,,,110-115,,G. Dieng misses free throw 1 of 2
0:10.0,,,110-115,,Offensive rebound by Team
0:10.0,,,110-115,,G. Dieng misses free throw 2 of 2
0:10.0,Defensive rebound by P. Patterson,,110-115,,
0:09.0,Toronto full timeout,,110-115,,
0:09.0,T. Ross enters the game for C. Joseph,,110-115,,
0:06.0,Shooting foul by G. Dieng (drawn by K. Lowry),,110-115,,
0:06.0,K. Lowry makes free throw 1 of 3,1,111-115,,
0:06.0,K. Lowry misses free throw 2 of 3,,111-115,,
0:06.0,Offensive rebound by Team,,111-115,,
0:06.0,B. Biyombo enters the game for J. Valanciunas,,111-115,,
0:06.0,C. Joseph enters the game for P. Patterson,,111-115,,
0:06.0,K. Lowry makes free throw 3 of 3,1,112-115,,
0:06.0,,,112-115,,Minnesota full timeout
0:06.0,P. Patterson enters the game for T. Ross,,112-115,,
0:05.0,Personal take foul by P. Patterson (drawn by K. Towns),,112-115,,
0:05.0,,,112-116,1,K. Towns makes free throw 1 of 2
0:05.0,T. Ross enters the game for C. Joseph,,112-116,,
0:05.0,,,112-117,1,K. Towns makes free throw 2 of 2
0:00.0,K. Lowry misses 3-pt shot from 35 ft,,112-117,,
0:00.0,Offensive rebound by Team,,112-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
