time,Philadelphia,pts.away,score,pts.home,Minnesota
4:58.0,J. Okafor makes 2-pt shot from 8 ft,2,86-80,,
4:43.0,,,86-82,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
4:25.0,R. Covington misses 2-pt shot from 1 ft,,86-82,,
4:24.0,,,86-82,,Defensive rebound by R. Rubio
4:22.0,,,86-82,,Offensive foul by R. Rubio
4:22.0,,,86-82,,Turnover by R. Rubio (offensive foul)
4:22.0,N. Noel enters the game for J. Okafor,,86-82,,
4:07.0,Turnover by N. Noel (lost ball; steal by K. Towns),,86-82,,
3:58.0,,,86-84,2,A. Wiggins makes 2-pt shot from 4 ft (assist by R. Rubio)
3:30.0,J. Grant makes 3-pt shot from 25 ft (assist by I. Canaan),3,89-84,,
3:05.0,,,89-86,2,Z. LaVine makes 2-pt shot from 3 ft
2:39.0,H. Thompson makes 2-pt shot from 8 ft,2,91-86,,
2:27.0,,,91-88,2,A. Wiggins makes 2-pt shot from 11 ft
2:27.0,,,91-88,,Shooting foul by J. Grant (drawn by A. Wiggins)
2:27.0,Philadelphia full timeout,,91-88,,
2:27.0,T. McConnell enters the game for I. Canaan,,91-88,,
2:27.0,,,91-89,1,A. Wiggins makes free throw 1 of 1
2:16.0,Turnover by J. Grant (bad pass; steal by K. Martin),,91-89,,
2:12.0,,,91-89,,K. Martin misses 2-pt shot from 2 ft (block by J. Grant)
2:11.0,,,91-89,,Offensive rebound by A. Wiggins
2:11.0,,,91-91,2,A. Wiggins makes 2-pt shot at rim
2:11.0,,,91-91,,Shooting foul by N. Noel (drawn by A. Wiggins)
2:11.0,J. Okafor enters the game for N. Noel,,91-91,,
2:11.0,,,91-91,,A. Wiggins misses free throw 1 of 1
2:11.0,Defensive rebound by J. Grant,,91-91,,
2:03.0,R. Covington misses 3-pt shot from 24 ft,,91-91,,
2:01.0,,,91-91,,Defensive rebound by R. Rubio
1:46.0,,,91-91,,A. Wiggins misses 2-pt shot from 18 ft
1:44.0,Defensive rebound by H. Thompson,,91-91,,
1:27.0,J. Grant misses 2-pt shot from 3 ft,,91-91,,
1:26.0,,,91-91,,Defensive rebound by Team
1:11.0,I. Canaan enters the game for J. Grant,,91-91,,
1:11.0,,,91-91,,Minnesota full timeout
1:11.0,J. Grant enters the game for H. Thompson,,91-91,,
1:04.0,,,91-91,,Shooting foul by T. McConnell (drawn by A. Wiggins)
1:04.0,,,91-92,1,A. Wiggins makes free throw 1 of 2
1:04.0,H. Thompson enters the game for J. Grant,,91-92,,
1:04.0,,,91-93,1,A. Wiggins makes free throw 2 of 2
0:49.0,T. McConnell misses 2-pt shot from 1 ft,,91-93,,
0:48.0,,,91-93,,Defensive rebound by R. Rubio
0:28.0,,,91-96,3,K. Martin makes 3-pt shot from 24 ft (assist by A. Wiggins)
0:28.0,Philadelphia full timeout,,91-96,,
0:18.0,I. Canaan misses 3-pt shot from 28 ft,,91-96,,
0:17.0,Offensive rebound by R. Covington,,91-96,,
0:14.0,R. Covington misses 3-pt shot from 22 ft,,91-96,,
0:13.0,,,91-96,,Defensive rebound by K. Martin
0:13.0,Personal take foul by I. Canaan (drawn by K. Martin),,91-96,,
0:13.0,,,91-97,1,K. Martin makes free throw 1 of 2
0:13.0,,,91-98,1,K. Martin makes free throw 2 of 2
0:13.0,Philadelphia full timeout,,91-98,,
0:06.0,R. Covington makes 2-pt shot from 2 ft,2,93-98,,
0:06.0,Personal take foul by I. Canaan (drawn by Z. LaVine),,93-98,,
0:06.0,,,93-99,1,Z. LaVine makes free throw 1 of 2
0:06.0,,,93-100,1,Z. LaVine makes free throw 2 of 2
0:06.0,Philadelphia full timeout,,93-100,,
0:02.0,H. Thompson makes 2-pt shot from 7 ft,2,95-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
