time,Phoenix,pts.away,score,pts.home,Indiana
3:45.0,Turnover by D. Booker (offensive foul),,86-100,,
3:36.0,,,86-100,,Shooting foul by A. Goodwin (drawn by P. George)
3:36.0,,,86-101,1,P. George makes free throw 1 of 2
3:36.0,M. Teletovic enters the game for M. Morris,,86-101,,
3:36.0,,,86-102,1,P. George makes free throw 2 of 2
3:27.0,P. Tucker misses 2-pt shot from 1 ft,,86-102,,
3:26.0,Offensive rebound by M. Teletovic,,86-102,,
3:26.0,M. Teletovic misses 2-pt shot from 1 ft,,86-102,,
3:24.0,Offensive rebound by T. Warren,,86-102,,
3:22.0,T. Warren misses 2-pt shot from 5 ft,,86-102,,
3:22.0,Offensive rebound by Team,,86-102,,
3:22.0,,,86-102,,Loose ball foul by I. Mahinmi (drawn by P. Tucker)
3:19.0,Shooting foul by I. Mahinmi (drawn by A. Goodwin),,86-102,,
3:19.0,A. Goodwin misses free throw 1 of 2,,86-102,,
3:19.0,Offensive rebound by Team,,86-102,,
3:19.0,,,86-102,,S. Hill enters the game for I. Mahinmi
3:19.0,A. Goodwin makes free throw 2 of 2,1,87-102,,
3:00.0,,,87-104,2,M. Ellis makes 2-pt shot at rim
2:49.0,Shooting foul by S. Hill (drawn by A. Goodwin),,87-104,,
2:49.0,,,87-104,,Indiana full timeout
2:49.0,A. Goodwin misses free throw 1 of 2,,87-104,,
2:49.0,Offensive rebound by Team,,87-104,,
2:49.0,A. Goodwin misses free throw 2 of 2,,87-104,,
2:49.0,,,87-104,,Defensive rebound by C. Miles
2:27.0,,,87-104,,G. Hill misses 3-pt shot from 23 ft
2:27.0,,,87-104,,Offensive rebound by Team
2:27.0,Loose ball foul by P. Tucker (drawn by S. Hill),,87-104,,
2:27.0,L. Brown enters the game for P. Tucker,,87-104,,
2:27.0,,,87-105,1,S. Hill makes free throw 1 of 2
2:27.0,S. Weems enters the game for D. Booker,,87-105,,
2:27.0,,,87-105,,M. Turner enters the game for P. George
2:27.0,,,87-105,,J. Young enters the game for M. Ellis
2:27.0,,,87-105,,C. Budinger enters the game for G. Hill
2:27.0,,,87-105,,G. Robinson enters the game for C. Miles
2:27.0,,,87-106,1,S. Hill makes free throw 2 of 2
2:10.0,M. Teletovic makes 3-pt shot from 25 ft (assist by A. Goodwin),3,90-106,,
1:56.0,,,90-108,2,M. Turner makes 2-pt shot from 13 ft
1:39.0,M. Teletovic misses 3-pt shot from 25 ft,,90-108,,
1:38.0,,,90-108,,Defensive rebound by G. Robinson
1:24.0,,,90-110,2,M. Turner makes 2-pt shot from 15 ft (assist by J. Young)
1:15.0,,,90-110,,Personal foul by J. Young
1:15.0,L. Brown makes free throw 1 of 2,1,91-110,,
1:15.0,L. Brown makes free throw 2 of 2,1,92-110,,
1:05.0,,,92-112,2,C. Budinger makes 2-pt shot at rim (assist by J. Young)
0:54.0,Turnover by L. Brown (lost ball; steal by J. Young),,92-112,,
0:48.0,,,92-114,2,C. Budinger makes 2-pt shot at rim (assist by G. Robinson)
0:43.0,S. Weems makes 2-pt shot from 19 ft (assist by T. Warren),2,94-114,,
0:29.0,,,94-116,2,J. Young makes 2-pt shot from 19 ft
0:18.0,Shooting foul by M. Turner (drawn by A. Goodwin),,94-116,,
0:18.0,A. Goodwin makes free throw 1 of 2,1,95-116,,
0:18.0,A. Goodwin misses free throw 2 of 2,,95-116,,
0:18.0,Offensive rebound by T. Warren,,95-116,,
0:17.0,T. Warren makes 2-pt shot at rim,2,97-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
