time,Minnesota,pts.away,score,pts.home,New York
4:10.0,,,86-94,,Defensive rebound by J. Calderon
3:51.0,,,86-94,,Shooting foul by Z. LaVine (drawn by C. Anthony)
3:51.0,,,86-95,1,C. Anthony makes free throw 1 of 2
3:51.0,,,86-95,,A. Afflalo enters the game for J. Calderon
3:51.0,,,86-96,1,C. Anthony makes free throw 2 of 2
3:47.0,Minnesota full timeout,,86-96,,
3:39.0,Z. LaVine misses 2-pt shot from 21 ft,,86-96,,
3:38.0,,,86-96,,Defensive rebound by C. Anthony
3:20.0,,,86-96,,K. Porzingis misses 2-pt shot from 15 ft
3:19.0,Defensive rebound by G. Dieng,,86-96,,
3:03.0,K. Towns makes 2-pt shot from 1 ft,2,88-96,,
2:40.0,,,88-96,,C. Anthony misses 2-pt shot from 3 ft (block by G. Dieng)
2:38.0,Defensive rebound by A. Wiggins,,88-96,,
2:33.0,A. Wiggins makes 2-pt shot from 1 ft,2,90-96,,
2:14.0,,,90-96,,C. Anthony misses 2-pt shot from 2 ft
2:13.0,,,90-96,,Offensive rebound by C. Anthony
2:13.0,,,90-96,,R. Lopez misses 2-pt shot at rim
2:12.0,,,90-96,,Offensive rebound by C. Anthony
2:12.0,Personal foul by K. Towns (drawn by C. Anthony),,90-96,,
2:12.0,,,90-97,1,C. Anthony makes free throw 1 of 2
2:12.0,,,90-98,1,C. Anthony makes free throw 2 of 2
2:00.0,K. Towns makes 2-pt shot from 17 ft,2,92-98,,
1:36.0,,,92-98,,C. Anthony misses 2-pt shot from 14 ft
1:35.0,Defensive rebound by K. Towns,,92-98,,
1:27.0,R. Rubio misses 2-pt shot from 2 ft (block by R. Lopez),,92-98,,
1:26.0,,,92-98,,Defensive rebound by C. Anthony
1:25.0,,,92-98,,Shooting foul by A. Wiggins (drawn by A. Afflalo)
1:25.0,,,92-98,,A. Afflalo misses free throw 1 of 2
1:25.0,,,92-98,,Offensive rebound by Team
1:25.0,,,92-99,1,A. Afflalo makes free throw 2 of 2
1:25.0,Minnesota full timeout,,92-99,,
1:16.0,Turnover by A. Wiggins (bad pass),,92-99,,
0:55.0,,,92-99,,C. Anthony misses 2-pt shot from 2 ft
0:54.0,Defensive rebound by G. Dieng,,92-99,,
0:53.0,Z. LaVine misses 2-pt shot from 2 ft (block by L. Galloway),,92-99,,
0:52.0,Offensive rebound by Team,,92-99,,
0:49.0,Z. LaVine makes 2-pt shot from 12 ft,2,94-99,,
0:41.0,,,94-99,,New York full timeout
0:29.0,,,94-99,,Shooting foul by G. Dieng (drawn by A. Afflalo)
0:29.0,,,94-100,1,A. Afflalo makes free throw 1 of 2
0:29.0,,,94-101,1,A. Afflalo makes free throw 2 of 2
0:29.0,Minnesota full timeout,,94-101,,
0:29.0,,,94-101,,L. Thomas enters the game for R. Lopez
0:22.0,Z. LaVine makes 3-pt shot from 27 ft (assist by R. Rubio),3,97-101,,
0:22.0,Personal take foul by A. Wiggins (drawn by C. Anthony),,97-101,,
0:22.0,,,97-102,1,C. Anthony makes free throw 1 of 2
0:22.0,,,97-103,1,C. Anthony makes free throw 2 of 2
0:15.0,Z. LaVine misses 3-pt shot from 25 ft,,97-103,,
0:14.0,Offensive rebound by K. Towns,,97-103,,
0:11.0,K. Towns makes 2-pt shot from 1 ft,2,99-103,,
0:11.0,Shooting foul by K. Porzingis (drawn by K. Towns),,99-103,,
0:11.0,,,99-103,,R. Lopez enters the game for L. Galloway
0:11.0,K. Towns makes free throw 1 of 1,1,100-103,,
0:11.0,,,100-103,,New York full timeout
0:11.0,,,100-103,,L. Galloway enters the game for R. Lopez
0:11.0,,,100-103,,J. Calderon enters the game for L. Thomas
0:11.0,T. Prince enters the game for G. Dieng,,100-103,,
0:11.0,Personal take foul by R. Rubio (drawn by A. Afflalo),,100-103,,
0:11.0,,,100-104,1,A. Afflalo makes free throw 1 of 2
0:11.0,,,100-104,,L. Thomas enters the game for J. Calderon
0:11.0,G. Dieng enters the game for T. Prince,,100-104,,
0:11.0,,,100-105,1,A. Afflalo makes free throw 2 of 2
0:07.0,Z. LaVine misses 3-pt shot from 26 ft,,100-105,,
0:06.0,Offensive rebound by G. Dieng,,100-105,,
0:05.0,G. Dieng makes 2-pt shot from 3 ft,2,102-105,,
0:04.0,Personal take foul by A. Wiggins (drawn by A. Afflalo),,102-105,,
0:04.0,,,102-106,1,A. Afflalo makes free throw 1 of 2
0:04.0,,,102-107,1,A. Afflalo makes free throw 2 of 2
0:04.0,Minnesota full timeout,,102-107,,
0:02.0,K. Towns misses 3-pt shot from 24 ft (block by K. Porzingis),,102-107,,
0:01.0,Offensive rebound by A. Wiggins,,102-107,,
0:00.0,A. Wiggins misses 3-pt shot from 24 ft,,102-107,,
0:00.0,Offensive rebound by Team,,102-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
