time,New York,pts.away,score,pts.home,Chicago
3:55.0,,,81-100,,Defensive rebound by N. Mirotic
3:49.0,,,81-103,3,D. McDermott makes 3-pt shot from 23 ft (assist by J. Butler)
3:47.0,New York full timeout,,81-103,,
3:47.0,,,81-103,,T. Snell enters the game for J. Butler
3:33.0,K. Seraphin enters the game for C. Anthony,,81-103,,
3:33.0,J. Grant enters the game for R. Lopez,,81-103,,
3:33.0,S. Vujacic enters the game for J. Calderon,,81-103,,
3:33.0,J. Grant misses 2-pt shot from 2 ft,,81-103,,
3:33.0,Offensive rebound by K. Seraphin,,81-103,,
3:33.0,,,81-103,,Personal foul by T. Snell (drawn by K. Seraphin)
3:33.0,K. Seraphin misses free throw 1 of 2,,81-103,,
3:33.0,Offensive rebound by Team,,81-103,,
3:33.0,K. Seraphin misses free throw 2 of 2,,81-103,,
3:32.0,,,81-103,,Defensive rebound by N. Mirotic
3:14.0,,,81-105,2,T. Snell makes 2-pt shot from 21 ft (assist by D. McDermott)
2:49.0,D. Williams misses 3-pt shot from 25 ft,,81-105,,
2:48.0,,,81-105,,Defensive rebound by T. Snell
2:29.0,,,81-105,,B. Portis misses 2-pt shot from 4 ft (block by K. Seraphin)
2:27.0,Defensive rebound by S. Vujacic,,81-105,,
2:17.0,A. Afflalo misses 2-pt shot from 20 ft,,81-105,,
2:16.0,,,81-105,,Defensive rebound by T. Snell
2:11.0,,,81-105,,Turnover by E. Moore (bad pass)
2:11.0,,,81-105,,C. Bairstow enters the game for N. Mirotic
1:54.0,S. Vujacic misses 2-pt shot from 23 ft,,81-105,,
1:53.0,,,81-105,,Defensive rebound by C. Bairstow
1:41.0,,,81-108,3,D. McDermott makes 3-pt shot from 25 ft (assist by E. Moore)
1:25.0,K. Seraphin misses 2-pt shot from 13 ft,,81-108,,
1:24.0,,,81-108,,Defensive rebound by B. Portis
1:11.0,,,81-108,,C. Bairstow misses 2-pt shot from 1 ft (block by J. Grant)
1:09.0,,,81-108,,Offensive rebound by C. Bairstow
1:09.0,,,81-108,,C. Bairstow misses 2-pt shot from 1 ft
1:07.0,Defensive rebound by J. Grant,,81-108,,
0:57.0,K. Seraphin misses 2-pt shot from 10 ft,,81-108,,
0:55.0,,,81-108,,Defensive rebound by B. Portis
0:33.0,,,81-108,,T. Snell misses 2-pt shot from 21 ft
0:33.0,,,81-108,,Offensive rebound by Team
0:33.0,,,81-108,,Turnover by Team (shot clock)
0:21.0,J. Grant misses 2-pt shot from 18 ft,,81-108,,
0:20.0,Offensive rebound by J. Grant,,81-108,,
0:10.0,J. Grant misses 3-pt shot from 24 ft,,81-108,,
0:09.0,,,81-108,,Defensive rebound by T. Snell
0:00.0,End of 4th quarter,,,,End of 4th quarter
