time,Chicago,pts.away,score,pts.home,Dallas
4:38.0,,,101-104,,C. Villanueva misses 2-pt shot from 6 ft
4:37.0,,,101-104,,Offensive rebound by C. Villanueva
4:33.0,,,101-104,,C. Parsons misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by N. Mirotic,,101-104,,
4:17.0,D. Rose makes 2-pt shot from 8 ft,2,103-104,,
4:05.0,,,103-106,2,J. Barea makes 2-pt shot from 6 ft
3:51.0,D. Rose makes 2-pt shot at rim,2,105-106,,
3:51.0,Shooting foul by D. Powell (drawn by D. Rose),,105-106,,
3:51.0,,,105-106,,D. Nowitzki enters the game for D. Powell
3:51.0,,,105-106,,Z. Pachulia enters the game for C. Villanueva
3:51.0,T. Gibson enters the game for A. Brooks,,105-106,,
3:51.0,D. Rose makes free throw 1 of 1,1,106-106,,
3:36.0,,,106-106,,Turnover by C. Parsons (bad pass; steal by J. Butler)
3:28.0,J. Butler misses 2-pt shot from 17 ft,,106-106,,
3:27.0,,,106-106,,Defensive rebound by Z. Pachulia
3:11.0,,,106-106,,Z. Pachulia misses 2-pt shot from 1 ft
3:10.0,,,106-106,,Offensive rebound by Z. Pachulia
3:09.0,,,106-108,2,Z. Pachulia makes 2-pt shot at rim
2:54.0,D. Rose makes 2-pt shot from 19 ft,2,108-108,,
2:33.0,,,108-108,,J. Barea misses 2-pt shot from 18 ft
2:31.0,Defensive rebound by D. Rose,,108-108,,
2:19.0,D. Rose misses 2-pt shot from 15 ft,,108-108,,
2:18.0,,,108-108,,Defensive rebound by R. Felton
2:09.0,,,108-108,,J. Barea misses 3-pt shot from 23 ft
2:09.0,,,108-108,,Offensive rebound by Team
2:09.0,Loose ball foul by P. Gasol (drawn by Z. Pachulia),,108-108,,
2:09.0,Official timeout,,108-108,,
1:54.0,,,108-108,,D. Nowitzki misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by D. Rose,,108-108,,
1:28.0,D. Rose misses 2-pt shot from 17 ft,,108-108,,
1:27.0,,,108-108,,Defensive rebound by D. Nowitzki
1:07.0,,,108-108,,Shooting foul by T. Gibson (drawn by R. Felton)
1:07.0,,,108-109,1,R. Felton makes free throw 1 of 2
1:07.0,,,108-109,,W. Matthews enters the game for J. Barea
1:07.0,,,108-110,1,R. Felton makes free throw 2 of 2
1:00.0,Turnover by D. Rose (bad pass; steal by R. Felton),,108-110,,
0:55.0,,,108-112,2,W. Matthews makes 2-pt shot at rim (assist by C. Parsons)
0:54.0,Chicago full timeout,,108-112,,
0:42.0,D. Rose misses 2-pt shot from 7 ft,,108-112,,
0:40.0,,,108-112,,Defensive rebound by R. Felton
0:39.0,Personal block foul by J. Butler (drawn by R. Felton),,108-112,,
0:39.0,,,108-113,1,R. Felton makes free throw 1 of 2
0:39.0,,,108-114,1,R. Felton makes free throw 2 of 2
0:39.0,Chicago full timeout,,108-114,,
0:39.0,D. McDermott enters the game for T. Gibson,,108-114,,
0:39.0,,,108-114,,D. Harris enters the game for D. Nowitzki
0:35.0,J. Butler makes 3-pt shot from 24 ft (assist by D. McDermott),3,111-114,,
0:35.0,,,111-114,,Dallas full timeout
0:35.0,,,111-114,,D. Nowitzki enters the game for C. Parsons
0:35.0,,,111-114,,J. Barea enters the game for D. Harris
0:35.0,T. Gibson enters the game for D. McDermott,,111-114,,
0:13.0,,,111-114,,D. Nowitzki misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by N. Mirotic,,111-114,,
0:12.0,Chicago full timeout,,111-114,,
0:12.0,,,111-114,,C. Parsons enters the game for D. Nowitzki
0:12.0,,,111-114,,D. Harris enters the game for J. Barea
0:12.0,D. McDermott enters the game for T. Gibson,,111-114,,
0:11.0,Turnover by Team (5 sec inbounds),,111-114,,
0:11.0,K. Hinrich enters the game for N. Mirotic,,111-114,,
0:11.0,T. Gibson enters the game for D. McDermott,,111-114,,
0:11.0,,,111-114,,D. Nowitzki enters the game for Z. Pachulia
0:11.0,,,111-114,,J. Barea enters the game for D. Harris
0:11.0,,,111-114,,Dallas full timeout
0:11.0,N. Mirotic enters the game for T. Gibson,,111-114,,
0:11.0,Personal take foul by K. Hinrich (drawn by R. Felton),,111-114,,
0:11.0,,,111-115,1,R. Felton makes free throw 1 of 2
0:11.0,D. McDermott enters the game for K. Hinrich,,111-115,,
0:11.0,,,111-115,,Z. Pachulia enters the game for D. Nowitzki
0:11.0,,,111-115,,D. Harris enters the game for J. Barea
0:11.0,,,111-116,1,R. Felton makes free throw 2 of 2
0:05.0,Turnover by J. Butler (lost ball; steal by W. Matthews),,111-116,,
0:01.0,,,111-118,2,C. Parsons makes 2-pt shot at rim (assist by W. Matthews)
0:00.0,End of 4th quarter,,,,End of 4th quarter
