time,Phoenix,pts.away,score,pts.home,Orlando
7:53.0,,,89-73,,Defensive rebound by Team
7:47.0,,,89-73,,Offensive foul by J. Smith
7:47.0,,,89-73,,Turnover by J. Smith (offensive foul)
7:47.0,,,89-73,,N. Vucevic enters the game for J. Smith
7:31.0,J. Jenkins misses 2-pt shot from 18 ft,,89-73,,
7:30.0,,,89-73,,Defensive rebound by E. Ilyasova
7:23.0,,,89-73,,N. Vucevic misses 2-pt shot from 19 ft
7:22.0,Defensive rebound by M. Teletovic,,89-73,,
7:04.0,R. Price makes 2-pt shot from 20 ft,2,91-73,,
6:55.0,,,91-73,,E. Payton misses 2-pt shot from 1 ft
6:53.0,,,91-73,,Offensive rebound by E. Payton
6:53.0,,,91-75,2,E. Payton makes 2-pt shot at rim
6:28.0,R. Price makes 2-pt shot from 13 ft (assist by A. Goodwin),2,93-75,,
6:14.0,,,93-75,,E. Ilyasova misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by M. Teletovic,,93-75,,
5:56.0,A. Len misses 2-pt shot from 14 ft,,93-75,,
5:55.0,,,93-75,,Defensive rebound by E. Ilyasova
5:44.0,,,93-75,,N. Vucevic misses 2-pt shot from 9 ft
5:43.0,Defensive rebound by A. Len,,93-75,,
5:37.0,Official timeout,,93-75,,
5:37.0,D. Booker enters the game for J. Jenkins,,93-75,,
5:37.0,Jump ball: A. Goodwin vs. N. Vucevic (E. Fournier gains possession),,,,Jump ball: A. Goodwin vs. N. Vucevic (E. Fournier gains possession)
5:37.0,Turnover by A. Goodwin (lost ball; steal by N. Vucevic),,93-75,,
5:24.0,Personal foul by A. Goodwin (drawn by M. Hezonja),,93-75,,
5:09.0,,,93-75,,N. Vucevic misses 2-pt shot from 1 ft
5:08.0,,,93-75,,Offensive rebound by E. Ilyasova
5:08.0,,,93-75,,E. Ilyasova misses 2-pt shot at rim
5:06.0,,,93-75,,Offensive rebound by E. Ilyasova
5:06.0,,,93-75,,E. Ilyasova misses 2-pt shot from 1 ft
5:05.0,Defensive rebound by M. Teletovic,,93-75,,
4:46.0,M. Teletovic misses 3-pt shot from 25 ft,,93-75,,
4:45.0,,,93-75,,Defensive rebound by M. Hezonja
4:33.0,,,93-77,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by E. Payton)
4:18.0,Turnover by R. Price (bad pass; steal by E. Fournier),,93-77,,
4:16.0,,,93-77,,Shooting foul by R. Price (drawn by E. Fournier)
4:16.0,,,93-77,,E. Fournier misses free throw 1 of 2
4:16.0,,,93-77,,Offensive rebound by Team
4:16.0,P. Tucker enters the game for A. Goodwin,,93-77,,
4:16.0,T. Chandler enters the game for M. Teletovic,,93-77,,
4:16.0,,,93-77,,E. Fournier misses free throw 2 of 2
4:14.0,Defensive rebound by P. Tucker,,93-77,,
4:05.0,T. Chandler misses 2-pt shot from 1 ft,,93-77,,
4:03.0,,,93-77,,Defensive rebound by E. Ilyasova
3:55.0,,,93-77,,N. Vucevic misses 2-pt shot from 14 ft
3:52.0,Defensive rebound by T. Chandler,,93-77,,
3:37.0,A. Len misses 2-pt shot from 8 ft (block by N. Vucevic),,93-77,,
3:34.0,,,93-77,,Defensive rebound by N. Vucevic
3:30.0,,,93-79,2,E. Fournier makes 2-pt shot from 2 ft
3:15.0,Shooting foul by N. Vucevic (drawn by T. Chandler),,93-79,,
3:15.0,T. Chandler misses free throw 1 of 2,,93-79,,
3:15.0,Offensive rebound by Team,,93-79,,
3:15.0,M. Teletovic enters the game for T. Chandler,,93-79,,
3:15.0,T. Chandler misses free throw 2 of 2,,93-79,,
3:15.0,Offensive rebound by Team,,93-79,,
3:14.0,,,93-79,,Personal foul by N. Vucevic (drawn by T. Chandler)
3:14.0,A. Len makes free throw 1 of 2,1,94-79,,
3:14.0,A. Len makes free throw 2 of 2,1,95-79,,
3:02.0,,,95-79,,M. Hezonja misses 3-pt shot from 23 ft
3:01.0,Defensive rebound by Team,,95-79,,
3:01.0,,,95-79,,Personal foul by N. Vucevic (drawn by A. Len)
3:01.0,A. Len misses free throw 1 of 2,,95-79,,
3:01.0,Offensive rebound by Team,,95-79,,
3:01.0,,,95-79,,B. Jennings enters the game for E. Fournier
3:01.0,,,95-79,,D. Dedmon enters the game for N. Vucevic
3:01.0,,,95-79,,A. Nicholson enters the game for M. Hezonja
3:01.0,,,95-79,,S. Napier enters the game for E. Payton
3:01.0,,,95-79,,D. Marble enters the game for E. Ilyasova
3:01.0,A. Len misses free throw 2 of 2,,95-79,,
3:00.0,,,95-79,,Defensive rebound by D. Dedmon
2:40.0,,,95-79,,B. Jennings misses 2-pt shot from 15 ft
2:39.0,,,95-79,,Offensive rebound by B. Jennings
2:36.0,,,95-79,,D. Marble misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by A. Len,,95-79,,
2:20.0,Shooting foul by D. Dedmon (drawn by A. Len),,95-79,,
2:20.0,,,95-79,,Orlando full timeout
2:20.0,A. Len makes free throw 1 of 2,1,96-79,,
2:20.0,A. Len makes free throw 2 of 2,1,97-79,,
2:07.0,,,97-82,3,S. Napier makes 3-pt shot from 25 ft (assist by D. Dedmon)
1:48.0,Turnover by A. Len (bad pass; steal by D. Dedmon),,97-82,,
1:43.0,,,97-84,2,D. Dedmon makes 2-pt shot at rim (assist by B. Jennings)
1:24.0,R. Price makes 3-pt shot from 26 ft (assist by D. Booker),3,100-84,,
1:14.0,,,100-84,,S. Napier misses 2-pt shot from 19 ft
1:13.0,Defensive rebound by P. Tucker,,100-84,,
1:02.0,,,100-84,,Personal foul by B. Jennings (drawn by D. Booker)
1:02.0,D. Booker makes free throw 1 of 2,1,101-84,,
1:02.0,J. Leuer enters the game for A. Len,,101-84,,
1:02.0,D. Booker makes free throw 2 of 2,1,102-84,,
0:53.0,,,102-84,,Turnover by S. Napier (bad pass)
0:33.0,R. Price misses 2-pt shot from 13 ft,,102-84,,
0:31.0,,,102-84,,Defensive rebound by D. Marble
0:22.0,,,102-84,,Turnover by D. Marble (lost ball; steal by P. Tucker)
0:00.0,End of 4th quarter,,,,End of 4th quarter
