time,Dallas,pts.away,score,pts.home,Phoenix
9:48.0,D. Nowitzki enters the game for C. Villanueva,,90-71,,
9:32.0,,,90-73,2,B. Knight makes 2-pt shot from 1 ft
9:30.0,,,90-73,,Personal foul by B. Knight (drawn by D. Harris)
9:17.0,D. Harris misses 3-pt shot from 24 ft,,90-73,,
9:15.0,,,90-73,,Defensive rebound by J. Leuer
9:07.0,,,90-73,,J. Leuer misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by J. Barea,,90-73,,
8:50.0,Shooting foul by B. Knight (drawn by R. Felton),,90-73,,
8:50.0,Official timeout,,90-73,,
8:50.0,R. Felton makes free throw 1 of 2,1,91-73,,
8:50.0,R. Felton makes free throw 2 of 2,1,92-73,,
8:42.0,,,92-75,2,E. Bledsoe makes 2-pt shot from 2 ft
8:42.0,,,92-75,,Shooting foul by J. Barea (drawn by E. Bledsoe)
8:42.0,,,92-76,1,E. Bledsoe makes free throw 1 of 1
8:22.0,D. Nowitzki misses 2-pt shot from 17 ft,,92-76,,
8:21.0,,,92-76,,Defensive rebound by A. Goodwin
8:06.0,,,92-78,2,E. Bledsoe makes 2-pt shot from 12 ft
7:53.0,D. Harris makes 2-pt shot from 1 ft,2,94-78,,
7:34.0,,,94-78,,D. Booker misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by R. Felton,,94-78,,
7:23.0,J. Evans misses 2-pt shot from 1 ft,,94-78,,
7:22.0,Offensive rebound by J. Evans,,94-78,,
7:22.0,J. Evans makes 2-pt shot from 1 ft,2,96-78,,
7:09.0,,,96-78,,A. Goodwin misses 2-pt shot from 6 ft (block by D. Nowitzki)
7:07.0,Defensive rebound by D. Nowitzki,,96-78,,
6:54.0,R. Felton makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,99-78,,
6:51.0,,,99-78,,Phoenix full timeout
6:51.0,D. Powell enters the game for D. Nowitzki,,99-78,,
6:51.0,W. Matthews enters the game for D. Harris,,99-78,,
6:51.0,,,99-78,,S. Weems enters the game for E. Bledsoe
6:51.0,,,99-78,,R. Price enters the game for J. Leuer
6:51.0,,,99-78,,M. Teletovic enters the game for A. Goodwin
6:39.0,,,99-78,,B. Knight misses 2-pt shot from 4 ft
6:37.0,Defensive rebound by J. Evans,,99-78,,
6:20.0,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea),2,101-78,,
6:03.0,,,101-80,2,M. Teletovic makes 2-pt shot from 8 ft
6:03.0,,,101-80,,Shooting foul by J. Barea (drawn by M. Teletovic)
6:03.0,,,101-80,,M. Teletovic misses free throw 1 of 1
6:02.0,Defensive rebound by W. Matthews,,101-80,,
5:45.0,J. Barea makes 2-pt shot from 4 ft,2,103-80,,
5:36.0,,,103-80,,B. Knight misses 2-pt shot from 8 ft
5:35.0,Defensive rebound by Team,,103-80,,
5:16.0,D. Powell makes 2-pt shot at rim (assist by R. Felton),2,105-80,,
5:04.0,,,105-80,,Offensive charge foul by R. Price
5:04.0,,,105-80,,Turnover by R. Price (offensive foul)
5:04.0,,,105-80,,A. Goodwin enters the game for B. Knight
4:49.0,J. Barea misses 3-pt shot from 25 ft,,105-80,,
4:48.0,,,105-80,,Defensive rebound by A. Goodwin
4:37.0,,,105-80,,M. Teletovic misses 2-pt shot from 1 ft
4:36.0,,,105-80,,Offensive rebound by M. Teletovic
4:36.0,,,105-80,,M. Teletovic misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by R. Felton,,105-80,,
4:11.0,R. Felton makes 3-pt shot from 25 ft,3,108-80,,
3:49.0,,,108-82,2,A. Goodwin makes 2-pt shot from 1 ft
3:39.0,Dallas full timeout,,108-82,,
3:39.0,J. Jenkins enters the game for W. Matthews,,108-82,,
3:28.0,,,108-82,,Personal foul by M. Teletovic (drawn by D. Powell)
3:28.0,D. Powell misses free throw 1 of 2,,108-82,,
3:28.0,Offensive rebound by Team,,108-82,,
3:28.0,J. Anderson enters the game for J. Evans,,108-82,,
3:28.0,D. Powell makes free throw 2 of 2,1,109-82,,
3:19.0,,,109-84,2,D. Booker makes 2-pt shot from 1 ft
2:58.0,J. Barea misses 3-pt shot from 25 ft,,109-84,,
2:56.0,,,109-84,,Defensive rebound by S. Weems
2:47.0,,,109-84,,Shooting foul by R. Felton (drawn by D. Booker)
2:47.0,,,109-84,,D. Booker misses free throw 1 of 2
2:47.0,,,109-84,,Offensive rebound by Team
2:47.0,,,109-84,,D. Booker misses free throw 2 of 2
2:46.0,Defensive rebound by J. Anderson,,109-84,,
2:27.0,R. Felton misses 2-pt shot from 1 ft,,109-84,,
2:26.0,Offensive rebound by R. Felton,,109-84,,
2:13.0,,,109-84,,Violation by M. Teletovic (kicked ball)
2:13.0,S. Mejri enters the game for D. Powell,,109-84,,
1:58.0,R. Felton misses 3-pt shot from 25 ft,,109-84,,
1:56.0,,,109-84,,Defensive rebound by D. Booker
1:51.0,,,109-86,2,D. Booker makes 2-pt shot from 2 ft (assist by S. Weems)
1:51.0,,,109-86,,Shooting foul by J. Anderson (drawn by D. Booker)
1:51.0,,,109-87,1,D. Booker makes free throw 1 of 1
1:38.0,Turnover by J. Barea (bad pass; steal by D. Booker),,109-87,,
1:35.0,,,109-87,,Turnover by S. Weems (bad pass)
1:13.0,J. Barea misses 3-pt shot from 26 ft,,109-87,,
1:11.0,,,109-87,,Defensive rebound by S. Weems
1:05.0,,,109-90,3,M. Teletovic makes 3-pt shot from 25 ft (assist by S. Weems)
0:49.0,J. Anderson misses 3-pt shot from 23 ft,,109-90,,
0:47.0,,,109-90,,Defensive rebound by M. Teletovic
0:44.0,,,109-92,2,D. Booker makes 2-pt shot at rim (assist by A. Goodwin)
0:30.0,J. Jenkins misses 2-pt shot from 17 ft,,109-92,,
0:28.0,,,109-92,,Defensive rebound by M. Teletovic
0:24.0,,,109-92,,Shooting foul by J. Jenkins (drawn by A. Goodwin)
0:24.0,,,109-93,1,A. Goodwin makes free throw 1 of 2
0:24.0,,,109-94,1,A. Goodwin makes free throw 2 of 2
0:16.0,J. Anderson makes 2-pt shot from 1 ft,2,111-94,,
0:07.0,,,111-94,,Shooting foul by J. Anderson (drawn by A. Goodwin)
0:07.0,,,111-95,1,A. Goodwin makes free throw 1 of 2
0:07.0,,,111-95,,A. Goodwin misses free throw 2 of 2
0:07.0,Defensive rebound by S. Mejri,,111-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
