time,LA Lakers,pts.away,score,pts.home,Denver
1:31.0,,,101-112,1,D. Augustin makes free throw 1 of 2
1:31.0,,,101-113,1,D. Augustin makes free throw 2 of 2
1:21.0,B. Bass makes 2-pt shot from 1 ft (assist by D. Russell),2,103-113,,
1:21.0,Shooting foul by N. Jokic (drawn by B. Bass),,103-113,,
1:21.0,B. Bass makes free throw 1 of 1,1,104-113,,
0:55.0,,,104-113,,E. Mudiay misses 2-pt shot from 19 ft
0:54.0,Defensive rebound by J. Randle,,104-113,,
0:46.0,Shooting foul by N. Jokic (drawn by J. Randle),,104-113,,
0:46.0,J. Randle misses free throw 1 of 2,,104-113,,
0:46.0,Offensive rebound by Team,,104-113,,
0:46.0,J. Randle makes free throw 2 of 2,1,105-113,,
0:42.0,Personal foul by M. Huertas (drawn by D. Augustin),,105-113,,
0:42.0,,,105-114,1,D. Augustin makes free throw 1 of 2
0:42.0,,,105-115,1,D. Augustin makes free throw 2 of 2
0:37.0,D. Russell makes 2-pt shot at rim (assist by M. Huertas),2,107-115,,
0:33.0,Personal take foul by A. Brown (drawn by E. Mudiay),,107-115,,
0:33.0,,,107-115,,E. Mudiay misses free throw 1 of 2
0:33.0,,,107-115,,Offensive rebound by Team
0:33.0,,,107-115,,E. Mudiay misses free throw 2 of 2
0:31.0,Defensive rebound by J. Randle,,107-115,,
0:25.0,J. Randle misses 3-pt shot from 25 ft,,107-115,,
0:23.0,,,107-115,,Defensive rebound by J. Lauvergne
0:18.0,Personal take foul by D. Russell (drawn by D. Augustin),,107-115,,
0:18.0,,,107-116,1,D. Augustin makes free throw 1 of 2
0:18.0,,,107-117,1,D. Augustin makes free throw 2 of 2
0:09.0,D. Russell misses 3-pt shot from 25 ft,,107-117,,
0:08.0,,,107-117,,Defensive rebound by J. Lauvergne
0:00.0,End of 4th quarter,,,,End of 4th quarter
