time,Portland,pts.away,score,pts.home,Boston
5:48.0,,,82-107,,Shooting foul by N. Vonleh (drawn by T. Zeller)
5:48.0,Official timeout,,82-107,,
5:48.0,,,82-108,1,T. Zeller makes free throw 1 of 1
5:31.0,P. Connaughton misses 2-pt shot from 16 ft,,82-108,,
5:30.0,,,82-108,,Defensive rebound by E. Turner
5:15.0,,,82-108,,T. Zeller misses 2-pt shot from 5 ft
5:14.0,,,82-108,,Offensive rebound by Team
5:02.0,,,82-108,,J. Jerebko misses 2-pt shot from 6 ft
5:01.0,,,82-108,,Offensive rebound by Team
4:49.0,,,82-108,,M. Smart misses 3-pt shot from 25 ft
4:48.0,,,82-108,,Offensive rebound by J. Jerebko
4:42.0,,,82-110,2,M. Smart makes 2-pt shot from 1 ft (assist by J. Jerebko)
4:14.0,N. Vonleh misses 2-pt shot from 5 ft,,82-110,,
4:13.0,,,82-110,,Defensive rebound by E. Turner
4:06.0,,,82-110,,E. Turner misses 2-pt shot from 17 ft
4:05.0,Defensive rebound by P. Connaughton,,82-110,,
3:57.0,A. Crabbe misses 3-pt shot from 27 ft,,82-110,,
3:56.0,Offensive rebound by B. Roberts,,82-110,,
3:51.0,B. Roberts makes 2-pt shot from 19 ft,2,84-110,,
3:37.0,Shooting block foul by N. Vonleh (drawn by T. Zeller),,84-110,,
3:37.0,,,84-111,1,T. Zeller makes free throw 1 of 2
3:37.0,,,84-111,,R. Hunter enters the game for E. Turner
3:37.0,,,84-111,,J. Mickey enters the game for J. Jerebko
3:37.0,,,84-112,1,T. Zeller makes free throw 2 of 2
3:22.0,Turnover by P. Connaughton (bad pass; steal by T. Rozier),,84-112,,
3:18.0,,,84-112,,Turnover by T. Rozier (lost ball; steal by B. Roberts)
3:13.0,P. Connaughton makes 3-pt shot from 25 ft (assist by B. Roberts),3,87-112,,
2:56.0,,,87-112,,R. Hunter misses 2-pt shot from 17 ft
2:55.0,Defensive rebound by M. Harkless,,87-112,,
2:45.0,P. Connaughton makes 2-pt shot from 2 ft,2,89-112,,
2:32.0,,,89-114,2,T. Rozier makes 2-pt shot from 13 ft
2:11.0,N. Vonleh makes 2-pt shot from 19 ft (assist by P. Connaughton),2,91-114,,
2:10.0,,,91-114,,Boston full timeout
2:10.0,,,91-114,,J. Jerebko enters the game for M. Smart
1:59.0,,,91-116,2,J. Jerebko makes 2-pt shot at rim (assist by T. Rozier)
1:45.0,Turnover by M. Harkless (lost ball; steal by T. Rozier),,91-116,,
1:42.0,,,91-116,,R. Hunter misses 2-pt shot from 1 ft (block by A. Crabbe)
1:41.0,,,91-116,,Offensive rebound by Team
1:32.0,,,91-116,,T. Rozier misses 2-pt shot from 16 ft
1:29.0,Defensive rebound by N. Vonleh,,91-116,,
1:20.0,P. Connaughton misses 2-pt shot from 1 ft (block by J. Mickey),,91-116,,
1:19.0,,,91-116,,Defensive rebound by J. Jerebko
1:13.0,,,91-116,,T. Rozier misses 3-pt shot from 25 ft
1:11.0,,,91-116,,Offensive rebound by T. Zeller
1:01.0,,,91-116,,T. Rozier misses 2-pt shot from 16 ft
1:00.0,Defensive rebound by N. Vonleh,,91-116,,
0:55.0,A. Crabbe makes 2-pt shot from 1 ft (assist by B. Roberts),2,93-116,,
0:40.0,,,93-116,,R. Hunter misses 2-pt shot from 6 ft
0:39.0,Defensive rebound by P. Connaughton,,93-116,,
0:35.0,Turnover by P. Connaughton (bad pass),,93-116,,
0:12.0,,,93-116,,T. Rozier misses 2-pt shot from 14 ft
0:11.0,Defensive rebound by N. Vonleh,,93-116,,
0:05.0,P. Connaughton misses 3-pt shot from 27 ft,,93-116,,
0:03.0,,,93-116,,Defensive rebound by T. Zeller
0:00.0,End of 4th quarter,,,,End of 4th quarter
