time,Orlando,pts.away,score,pts.home,Philadelphia
3:11.0,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon),2,42-40,,
2:56.0,,,42-40,,R. Holmes misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by V. Oladipo,,42-40,,
2:45.0,Shooting foul by R. Holmes (drawn by A. Gordon),,42-40,,
2:45.0,Orlando full timeout,,42-40,,
2:45.0,,,42-40,,H. Thompson enters the game for N. Noel
2:45.0,,,42-40,,J. Grant enters the game for N. Stauskas
2:45.0,,,42-40,,J. Okafor enters the game for R. Holmes
2:45.0,A. Gordon makes free throw 1 of 2,1,43-40,,
2:45.0,A. Gordon misses free throw 2 of 2,,43-40,,
2:43.0,,,43-40,,Defensive rebound by T. McConnell
2:30.0,,,43-42,2,J. Okafor makes 2-pt shot from 2 ft (assist by H. Thompson)
2:18.0,D. Dedmon misses 2-pt shot from 2 ft,,43-42,,
2:16.0,Offensive rebound by D. Dedmon,,43-42,,
2:16.0,Shooting foul by I. Canaan (drawn by D. Dedmon),,43-42,,
2:16.0,D. Dedmon makes free throw 1 of 2,1,44-42,,
2:16.0,D. Dedmon makes free throw 2 of 2,1,45-42,,
1:59.0,,,45-44,2,J. Okafor makes 2-pt shot at rim
1:44.0,E. Payton makes 2-pt shot from 1 ft (assist by V. Oladipo),2,47-44,,
1:25.0,,,47-44,,Turnover by J. Okafor (step out of bounds)
1:10.0,E. Fournier misses 2-pt shot from 9 ft,,47-44,,
1:07.0,Offensive rebound by A. Gordon,,47-44,,
1:06.0,A. Gordon makes 2-pt shot from 1 ft,2,49-44,,
0:51.0,,,49-44,,Turnover by J. Grant (bad pass; steal by A. Gordon)
0:45.0,A. Gordon misses 2-pt shot from 1 ft (block by J. Grant),,49-44,,
0:44.0,Offensive rebound by Team,,49-44,,
0:36.0,Shooting foul by J. Grant (drawn by D. Dedmon),,49-44,,
0:36.0,D. Dedmon makes free throw 1 of 2,1,50-44,,
0:36.0,D. Dedmon makes free throw 2 of 2,1,51-44,,
0:14.0,,,51-44,,Turnover by J. Okafor (lost ball; steal by V. Oladipo)
0:01.0,V. Oladipo misses 2-pt shot from 17 ft,,51-44,,
0:00.0,,,51-44,,Defensive rebound by J. Grant
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,51-44,,Personal foul by J. Okafor (drawn by T. Harris)
11:44.0,V. Oladipo misses 2-pt shot from 9 ft,,51-44,,
11:42.0,Offensive rebound by D. Dedmon,,51-44,,
11:22.0,V. Oladipo misses 2-pt shot from 1 ft,,51-44,,
11:20.0,,,51-44,,Defensive rebound by J. Grant
11:04.0,,,51-46,2,J. Grant makes 2-pt shot at rim (assist by N. Stauskas)
10:44.0,V. Oladipo makes 2-pt shot from 5 ft (assist by E. Fournier),2,53-46,,
10:36.0,,,53-48,2,T. McConnell makes 2-pt shot from 2 ft
10:27.0,Shooting foul by J. Grant (drawn by D. Dedmon),,53-48,,
10:27.0,D. Dedmon makes free throw 1 of 2,1,54-48,,
10:27.0,D. Dedmon makes free throw 2 of 2,1,55-48,,
10:03.0,,,55-48,,N. Stauskas misses 3-pt shot from 28 ft
10:01.0,,,55-48,,Offensive rebound by J. Okafor
9:46.0,,,55-48,,Turnover by T. McConnell (lost ball; steal by V. Oladipo)
9:43.0,Shooting foul by N. Stauskas (drawn by T. Harris),,55-48,,
9:43.0,T. Harris makes free throw 1 of 2,1,56-48,,
9:43.0,T. Harris misses free throw 2 of 2,,56-48,,
9:42.0,,,56-48,,Defensive rebound by J. Okafor
9:28.0,,,56-48,,J. Grant misses 2-pt shot from 3 ft (block by D. Dedmon)
9:28.0,,,56-48,,Offensive rebound by Team
9:17.0,,,56-48,,Turnover by Team (shot clock)
9:07.0,V. Oladipo makes 2-pt shot from 12 ft,2,58-48,,
9:05.0,,,58-48,,Philadelphia full timeout
8:42.0,,,58-48,,N. Noel misses 2-pt shot from 7 ft
8:40.0,Defensive rebound by D. Dedmon,,58-48,,
8:24.0,D. Dedmon makes 2-pt shot from 4 ft (assist by E. Payton),2,60-48,,
7:59.0,,,60-48,,Turnover by N. Noel (bad pass; steal by E. Fournier)
7:55.0,E. Fournier makes 3-pt shot from 25 ft,3,63-48,,
7:40.0,,,63-48,,I. Canaan enters the game for J. Grant
7:33.0,,,63-51,3,N. Stauskas makes 3-pt shot from 27 ft (assist by T. McConnell)
7:14.0,Turnover by V. Oladipo (bad pass; steal by I. Canaan),,63-51,,
7:10.0,,,63-51,,I. Canaan misses 2-pt shot from 4 ft
7:10.0,Defensive rebound by E. Payton,,63-51,,
7:10.0,,,63-51,,Loose ball foul by N. Noel (drawn by T. Harris)
7:10.0,M. Hezonja enters the game for V. Oladipo,,63-51,,
6:55.0,E. Fournier misses 3-pt shot from 27 ft,,63-51,,
6:53.0,Offensive rebound by Team,,63-51,,
6:41.0,E. Fournier misses 2-pt shot from 3 ft,,63-51,,
6:39.0,,,63-51,,Defensive rebound by I. Canaan
6:27.0,,,63-51,,J. Okafor misses 2-pt shot from 2 ft (block by D. Dedmon)
6:23.0,Defensive rebound by E. Fournier,,63-51,,
6:19.0,M. Hezonja makes 3-pt shot from 26 ft (assist by E. Payton),3,66-51,,
6:18.0,,,66-51,,Philadelphia full timeout
6:18.0,C. Watson enters the game for E. Payton,,66-51,,
5:59.0,Personal foul by D. Dedmon (drawn by J. Okafor),,66-51,,
5:59.0,,,66-51,,R. Holmes enters the game for N. Stauskas
5:59.0,,,66-51,,H. Thompson enters the game for N. Noel
5:48.0,,,66-51,,Shooting foul by M. Hezonja (drawn by J. Okafor)
5:48.0,,,66-52,1,J. Okafor makes free throw 1 of 2
5:48.0,,,66-53,1,J. Okafor makes free throw 2 of 2
5:43.0,Turnover by C. Watson (traveling),,66-53,,
5:27.0,,,66-55,2,T. McConnell makes 2-pt shot from 14 ft
5:17.0,M. Hezonja misses 2-pt shot from 7 ft,,66-55,,
5:15.0,,,66-55,,Defensive rebound by I. Canaan
5:09.0,,,66-55,,I. Canaan misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by Team,,66-55,,
5:07.0,J. Smith enters the game for D. Dedmon,,66-55,,
4:52.0,E. Fournier makes 2-pt shot from 2 ft,2,68-55,,
4:33.0,,,68-57,2,I. Canaan makes 2-pt shot from 2 ft (assist by R. Holmes)
4:33.0,,,68-57,,Shooting foul by E. Fournier (drawn by I. Canaan)
4:33.0,,,68-57,,P. Pressey enters the game for T. McConnell
4:33.0,A. Gordon enters the game for T. Harris,,68-57,,
4:33.0,S. Napier enters the game for M. Hezonja,,68-57,,
4:33.0,,,68-58,1,I. Canaan makes free throw 1 of 1
4:21.0,C. Watson misses 2-pt shot from 10 ft,,68-58,,
4:19.0,Offensive rebound by C. Watson,,68-58,,
4:16.0,J. Smith makes 2-pt shot from 14 ft (assist by C. Watson),2,70-58,,
3:57.0,,,70-58,,Shooting foul by C. Watson (drawn by P. Pressey)
3:57.0,,,70-60,2,P. Pressey makes 2-pt shot from 1 ft
3:57.0,,,70-60,,N. Stauskas enters the game for J. Okafor
3:57.0,,,70-61,1,P. Pressey makes free throw 1 of 1
3:41.0,J. Smith misses 2-pt shot from 15 ft,,70-61,,
3:39.0,,,70-61,,Defensive rebound by N. Stauskas
3:32.0,,,70-63,2,R. Holmes makes 2-pt shot from 2 ft (assist by N. Stauskas)
3:19.0,Turnover by S. Napier (bad pass; steal by I. Canaan),,70-63,,
3:13.0,,,70-66,3,I. Canaan makes 3-pt shot from 26 ft (assist by P. Pressey)
3:00.0,E. Fournier makes 3-pt shot from 25 ft (assist by S. Napier),3,73-66,,
2:47.0,,,73-66,,I. Canaan misses 3-pt shot from 24 ft
2:46.0,,,73-66,,Offensive rebound by Team
2:44.0,Orlando full timeout,,73-66,,
2:44.0,,,73-66,,N. Noel enters the game for R. Holmes
2:28.0,Personal foul by E. Fournier (drawn by P. Pressey),,73-66,,
2:28.0,,,73-66,,P. Pressey misses free throw 1 of 2
2:28.0,,,73-66,,Offensive rebound by Team
2:28.0,,,73-66,,P. Pressey misses free throw 2 of 2
2:27.0,Defensive rebound by E. Fournier,,73-66,,
2:10.0,J. Smith makes 2-pt shot from 2 ft (assist by E. Fournier),2,75-66,,
1:57.0,,,75-69,3,I. Canaan makes 3-pt shot from 25 ft (assist by P. Pressey)
1:51.0,Offensive foul by J. Smith,,75-69,,
1:51.0,Turnover by J. Smith (offensive foul),,75-69,,
1:51.0,V. Oladipo enters the game for S. Napier,,75-69,,
1:51.0,,,75-69,,Flagrant foul type 1 by N. Noel (drawn by J. Smith)
1:51.0,,,75-69,,Turnover by N. Noel (offensive foul)
1:51.0,J. Smith makes flagrant free throw 1 of 2,1,76-69,,
1:51.0,,,76-69,,J. Okafor enters the game for N. Noel
1:51.0,,,76-69,,T. McConnell enters the game for P. Pressey
1:51.0,J. Smith makes flagrant free throw 2 of 2,1,77-69,,
1:40.0,C. Watson misses 2-pt shot from 20 ft,,77-69,,
