time,Denver,pts.away,score,pts.home,Cleveland
2:18.0,,,85-116,,Defensive rebound by I. Shumpert
2:08.0,,,85-119,3,J. McRae makes 3-pt shot from 26 ft
1:52.0,M. Miller makes 3-pt shot from 27 ft (assist by E. Mudiay),3,88-119,,
1:31.0,,,88-119,,R. Jefferson misses 2-pt shot from 6 ft
1:30.0,Defensive rebound by N. Jokic,,88-119,,
1:15.0,N. Jokic misses 2-pt shot from 3 ft,,88-119,,
1:15.0,,,88-119,,Defensive rebound by S. Kaun
1:09.0,,,88-119,,Turnover by J. McRae (lost ball; steal by E. Mudiay)
1:00.0,M. Miller misses 3-pt shot from 25 ft,,88-119,,
1:00.0,,,88-119,,Defensive rebound by S. Kaun
0:48.0,,,88-122,3,J. Jones makes 3-pt shot from 25 ft (assist by I. Shumpert)
0:37.0,Turnover by M. Miller (lost ball; steal by S. Kaun),,88-122,,
0:33.0,,,88-124,2,I. Shumpert makes 2-pt shot at rim (assist by J. McRae)
0:23.0,E. Mudiay makes 3-pt shot from 24 ft,3,91-124,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
