time,Memphis,pts.away,score,pts.home,New York
7:50.0,Defensive rebound by J. Green,,75-71,,
7:38.0,J. Green misses 2-pt shot at rim (block by K. Porzingis),,75-71,,
7:36.0,Offensive rebound by V. Carter,,75-71,,
7:35.0,V. Carter misses 3-pt shot from 25 ft,,75-71,,
7:35.0,Offensive rebound by Team,,75-71,,
7:35.0,,,75-71,,Loose ball foul by A. Afflalo (drawn by J. Green)
7:26.0,Turnover by V. Carter (lost ball; steal by J. Calderon),,75-71,,
7:13.0,,,75-71,,A. Afflalo misses 3-pt shot from 22 ft
7:12.0,Defensive rebound by Team,,75-71,,
7:12.0,,,75-71,,Loose ball foul by K. Porzingis (drawn by M. Barnes)
6:58.0,M. Gasol makes 2-pt shot from 13 ft (assist by M. Conley),2,77-71,,
6:44.0,,,77-71,,K. Porzingis misses 2-pt shot from 15 ft
6:43.0,Defensive rebound by M. Conley,,77-71,,
6:32.0,M. Barnes misses 3-pt shot from 24 ft,,77-71,,
6:31.0,,,77-71,,Defensive rebound by Team
6:30.0,Loose ball foul by M. Conley (drawn by K. Porzingis),,77-71,,
6:14.0,,,77-71,,J. Calderon misses 3-pt shot from 24 ft
6:14.0,,,77-71,,Offensive rebound by K. Porzingis
6:09.0,,,77-71,,Turnover by K. Porzingis (lost ball; steal by M. Gasol)
5:50.0,M. Gasol misses 2-pt shot from 12 ft,,77-71,,
5:49.0,Offensive rebound by Team,,77-71,,
5:49.0,,,77-71,,New York full timeout
5:49.0,,,77-71,,L. Galloway enters the game for S. Vujacic
5:36.0,M. Conley misses 2-pt shot from 2 ft,,77-71,,
5:35.0,,,77-71,,Defensive rebound by J. Calderon
5:23.0,,,77-71,,K. Porzingis misses 2-pt shot at rim
5:21.0,Defensive rebound by M. Barnes,,77-71,,
5:18.0,Shooting foul by K. Porzingis (drawn by V. Carter),,77-71,,
5:18.0,V. Carter makes free throw 1 of 2,1,78-71,,
5:18.0,Z. Randolph enters the game for M. Barnes,,78-71,,
5:18.0,V. Carter misses free throw 2 of 2,,78-71,,
5:17.0,,,78-71,,Defensive rebound by A. Afflalo
4:55.0,,,78-73,2,L. Galloway makes 2-pt shot from 23 ft
4:40.0,,,78-73,,Def 3 sec tech foul by R. Lopez
4:40.0,M. Conley makes technical free throw,1,79-73,,
4:27.0,Turnover by M. Gasol (lost ball),,79-73,,
4:15.0,,,79-73,,L. Galloway misses 2-pt shot from 19 ft
4:15.0,,,79-73,,Offensive rebound by L. Galloway
4:11.0,,,79-73,,J. Calderon misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by M. Gasol,,79-73,,
4:10.0,Memphis full timeout,,79-73,,
3:56.0,J. Green makes 2-pt shot from 7 ft,2,81-73,,
3:43.0,,,81-73,,Turnover by K. Porzingis (bad pass; steal by J. Green)
3:39.0,J. Green makes 2-pt shot at rim,2,83-73,,
3:19.0,,,83-73,,Shooting foul by Z. Randolph (drawn by K. Porzingis)
3:19.0,,,83-74,1,K. Porzingis makes free throw 1 of 2
3:19.0,,,83-75,1,K. Porzingis makes free throw 2 of 2
2:59.0,M. Conley misses 2-pt shot at rim (block by K. Porzingis),,83-75,,
2:58.0,,,83-75,,Defensive rebound by R. Lopez
2:50.0,,,83-75,,A. Afflalo misses 3-pt shot from 22 ft
2:49.0,,,83-75,,Offensive rebound by R. Lopez
2:48.0,,,83-77,2,R. Lopez makes 2-pt shot from 1 ft
2:22.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,85-77,,
2:08.0,,,85-80,3,K. Porzingis makes 3-pt shot from 22 ft (assist by L. Galloway)
1:44.0,J. Green misses 2-pt shot from 2 ft (block by K. Porzingis),,85-80,,
1:44.0,,,85-80,,Defensive rebound by A. Afflalo
1:32.0,,,85-80,,New York full timeout
1:32.0,C. Lee enters the game for V. Carter,,85-80,,
1:29.0,,,85-82,2,A. Afflalo makes 2-pt shot from 20 ft (assist by J. Calderon)
1:27.0,,,85-82,,Personal foul by L. Galloway (drawn by M. Conley)
1:27.0,M. Conley makes free throw 1 of 2,1,86-82,,
1:27.0,M. Conley makes free throw 2 of 2,1,87-82,,
1:12.0,,,87-82,,Turnover by R. Lopez (offensive foul)
1:12.0,,,87-82,,Offensive foul by R. Lopez
0:54.0,Z. Randolph misses 2-pt shot from 14 ft,,87-82,,
0:53.0,,,87-82,,Defensive rebound by J. Calderon
0:38.0,,,87-85,3,A. Afflalo makes 3-pt shot from 22 ft (assist by J. Calderon)
0:38.0,Memphis full timeout,,87-85,,
0:17.0,M. Gasol misses 2-pt shot at rim,,87-85,,
0:17.0,,,87-85,,Defensive rebound by L. Galloway
0:09.0,,,87-85,,A. Afflalo misses 2-pt shot from 12 ft
0:09.0,Defensive rebound by J. Green,,87-85,,
0:06.0,,,87-85,,Personal take foul by A. Afflalo (drawn by J. Green)
0:06.0,J. Green makes free throw 1 of 2,1,88-85,,
0:06.0,J. Green makes free throw 2 of 2,1,89-85,,
0:06.0,,,89-85,,New York full timeout
