time,Sacramento,pts.away,score,pts.home,New York
2:26.0,,,88-78,,J. Grant misses 2-pt shot from 20 ft
2:25.0,Defensive rebound by M. Belinelli,,88-78,,
2:04.0,R. Gay misses 2-pt shot from 9 ft,,88-78,,
2:03.0,,,88-78,,Defensive rebound by Team
2:03.0,Loose ball foul by D. Cousins,,88-78,,
2:03.0,Sacramento full timeout,,88-78,,
1:40.0,,,88-78,,K. Porzingis misses 2-pt shot from 15 ft
1:39.0,Defensive rebound by R. Rondo,,88-78,,
1:16.0,R. Rondo misses 2-pt shot from 19 ft,,88-78,,
1:15.0,,,88-78,,Defensive rebound by R. Lopez
1:06.0,,,88-78,,J. Grant misses 2-pt shot from 1 ft
1:05.0,Defensive rebound by R. Gay,,88-78,,
0:43.0,D. Cousins misses 2-pt shot from 21 ft,,88-78,,
0:42.0,,,88-78,,Defensive rebound by K. Porzingis
0:34.0,,,88-78,,K. Porzingis misses 3-pt shot from 29 ft
0:33.0,Defensive rebound by Team,,88-78,,
0:09.0,Turnover by Team (shot clock),,88-78,,
0:04.0,,,88-78,,J. Grant misses 3-pt shot from 24 ft
0:03.0,,,88-78,,Offensive rebound by L. Galloway
0:01.0,,,88-80,2,L. Galloway makes 2-pt shot from 7 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
