time,Portland,pts.away,score,pts.home,Orlando
3:25.0,Offensive rebound by A. Aminu,,80-94,,
3:24.0,A. Aminu makes 2-pt shot at rim,2,82-94,,
3:09.0,,,82-94,,N. Vucevic misses 2-pt shot from 19 ft
3:07.0,Defensive rebound by A. Crabbe,,82-94,,
2:56.0,D. Lillard misses 3-pt shot from 24 ft,,82-94,,
2:56.0,,,82-94,,Defensive rebound by T. Harris
2:38.0,,,82-94,,V. Oladipo misses 2-pt shot from 16 ft
2:37.0,Defensive rebound by A. Aminu,,82-94,,
2:34.0,Official timeout,,82-94,,
2:26.0,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard),3,85-94,,
2:00.0,Personal foul by M. Plumlee (drawn by A. Nicholson),,85-94,,
1:50.0,,,85-96,2,A. Nicholson makes 2-pt shot from 8 ft
1:50.0,,,85-96,,Shooting foul by M. Plumlee (drawn by A. Nicholson)
1:50.0,M. Leonard enters the game for M. Plumlee,,85-96,,
1:50.0,,,85-96,,A. Nicholson misses free throw 1 of 1
1:47.0,Defensive rebound by M. Leonard,,85-96,,
1:41.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,88-96,,
1:28.0,,,88-96,,N. Vucevic misses 2-pt shot from 14 ft
1:28.0,,,88-96,,Offensive rebound by T. Harris
1:28.0,,,88-98,2,T. Harris makes 2-pt shot from 1 ft
1:20.0,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum),3,91-98,,
1:19.0,,,91-98,,Turnover by E. Payton (bad pass; steal by D. Lillard)
1:12.0,D. Lillard misses 3-pt shot from 25 ft,,91-98,,
1:11.0,,,91-98,,Defensive rebound by E. Payton
1:11.0,Personal foul by A. Aminu (drawn by E. Payton),,91-98,,
1:11.0,,,91-99,1,E. Payton makes free throw 1 of 2
1:11.0,,,91-100,1,E. Payton makes free throw 2 of 2
1:00.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,94-100,,
0:40.0,,,94-100,,E. Payton misses 2-pt shot from 12 ft
0:39.0,Defensive rebound by C. McCollum,,94-100,,
0:27.0,C. McCollum misses 3-pt shot from 24 ft,,94-100,,
0:26.0,,,94-100,,Defensive rebound by T. Harris
0:26.0,Personal foul by A. Crabbe (drawn by T. Harris),,94-100,,
0:26.0,,,94-101,1,T. Harris makes free throw 1 of 2
0:26.0,,,94-102,1,T. Harris makes free throw 2 of 2
0:26.0,Portland full timeout,,94-102,,
0:26.0,,,94-102,,A. Gordon enters the game for A. Nicholson
0:19.0,A. Crabbe misses 3-pt shot from 23 ft,,94-102,,
0:18.0,,,94-102,,Defensive rebound by N. Vucevic
0:00.0,End of 4th quarter,,,,End of 4th quarter
