time,Utah,pts.away,score,pts.home,Philadelphia
4:19.0,,,92-65,,Defensive rebound by J. Okafor
4:05.0,,,92-65,,N. Noel misses 2-pt shot from 9 ft
4:03.0,Defensive rebound by T. Booker,,92-65,,
3:49.0,A. Burks makes 2-pt shot at rim (assist by T. Burke),2,94-65,,
3:49.0,,,94-65,,Philadelphia full timeout
3:49.0,R. Neto enters the game for A. Burks,,94-65,,
3:49.0,C. Johnson enters the game for T. Burke,,94-65,,
3:49.0,,,94-65,,J. Sampson enters the game for N. Noel
3:49.0,,,94-65,,R. Holmes enters the game for J. Okafor
3:49.0,,,94-65,,C. Wood enters the game for I. Canaan
3:25.0,,,94-65,,Turnover by J. Grant (bad pass; steal by J. Ingles)
3:05.0,T. Booker misses 2-pt shot from 3 ft (block by R. Holmes),,94-65,,
3:05.0,Offensive rebound by Team,,94-65,,
3:00.0,T. Booker misses 2-pt shot from 17 ft,,94-65,,
2:58.0,,,94-65,,Defensive rebound by J. Sampson
2:42.0,,,94-65,,J. Grant misses 3-pt shot from 22 ft
2:40.0,Defensive rebound by C. Johnson,,94-65,,
2:22.0,C. Johnson misses 2-pt shot from 8 ft,,94-65,,
2:20.0,Offensive rebound by C. Johnson,,94-65,,
2:20.0,C. Johnson makes 2-pt shot from 1 ft,2,96-65,,
2:11.0,,,96-65,,Shooting foul by T. Lyles (drawn by C. Wood)
2:11.0,,,96-65,,C. Wood misses free throw 1 of 2
2:11.0,,,96-65,,Offensive rebound by Team
2:11.0,T. Pleiss enters the game for T. Booker,,96-65,,
2:11.0,,,96-66,1,C. Wood makes free throw 2 of 2
1:55.0,T. Pleiss makes 2-pt shot at rim (assist by C. Johnson),2,98-66,,
1:46.0,,,98-66,,Shooting foul by T. Pleiss (drawn by R. Holmes)
1:46.0,,,98-67,1,R. Holmes makes free throw 1 of 2
1:46.0,,,98-67,,R. Holmes misses free throw 2 of 2
1:45.0,Defensive rebound by T. Pleiss,,98-67,,
1:34.0,Turnover by T. Lyles (lost ball; steal by J. Sampson),,98-67,,
1:27.0,,,98-69,2,T. McConnell makes 2-pt shot from 1 ft
1:11.0,T. Lyles misses 2-pt shot from 6 ft,,98-69,,
1:09.0,,,98-69,,Defensive rebound by J. Grant
1:00.0,,,98-69,,C. Wood misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by T. Lyles,,98-69,,
0:49.0,T. Lyles misses 2-pt shot from 21 ft,,98-69,,
0:46.0,,,98-69,,Defensive rebound by J. Grant
0:34.0,,,98-69,,Shooting foul by T. Pleiss (drawn by C. Wood)
0:34.0,,,98-70,1,C. Wood makes free throw 1 of 2
0:34.0,,,98-71,1,C. Wood makes free throw 2 of 2
0:14.0,Shooting foul by J. Sampson (drawn by R. Neto),,98-71,,
0:14.0,R. Neto misses free throw 1 of 2,,98-71,,
0:14.0,Offensive rebound by Team,,98-71,,
0:14.0,,,98-71,,H. Thompson enters the game for J. Sampson
0:14.0,R. Neto makes free throw 2 of 2,1,99-71,,
0:06.0,,,99-71,,J. Grant misses 2-pt shot at rim
0:04.0,Defensive rebound by C. Johnson,,99-71,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
