time,Houston,pts.away,score,pts.home,Indiana
3:16.0,Offensive rebound by Team,,95-100,,
3:16.0,J. Harden makes free throw 2 of 3,1,96-100,,
3:16.0,J. Harden makes free throw 3 of 3,1,97-100,,
3:03.0,,,97-100,,M. Ellis misses 2-pt shot at rim
3:03.0,Defensive rebound by M. Beasley,,97-100,,
2:53.0,Turnover by J. Harden (lost ball; steal by M. Ellis),,97-100,,
2:38.0,,,97-100,,Turnover by I. Mahinmi (lost ball; steal by C. Brewer)
2:33.0,Shooting foul by I. Mahinmi (drawn by C. Brewer),,97-100,,
2:33.0,C. Brewer makes free throw 1 of 2,1,98-100,,
2:33.0,C. Brewer makes free throw 2 of 2,1,99-100,,
2:22.0,,,99-100,,P. George misses 3-pt shot from 27 ft
2:21.0,,,99-100,,Offensive rebound by I. Mahinmi
2:04.0,,,99-102,2,M. Ellis makes 2-pt shot from 20 ft (assist by G. Hill)
1:42.0,T. Ariza misses 3-pt shot from 25 ft,,99-102,,
1:41.0,,,99-102,,Defensive rebound by M. Ellis
1:25.0,,,99-102,,G. Hill misses 3-pt shot from 23 ft
1:24.0,,,99-102,,Offensive rebound by I. Mahinmi
1:06.0,,,99-102,,M. Ellis misses 2-pt shot from 21 ft
1:04.0,Defensive rebound by J. Harden,,99-102,,
0:57.0,C. Brewer misses 3-pt shot from 23 ft,,99-102,,
0:56.0,Offensive rebound by M. Beasley,,99-102,,
0:49.0,T. Ariza misses 3-pt shot from 23 ft,,99-102,,
0:48.0,,,99-102,,Defensive rebound by P. George
0:43.0,Personal foul by T. Ariza,,99-102,,
0:43.0,,,99-102,,Indiana full timeout
0:43.0,K. McDaniels enters the game for M. Beasley,,99-102,,
0:24.0,,,99-102,,M. Ellis misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by J. Harden,,99-102,,
0:18.0,J. Harden misses 3-pt shot from 27 ft,,99-102,,
0:17.0,,,99-102,,Defensive rebound by P. George
0:12.0,Personal foul by K. McDaniels,,99-102,,
0:12.0,,,99-103,1,I. Mahinmi makes free throw 1 of 2
0:12.0,M. Beasley enters the game for C. Brewer,,99-103,,
0:12.0,,,99-103,,I. Mahinmi misses free throw 2 of 2
0:12.0,Defensive rebound by J. Harden,,99-103,,
0:11.0,Houston full timeout,,99-103,,
0:11.0,J. Terry enters the game for K. McDaniels,,99-103,,
0:07.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,101-103,,
0:06.0,Personal take foul by T. Ariza,,101-103,,
0:06.0,,,101-103,,M. Ellis misses free throw 1 of 2
0:06.0,,,101-103,,Offensive rebound by Team
0:06.0,,,101-104,1,M. Ellis makes free throw 2 of 2
0:06.0,Houston full timeout,,101-104,,
0:06.0,,,101-104,,Personal foul by P. George
0:06.0,Personal foul by J. Harden,,101-104,,
0:01.0,J. Terry misses 3-pt shot from 26 ft,,101-104,,
0:00.0,,,101-104,,Defensive rebound by S. Hill
0:00.0,End of 4th quarter,,,,End of 4th quarter
