time,Oklahoma City,pts.away,score,pts.home,Indiana
2:50.0,R. Westbrook misses 3-pt shot from 26 ft,,110-102,,
2:50.0,,,110-102,,Defensive rebound by M. Ellis
2:42.0,,,110-102,,P. George misses 2-pt shot at rim
2:40.0,Defensive rebound by E. Kanter,,110-102,,
2:19.0,R. Westbrook misses 2-pt shot from 19 ft,,110-102,,
2:19.0,,,110-102,,Defensive rebound by I. Mahinmi
2:08.0,,,110-104,2,P. George makes 2-pt shot from 20 ft (assist by G. Hill)
1:41.0,E. Kanter makes 2-pt shot at rim (assist by K. Durant),2,112-104,,
1:29.0,,,112-104,,P. George misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by Team,,112-104,,
1:04.0,R. Westbrook misses 3-pt shot from 32 ft,,112-104,,
1:03.0,,,112-104,,Defensive rebound by Team
1:03.0,,,112-104,,Indiana full timeout
1:03.0,,,112-104,,C. Miles enters the game for S. Hill
1:01.0,,,112-107,3,P. George makes 3-pt shot from 22 ft
1:01.0,,,112-107,,Shooting foul by R. Westbrook (drawn by P. George)
1:01.0,,,112-107,,S. Hill enters the game for C. Miles
1:01.0,,,112-108,1,P. George makes free throw 1 of 1
0:46.0,,,112-108,,Personal foul by M. Ellis
0:36.0,Turnover by K. Durant (lost ball; steal by I. Mahinmi),,112-108,,
0:36.0,Personal foul by K. Durant,,112-108,,
0:36.0,,,112-108,,G. Hill misses free throw 1 of 2
0:36.0,,,112-108,,Offensive rebound by Team
0:36.0,,,112-109,1,G. Hill makes free throw 2 of 2
0:36.0,Oklahoma City full timeout,,112-109,,
0:15.0,K. Durant misses 2-pt shot from 20 ft,,112-109,,
0:14.0,,,112-109,,Defensive rebound by I. Mahinmi
0:13.0,,,112-109,,Indiana full timeout
0:13.0,,,112-109,,C. Miles enters the game for S. Hill
0:13.0,S. Adams enters the game for E. Kanter,,112-109,,
0:06.0,,,112-109,,P. George misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by K. Durant,,112-109,,
0:03.0,,,112-109,,Personal take foul by M. Ellis
0:03.0,K. Durant makes free throw 1 of 2,1,113-109,,
0:03.0,,,113-109,,L. Allen enters the game for C. Miles
0:03.0,K. Durant makes free throw 2 of 2,1,114-109,,
0:03.0,,,114-109,,Indiana full timeout
0:03.0,,,114-109,,M. Turner enters the game for I. Mahinmi
0:03.0,,,114-109,,C. Miles enters the game for L. Allen
0:02.0,,,114-111,2,M. Turner makes 2-pt shot at rim (assist by M. Ellis)
0:02.0,,,114-111,,Personal take foul by P. George
0:02.0,K. Durant makes free throw 1 of 2,1,115-111,,
0:02.0,,,115-111,,J. Hill enters the game for C. Miles
0:02.0,K. Durant misses free throw 2 of 2,,115-111,,
0:02.0,Offensive rebound by K. Durant,,115-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
