time,San Antonio,pts.away,score,pts.home,Charlotte
1:37.0,Jump ball: D. Green vs. J. Lin,,,,Jump ball: D. Green vs. J. Lin
1:37.0,Offensive rebound by Team,,86-87,,
1:36.0,,,86-87,,Loose ball foul by J. Lin
1:13.0,L. Aldridge misses 2-pt shot from 2 ft,,86-87,,
1:13.0,Offensive rebound by T. Duncan,,86-87,,
1:13.0,K. Leonard makes 2-pt shot from 1 ft,2,88-87,,
1:00.0,Personal foul by K. Leonard,,88-87,,
0:48.0,,,88-89,2,J. Lin makes 2-pt shot from 16 ft
0:32.0,K. Leonard misses 2-pt shot from 14 ft,,88-89,,
0:30.0,Offensive rebound by T. Duncan,,88-89,,
0:24.0,K. Leonard misses 3-pt shot from 26 ft,,88-89,,
0:22.0,,,88-89,,Defensive rebound by J. Lin
0:18.0,Personal foul by T. Parker,,88-89,,
0:18.0,,,88-90,1,J. Lin makes free throw 1 of 2
0:18.0,,,88-91,1,J. Lin makes free throw 2 of 2
0:18.0,San Antonio full timeout,,88-91,,
0:18.0,P. Mills enters the game for K. Leonard,,88-91,,
0:18.0,M. Ginobili enters the game for T. Parker,,88-91,,
0:08.0,P. Mills misses 3-pt shot from 25 ft,,88-91,,
0:05.0,Offensive rebound by L. Aldridge,,88-91,,
0:00.0,D. Green misses 3-pt shot from 23 ft,,88-91,,
0:00.0,Offensive rebound by Team,,88-91,,
0:00.0,K. Leonard enters the game for D. Green,,88-91,,
0:00.0,,,88-91,,C. Lee enters the game for F. Kaminsky
0:00.0,Turnover by P. Mills (lost ball; steal by C. Lee),,88-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
