time,Dallas,pts.away,score,pts.home,Boston
6:39.0,,,87-89,,Offensive rebound by J. Sullinger
6:39.0,,,87-91,2,J. Sullinger makes 2-pt shot at rim
6:20.0,W. Matthews misses 3-pt shot from 25 ft,,87-91,,
6:18.0,Offensive rebound by J. Barea,,87-91,,
6:17.0,Dallas full timeout,,87-91,,
6:17.0,Z. Pachulia enters the game for D. Powell,,87-91,,
6:17.0,D. Nowitzki enters the game for R. Felton,,87-91,,
6:02.0,D. Williams makes 2-pt shot from 16 ft,2,89-91,,
5:42.0,,,89-91,,I. Thomas misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by W. Matthews,,89-91,,
5:20.0,D. Nowitzki makes 2-pt shot at rim,2,91-91,,
5:07.0,Personal foul by J. Barea,,91-91,,
5:07.0,,,91-91,,A. Bradley enters the game for I. Thomas
5:07.0,,,91-91,,A. Johnson enters the game for M. Smart
5:07.0,R. Felton enters the game for J. Barea,,91-91,,
4:56.0,,,91-91,,J. Sullinger misses 2-pt shot from 1 ft
4:55.0,Defensive rebound by D. Williams,,91-91,,
4:36.0,D. Nowitzki misses 2-pt shot from 17 ft,,91-91,,
4:35.0,,,91-91,,Defensive rebound by A. Johnson
4:29.0,,,91-91,,Turnover by E. Turner (bad pass; steal by D. Nowitzki)
4:17.0,D. Williams makes 3-pt shot from 24 ft (assist by R. Felton),3,94-91,,
4:01.0,,,94-91,,Turnover by J. Crowder (back court)
4:01.0,,,94-91,,I. Thomas enters the game for E. Turner
3:42.0,D. Williams makes 2-pt shot from 9 ft,2,96-91,,
3:42.0,,,96-91,,Boston full timeout
3:26.0,,,96-94,3,J. Sullinger makes 3-pt shot from 24 ft (assist by I. Thomas)
3:04.0,Z. Pachulia makes 2-pt shot from 3 ft (assist by D. Williams),2,98-94,,
2:43.0,,,98-94,,J. Sullinger misses 2-pt shot from 3 ft
2:41.0,Defensive rebound by Z. Pachulia,,98-94,,
2:26.0,R. Felton misses 2-pt shot from 9 ft,,98-94,,
2:25.0,,,98-94,,Defensive rebound by Team
2:17.0,,,98-94,,Turnover by A. Bradley (lost ball; steal by W. Matthews)
2:15.0,W. Matthews makes 2-pt shot at rim,2,100-94,,
2:15.0,,,100-94,,Boston full timeout
2:15.0,,,100-94,,E. Turner enters the game for J. Crowder
2:15.0,,,100-94,,K. Olynyk enters the game for A. Johnson
2:02.0,,,100-94,,Shooting foul by R. Felton (drawn by I. Thomas)
2:02.0,,,100-94,,I. Thomas misses free throw 1 of 2
2:02.0,,,100-94,,Offensive rebound by Team
2:02.0,,,100-94,,J. Crowder enters the game for K. Olynyk
2:02.0,,,100-95,1,I. Thomas makes free throw 2 of 2
1:38.0,D. Nowitzki misses 2-pt shot from 14 ft,,100-95,,
1:37.0,,,100-95,,Defensive rebound by J. Sullinger
1:27.0,,,100-95,,J. Sullinger misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by W. Matthews,,100-95,,
1:14.0,,,100-95,,Personal foul by A. Bradley (drawn by D. Williams)
1:13.0,Turnover by Z. Pachulia (traveling),,100-95,,
1:13.0,,,100-95,,K. Olynyk enters the game for J. Crowder
1:01.0,,,100-95,,J. Sullinger misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by D. Nowitzki,,100-95,,
0:41.0,R. Felton misses 3-pt shot from 25 ft,,100-95,,
0:40.0,,,100-95,,Defensive rebound by J. Sullinger
0:35.0,,,100-95,,I. Thomas misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by D. Williams,,100-95,,
0:30.0,,,100-95,,Personal take foul by K. Olynyk (drawn by W. Matthews)
0:30.0,D. Powell enters the game for D. Nowitzki,,100-95,,
0:30.0,,,100-95,,A. Johnson enters the game for K. Olynyk
0:30.0,W. Matthews makes free throw 1 of 2,1,101-95,,
0:30.0,W. Matthews makes free throw 2 of 2,1,102-95,,
0:30.0,,,102-95,,Boston full timeout
0:30.0,,,102-95,,J. Crowder enters the game for A. Johnson
0:25.0,,,102-98,3,J. Crowder makes 3-pt shot from 25 ft (assist by E. Turner)
0:23.0,Turnover by D. Powell (lost ball; steal by E. Turner),,102-98,,
0:22.0,,,102-98,,Shooting foul by D. Powell (drawn by J. Crowder)
0:22.0,,,102-99,1,J. Crowder makes free throw 1 of 2
0:22.0,D. Nowitzki enters the game for D. Powell,,102-99,,
0:22.0,,,102-99,,M. Smart enters the game for I. Thomas
0:22.0,,,102-100,1,J. Crowder makes free throw 2 of 2
0:22.0,Dallas full timeout,,102-100,,
0:21.0,,,102-100,,Personal take foul by M. Smart (drawn by D. Williams)
0:21.0,D. Williams makes free throw 1 of 2,1,103-100,,
0:21.0,D. Harris enters the game for D. Nowitzki,,103-100,,
0:21.0,,,103-100,,A. Johnson enters the game for J. Crowder
0:21.0,D. Williams makes free throw 2 of 2,1,104-100,,
0:21.0,,,104-100,,Boston full timeout
0:21.0,,,104-100,,I. Thomas enters the game for A. Johnson
0:21.0,,,104-100,,J. Crowder enters the game for M. Smart
0:21.0,D. Powell enters the game for Z. Pachulia,,104-100,,
0:18.0,,,104-102,2,I. Thomas makes 2-pt shot at rim (assist by E. Turner)
0:17.0,,,104-102,,Personal take foul by I. Thomas (drawn by R. Felton)
0:17.0,R. Felton misses free throw 1 of 2,,104-102,,
0:17.0,Offensive rebound by Team,,104-102,,
0:17.0,R. Felton misses free throw 2 of 2,,104-102,,
0:15.0,,,104-102,,Defensive rebound by A. Bradley
0:10.0,,,104-102,,Turnover by I. Thomas (lost ball; steal by R. Felton)
0:04.0,,,104-102,,Personal foul by A. Bradley (drawn by D. Williams)
0:04.0,,,104-102,,M. Smart enters the game for A. Bradley
0:04.0,D. Williams makes free throw 1 of 2,1,105-102,,
0:04.0,D. Williams makes free throw 2 of 2,1,106-102,,
0:01.0,,,106-102,,I. Thomas misses 3-pt shot from 27 ft
0:00.0,,,106-102,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
