time,Golden State,pts.away,score,pts.home,Atlanta
1:43.0,,,96-86,,P. Millsap misses 2-pt shot from 8 ft (block by D. Green)
1:43.0,,,96-86,,Offensive rebound by Team
1:41.0,,,96-86,,T. Hardaway misses 3-pt shot from 26 ft (block by S. Livingston)
1:41.0,,,96-86,,Offensive rebound by Team
1:41.0,,,96-86,,Turnover by Team (shot clock)
1:27.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,98-86,,
1:22.0,,,98-86,,Shooting foul by D. Green (drawn by P. Millsap)
1:22.0,,,98-86,,P. Millsap misses free throw 1 of 2
1:22.0,,,98-86,,Offensive rebound by Team
1:22.0,,,98-87,1,P. Millsap makes free throw 2 of 2
1:04.0,S. Curry misses 3-pt shot from 26 ft,,98-87,,
1:02.0,,,98-87,,Defensive rebound by Team
0:56.0,,,98-90,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
0:50.0,,,98-90,,Personal take foul by T. Hardaway
0:50.0,K. Thompson makes free throw 1 of 2,1,99-90,,
0:50.0,H. Barnes enters the game for A. Bogut,,99-90,,
0:50.0,K. Thompson makes free throw 2 of 2,1,100-90,,
0:50.0,,,100-90,,Atlanta full timeout
0:50.0,,,100-90,,T. Sefolosha enters the game for D. Schroder
0:50.0,,,100-90,,M. Scott enters the game for T. Hardaway
0:43.0,,,100-90,,K. Korver misses 2-pt shot from 11 ft
0:41.0,Defensive rebound by D. Green,,100-90,,
0:36.0,,,100-90,,Personal take foul by P. Millsap
0:36.0,S. Curry makes free throw 1 of 2,1,101-90,,
0:36.0,,,101-90,,D. Schroder enters the game for T. Sefolosha
0:36.0,,,101-90,,T. Hardaway enters the game for P. Millsap
0:36.0,S. Curry makes free throw 2 of 2,1,102-90,,
0:26.0,,,102-92,2,T. Hardaway makes 2-pt shot from 1 ft (assist by A. Horford)
0:05.0,D. Green misses 3-pt shot from 26 ft,,102-92,,
0:05.0,,,102-92,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
