time,LA Clippers,pts.away,score,pts.home,Brooklyn
4:25.0,,,93-89,1,A. Bargnani makes free throw 1 of 1
4:03.0,B. Griffin misses 2-pt shot from 20 ft,,93-89,,
4:02.0,,,93-89,,Defensive rebound by B. Bogdanovic
3:51.0,,,93-91,2,T. Young makes 2-pt shot from 6 ft (assist by J. Jack)
3:49.0,LA Clippers full timeout,,93-91,,
3:49.0,W. Johnson enters the game for L. Mbah a Moute,,93-91,,
3:36.0,C. Paul makes 2-pt shot from 20 ft,2,95-91,,
3:19.0,,,95-91,,J. Johnson misses 2-pt shot from 8 ft
3:18.0,,,95-91,,Offensive rebound by T. Young
3:17.0,,,95-91,,T. Young misses 2-pt shot from 1 ft
3:16.0,,,95-91,,Offensive rebound by A. Bargnani
3:15.0,,,95-91,,A. Bargnani misses 2-pt shot from 1 ft
3:13.0,,,95-91,,Offensive rebound by Team
2:51.0,,,95-93,2,J. Johnson makes 2-pt shot from 5 ft
2:29.0,B. Griffin makes 2-pt shot at rim,2,97-93,,
2:09.0,,,97-93,,J. Johnson misses 2-pt shot from 7 ft
2:08.0,Defensive rebound by W. Johnson,,97-93,,
1:55.0,J. Redick misses 3-pt shot from 24 ft,,97-93,,
1:54.0,,,97-93,,Defensive rebound by J. Johnson
1:35.0,Personal foul by J. Crawford (drawn by A. Bargnani),,97-93,,
1:35.0,,,97-94,1,A. Bargnani makes free throw 1 of 2
1:35.0,D. Jordan enters the game for J. Crawford,,97-94,,
1:35.0,,,97-95,1,A. Bargnani makes free throw 2 of 2
1:20.0,C. Paul makes 2-pt shot from 7 ft,2,99-95,,
1:09.0,,,99-95,,A. Bargnani misses 2-pt shot from 7 ft
1:08.0,Defensive rebound by D. Jordan,,99-95,,
0:49.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,101-95,,
0:49.0,,,101-95,,Brooklyn full timeout
0:49.0,L. Mbah a Moute enters the game for W. Johnson,,101-95,,
0:49.0,,,101-95,,B. Lopez enters the game for T. Young
0:47.0,,,101-98,3,J. Johnson makes 3-pt shot from 23 ft (assist by A. Bargnani)
0:29.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,103-98,,
0:29.0,,,103-98,,Brooklyn full timeout
0:29.0,A. Rivers enters the game for J. Redick,,103-98,,
0:24.0,,,103-98,,J. Jack misses 3-pt shot from 26 ft
0:23.0,,,103-98,,Offensive rebound by B. Lopez
0:18.0,,,103-98,,J. Jack misses 2-pt shot from 4 ft
0:17.0,,,103-98,,Offensive rebound by B. Lopez
0:16.0,,,103-98,,B. Lopez misses 2-pt shot from 1 ft
0:16.0,,,103-98,,Offensive rebound by B. Lopez
0:15.0,,,103-100,2,B. Lopez makes 2-pt shot from 1 ft
0:15.0,,,103-100,,Personal foul by J. Jack (drawn by C. Paul)
0:15.0,C. Paul makes free throw 1 of 2,1,104-100,,
0:15.0,C. Paul makes free throw 2 of 2,1,105-100,,
0:09.0,,,105-100,,J. Jack misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by B. Griffin,,105-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
