time,LA Clippers,pts.away,score,pts.home,Cleveland
4:12.0,,,88-104,,Personal foul by L. James (drawn by C. Aldrich)
4:12.0,C. Aldrich makes free throw 1 of 2,1,89-104,,
4:12.0,,,89-104,,I. Shumpert enters the game for T. Thompson
4:12.0,C. Aldrich makes free throw 2 of 2,1,90-104,,
3:54.0,,,90-104,,Shooting foul by W. Johnson (drawn by L. James)
3:54.0,,,90-105,1,L. James makes free throw 1 of 2
3:54.0,A. Rivers enters the game for W. Johnson,,90-105,,
3:54.0,,,90-105,,L. James misses free throw 2 of 2
3:53.0,,,90-105,,Offensive rebound by J. Smith
3:40.0,,,90-108,3,J. Smith makes 3-pt shot from 23 ft (assist by I. Shumpert)
3:27.0,C. Paul makes 2-pt shot from 14 ft,2,92-108,,
3:12.0,,,92-108,,K. Love misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by A. Rivers,,92-108,,
3:11.0,,,92-108,,Personal foul by L. James (drawn by C. Paul)
3:11.0,C. Paul makes free throw 1 of 2,1,93-108,,
3:11.0,L. Mbah a Moute enters the game for C. Aldrich,,93-108,,
3:11.0,C. Paul makes free throw 2 of 2,1,94-108,,
2:55.0,,,94-110,2,K. Irving makes 2-pt shot from 14 ft
2:47.0,Shooting foul by J. Smith (drawn by L. Mbah a Moute),,94-110,,
2:47.0,LA Clippers full timeout,,94-110,,
2:47.0,P. Prigioni enters the game for J. Redick,,94-110,,
2:47.0,C. Wilcox enters the game for C. Paul,,94-110,,
2:47.0,L. Stephenson enters the game for J. Crawford,,94-110,,
2:47.0,L. Mbah a Moute misses free throw 1 of 2,,94-110,,
2:47.0,Offensive rebound by Team,,94-110,,
2:47.0,L. Mbah a Moute makes free throw 2 of 2,1,95-110,,
2:36.0,,,95-112,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
2:36.0,,,95-112,,Shooting foul by L. Stephenson (drawn by L. James)
2:36.0,C. Aldrich enters the game for L. Mbah a Moute,,95-112,,
2:36.0,,,95-112,,M. Dellavedova enters the game for K. Irving
2:36.0,,,95-113,1,L. James makes free throw 1 of 1
2:28.0,L. Stephenson misses 2-pt shot from 1 ft,,95-113,,
2:26.0,Offensive rebound by C. Aldrich,,95-113,,
2:26.0,C. Aldrich misses 2-pt shot from 2 ft,,95-113,,
2:25.0,Offensive rebound by L. Stephenson,,95-113,,
2:25.0,L. Stephenson misses 2-pt shot from 1 ft,,95-113,,
2:23.0,,,95-113,,Defensive rebound by L. James
2:17.0,,,95-113,,Cleveland full timeout
2:17.0,,,95-113,,J. Jones enters the game for L. James
2:17.0,,,95-113,,J. Cunningham enters the game for K. Love
2:17.0,,,95-113,,T. Mozgov enters the game for J. Smith
2:12.0,,,95-113,,Turnover by M. Dellavedova (bad pass; steal by L. Stephenson)
2:06.0,L. Stephenson makes 2-pt shot from 1 ft,2,97-113,,
1:40.0,,,97-113,,Turnover by Team (shot clock)
1:31.0,A. Rivers makes 2-pt shot at rim (assist by P. Prigioni),2,99-113,,
1:10.0,,,99-113,,T. Mozgov misses 2-pt shot from 6 ft
1:10.0,Defensive rebound by Team,,99-113,,
1:10.0,,,99-113,,Loose ball foul by T. Mozgov (drawn by C. Aldrich)
1:10.0,C. Aldrich misses free throw 1 of 2,,99-113,,
1:10.0,Offensive rebound by Team,,99-113,,
1:10.0,C. Aldrich makes free throw 2 of 2,1,100-113,,
0:58.0,,,100-115,2,I. Shumpert makes 2-pt shot from 16 ft
0:48.0,C. Aldrich makes 2-pt shot from 2 ft (assist by P. Prigioni),2,102-115,,
0:32.0,,,102-115,,I. Shumpert misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by P. Prigioni,,102-115,,
0:21.0,P. Prigioni misses 2-pt shot from 11 ft,,102-115,,
0:19.0,,,102-115,,Defensive rebound by M. Dellavedova
0:00.0,End of 4th quarter,,,,End of 4th quarter
