time,Atlanta,pts.away,score,pts.home,Oklahoma City
2:08.0,,,90-99,2,S. Ibaka makes 2-pt shot from 15 ft
1:55.0,K. Korver misses 3-pt shot from 25 ft,,90-99,,
1:54.0,,,90-99,,Defensive rebound by K. Durant
1:40.0,,,90-101,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
1:40.0,Atlanta full timeout,,90-101,,
1:40.0,J. Holiday enters the game for P. Millsap,,90-101,,
1:40.0,M. Muscala enters the game for A. Horford,,90-101,,
1:40.0,D. Schroder enters the game for K. Korver,,90-101,,
1:40.0,L. Patterson enters the game for J. Teague,,90-101,,
1:27.0,M. Muscala makes 2-pt shot at rim (assist by D. Schroder),2,92-101,,
1:14.0,,,92-104,3,R. Westbrook makes 3-pt shot from 24 ft (assist by K. Durant)
1:00.0,J. Holiday misses 3-pt shot from 25 ft,,92-104,,
0:59.0,,,92-104,,Defensive rebound by K. Durant
0:41.0,,,92-104,,Shooting foul by K. Bazemore (drawn by K. Durant)
0:41.0,,,92-105,1,K. Durant makes free throw 1 of 3
0:41.0,,,92-106,1,K. Durant makes free throw 2 of 3
0:41.0,,,92-106,,C. Payne enters the game for R. Westbrook
0:41.0,,,92-106,,K. Singler enters the game for S. Ibaka
0:41.0,,,92-107,1,K. Durant makes free throw 3 of 3
0:40.0,,,92-107,,Personal take foul by S. Adams (drawn by D. Schroder)
0:40.0,D. Schroder makes free throw 1 of 2,1,93-107,,
0:40.0,,,93-107,,A. Roberson enters the game for K. Durant
0:40.0,D. Schroder makes free throw 2 of 2,1,94-107,,
0:25.0,,,94-107,,D. Waiters misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by D. Schroder,,94-107,,
0:19.0,K. Bazemore misses 2-pt shot from 3 ft,,94-107,,
0:19.0,,,94-107,,Defensive rebound by K. Singler
0:00.0,End of 4th quarter,,,,End of 4th quarter
