time,Washington,pts.away,score,pts.home,Oklahoma City
1:45.0,Defensive rebound by Team,,96-108,,
1:45.0,K. Oubre enters the game for J. Dudley,,96-108,,
1:40.0,J. Wall misses 2-pt shot from 19 ft,,96-108,,
1:39.0,,,96-108,,Defensive rebound by R. Westbrook
1:26.0,,,96-108,,Shooting foul by G. Temple (drawn by K. Durant)
1:26.0,,,96-109,1,K. Durant makes free throw 1 of 2
1:26.0,R. Sessions enters the game for J. Wall,,96-109,,
1:26.0,J. Eddie enters the game for B. Beal,,96-109,,
1:26.0,,,96-110,1,K. Durant makes free throw 2 of 2
1:11.0,Turnover by G. Temple (bad pass),,96-110,,
1:11.0,,,96-110,,K. Singler enters the game for K. Durant
1:11.0,,,96-110,,M. McGary enters the game for S. Ibaka
1:11.0,,,96-110,,C. Payne enters the game for R. Westbrook
1:00.0,,,96-112,2,C. Payne makes 2-pt shot from 10 ft
0:51.0,K. Oubre makes 2-pt shot from 1 ft,2,98-112,,
0:35.0,Personal foul by K. Oubre (drawn by K. Singler),,98-112,,
0:35.0,,,98-113,1,K. Singler makes free throw 1 of 2
0:35.0,,,98-114,1,K. Singler makes free throw 2 of 2
0:26.0,J. Eddie misses 3-pt shot from 24 ft,,98-114,,
0:25.0,,,98-114,,Defensive rebound by Team
0:00.0,,,98-114,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
