time,Orlando,pts.away,score,pts.home,Houston
2:25.0,Turnover by Team (shot clock),,108-107,,
2:25.0,Orlando full timeout,,108-107,,
2:09.0,,,108-107,,J. Harden misses 3-pt shot from 24 ft
2:08.0,,,108-107,,Offensive rebound by D. Howard
2:01.0,,,108-107,,T. Lawson misses 3-pt shot from 31 ft
2:01.0,,,108-107,,Offensive rebound by Team
2:01.0,,,108-107,,Turnover by Team (shot clock)
1:42.0,E. Payton misses 2-pt shot from 20 ft,,108-107,,
1:41.0,,,108-107,,Defensive rebound by C. Brewer
1:21.0,,,108-109,2,D. Howard makes 2-pt shot from 2 ft (assist by J. Harden)
1:05.0,V. Oladipo misses 2-pt shot from 1 ft,,108-109,,
1:04.0,,,108-109,,Defensive rebound by D. Howard
0:48.0,,,108-109,,Shooting foul by V. Oladipo (drawn by J. Harden)
0:48.0,,,108-109,,J. Harden misses free throw 1 of 2
0:48.0,,,108-109,,Offensive rebound by Team
0:48.0,,,108-110,1,J. Harden makes free throw 2 of 2
0:48.0,Orlando full timeout,,108-110,,
0:33.0,E. Payton misses 2-pt shot from 5 ft,,108-110,,
0:32.0,,,108-110,,Defensive rebound by T. Lawson
0:12.0,,,108-110,,Shooting foul by D. Dedmon (drawn by C. Brewer)
0:12.0,,,108-110,,C. Brewer misses free throw 1 of 2
0:12.0,,,108-110,,Offensive rebound by Team
0:12.0,,,108-110,,C. Brewer misses free throw 2 of 2
0:12.0,Defensive rebound by V. Oladipo,,108-110,,
0:11.0,Orlando full timeout,,108-110,,
0:11.0,T. Harris enters the game for E. Payton,,108-110,,
0:11.0,S. Napier enters the game for A. Gordon,,108-110,,
0:06.0,,,108-110,,Personal foul by T. Lawson (drawn by S. Napier)
0:01.0,Shooting foul by J. Harden (drawn by E. Fournier),,108-110,,
0:01.0,E. Fournier makes free throw 1 of 2,1,109-110,,
0:01.0,,,109-110,,C. Capela enters the game for T. Lawson
0:01.0,E. Fournier makes free throw 2 of 2,1,110-110,,
0:01.0,,,110-110,,Houston full timeout
0:01.0,,,110-110,,T. Lawson enters the game for C. Capela
0:01.0,A. Gordon enters the game for T. Harris,,110-110,,
0:01.0,E. Payton enters the game for S. Napier,,110-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:45.0,Offensive foul by E. Payton,,110-110,,
4:45.0,Turnover by E. Payton (offensive foul),,110-110,,
4:28.0,,,110-110,,J. Harden misses 3-pt shot from 23 ft
4:27.0,Defensive rebound by D. Dedmon,,110-110,,
4:15.0,V. Oladipo misses 3-pt shot from 25 ft,,110-110,,
4:14.0,Offensive rebound by D. Dedmon,,110-110,,
4:10.0,,,110-110,,Personal foul by J. Harden (drawn by T. Harris)
3:59.0,E. Payton misses 2-pt shot from 5 ft,,110-110,,
3:58.0,Offensive rebound by T. Harris,,110-110,,
3:57.0,T. Harris misses 2-pt shot from 1 ft,,110-110,,
3:55.0,,,110-110,,Defensive rebound by J. Harden
3:42.0,,,110-110,,T. Lawson misses 2-pt shot from 16 ft (block by E. Payton)
3:40.0,,,110-110,,Offensive rebound by D. Howard
3:39.0,,,110-112,2,D. Howard makes 2-pt shot at rim
3:18.0,T. Harris misses 2-pt shot from 16 ft,,110-112,,
3:17.0,,,110-112,,Defensive rebound by D. Howard
3:11.0,,,110-114,2,J. Harden makes 2-pt shot from 1 ft (assist by T. Lawson)
3:10.0,Orlando full timeout,,110-114,,
3:10.0,A. Gordon enters the game for T. Harris,,110-114,,
3:10.0,S. Napier enters the game for E. Payton,,110-114,,
3:00.0,E. Fournier makes 2-pt shot from 5 ft (assist by S. Napier),2,112-114,,
2:40.0,,,112-116,2,J. Harden makes 2-pt shot from 16 ft
2:40.0,,,112-116,,Shooting foul by E. Fournier (drawn by J. Harden)
2:40.0,,,112-117,1,J. Harden makes free throw 1 of 1
2:31.0,S. Napier makes 2-pt shot from 17 ft,2,114-117,,
2:10.0,,,114-117,,J. Harden misses 2-pt shot from 16 ft
2:09.0,,,114-117,,Offensive rebound by C. Brewer
2:03.0,,,114-117,,T. Ariza misses 3-pt shot from 22 ft
2:02.0,Defensive rebound by A. Gordon,,114-117,,
2:02.0,,,114-117,,Loose ball foul by C. Brewer (drawn by A. Gordon)
1:47.0,V. Oladipo misses 2-pt shot from 12 ft,,114-117,,
1:45.0,Offensive rebound by Team,,114-117,,
1:37.0,,,114-117,,Personal foul by T. Ariza (drawn by E. Fournier)
1:28.0,A. Gordon misses 2-pt shot at rim,,114-117,,
1:27.0,,,114-117,,Defensive rebound by T. Ariza
1:14.0,,,114-117,,T. Ariza misses 3-pt shot from 24 ft
1:11.0,,,114-117,,Offensive rebound by Team
1:11.0,,,114-117,,Houston full timeout
0:51.0,,,114-117,,J. Harden misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by A. Gordon,,114-117,,
0:38.0,Turnover by S. Napier (lost ball),,114-117,,
0:23.0,Personal foul by D. Dedmon (drawn by D. Howard),,114-117,,
0:23.0,J. Smith enters the game for D. Dedmon,,114-117,,
0:08.0,,,114-117,,T. Lawson misses 2-pt shot from 15 ft
0:07.0,Defensive rebound by A. Gordon,,114-117,,
0:07.0,Orlando full timeout,,114-117,,
0:03.0,S. Napier misses 3-pt shot from 22 ft,,114-117,,
0:02.0,,,114-117,,Defensive rebound by J. Harden
0:01.0,Personal take foul by V. Oladipo (drawn by J. Harden),,114-117,,
0:01.0,,,114-118,1,J. Harden makes free throw 1 of 2
0:01.0,,,114-119,1,J. Harden makes free throw 2 of 2
0:00.0,End of 1st overtime,,,,End of 1st overtime
