time,Dallas,pts.away,score,pts.home,Charlotte
5:03.0,W. Matthews misses 3-pt shot from 25 ft,,91-81,,
5:01.0,,,91-81,,Defensive rebound by C. Zeller
4:55.0,Personal foul by W. Matthews,,91-81,,
4:55.0,,,91-81,,M. Williams enters the game for F. Kaminsky
4:42.0,,,91-83,2,C. Lee makes 2-pt shot from 16 ft
4:22.0,D. Williams makes 2-pt shot from 16 ft,2,93-83,,
4:06.0,,,93-83,,Shooting foul by C. Parsons (drawn by K. Walker)
4:06.0,,,93-84,1,K. Walker makes free throw 1 of 2
4:06.0,,,93-85,1,K. Walker makes free throw 2 of 2
3:55.0,D. Williams makes 2-pt shot from 17 ft (assist by R. Felton),2,95-85,,
3:39.0,,,95-85,,M. Williams misses 2-pt shot from 7 ft
3:38.0,Defensive rebound by D. Lee,,95-85,,
3:19.0,R. Felton makes 3-pt shot from 26 ft (assist by D. Williams),3,98-85,,
3:18.0,,,98-85,,Charlotte full timeout
2:59.0,,,98-88,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
2:44.0,C. Parsons makes 3-pt shot from 26 ft,3,101-88,,
2:34.0,Personal foul by R. Felton,,101-88,,
2:34.0,,,101-89,1,N. Batum makes free throw 1 of 2
2:34.0,,,101-90,1,N. Batum makes free throw 2 of 2
2:13.0,R. Felton makes 2-pt shot at rim,2,103-90,,
1:58.0,,,103-90,,Turnover by K. Walker (lost ball; steal by D. Williams)
1:37.0,D. Williams misses 2-pt shot from 18 ft,,103-90,,
1:36.0,,,103-90,,Defensive rebound by M. Williams
1:30.0,,,103-92,2,K. Walker makes 2-pt shot at rim
1:06.0,C. Parsons makes 2-pt shot from 18 ft (assist by R. Felton),2,105-92,,
1:06.0,,,105-92,,Charlotte full timeout
1:01.0,,,105-94,2,K. Walker makes 2-pt shot at rim
0:57.0,Turnover by R. Felton (lost ball; steal by C. Lee),,105-94,,
0:53.0,,,105-96,2,M. Williams makes 2-pt shot from 20 ft (assist by K. Walker)
0:50.0,,,105-96,,Personal foul by M. Williams
0:48.0,,,105-96,,Personal foul by M. Williams
0:48.0,D. Williams makes free throw 1 of 2,1,106-96,,
0:48.0,D. Williams makes free throw 2 of 2,1,107-96,,
0:36.0,,,107-96,,K. Walker misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by Team,,107-96,,
0:12.0,Turnover by Team (shot clock),,107-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
