time,LA Lakers,pts.away,score,pts.home,Minnesota
2:41.0,,,104-106,,Minnesota full timeout
2:41.0,R. Hibbert enters the game for R. Sacre,,104-106,,
2:41.0,,,104-106,,A. Wiggins enters the game for K. Martin
2:41.0,,,104-107,1,G. Dieng makes free throw 1 of 2
2:41.0,,,104-108,1,G. Dieng makes free throw 2 of 2
2:33.0,L. Williams misses 3-pt shot from 24 ft,,104-108,,
2:32.0,,,104-108,,Defensive rebound by T. Prince
2:17.0,,,104-110,2,K. Towns makes 2-pt shot from 20 ft (assist by A. Wiggins)
2:04.0,D. Russell makes 3-pt shot from 23 ft,3,107-110,,
1:41.0,,,107-110,,Shooting foul by J. Randle (drawn by A. Wiggins)
1:41.0,,,107-111,1,A. Wiggins makes free throw 1 of 2
1:41.0,,,107-112,1,A. Wiggins makes free throw 2 of 2
1:28.0,N. Young misses 2-pt shot from 2 ft (block by K. Towns),,107-112,,
1:27.0,Jump ball: K. Towns vs. N. Young (R. Rubio gains possession),,,,Jump ball: K. Towns vs. N. Young (R. Rubio gains possession)
1:27.0,,,107-112,,Offensive rebound by Team
1:11.0,,,107-112,,A. Wiggins misses 2-pt shot from 2 ft (block by R. Hibbert)
1:09.0,,,107-112,,Offensive rebound by R. Rubio
1:06.0,,,107-112,,R. Rubio misses 3-pt shot from 22 ft
1:05.0,Defensive rebound by L. Williams,,107-112,,
0:51.0,D. Russell makes 3-pt shot from 27 ft,3,110-112,,
0:45.0,,,110-112,,Minnesota full timeout
0:45.0,,,110-112,,K. Martin enters the game for T. Prince
0:40.0,,,110-114,2,K. Towns makes 2-pt shot from 16 ft (assist by A. Wiggins)
0:40.0,LA Lakers full timeout,,110-114,,
0:40.0,,,110-114,,T. Prince enters the game for K. Martin
0:35.0,D. Russell misses 3-pt shot from 24 ft,,110-114,,
0:34.0,Offensive rebound by L. Williams,,110-114,,
0:32.0,L. Williams makes 2-pt shot from 20 ft,2,112-114,,
0:32.0,,,112-114,,Minnesota full timeout
0:32.0,,,112-114,,K. Martin enters the game for T. Prince
0:10.0,,,112-114,,K. Martin misses 2-pt shot from 19 ft
0:09.0,Defensive rebound by J. Randle,,112-114,,
0:09.0,LA Lakers full timeout,,112-114,,
0:09.0,,,112-114,,T. Prince enters the game for R. Rubio
0:02.0,D. Russell makes 2-pt shot from 7 ft,2,114-114,,
0:02.0,,,114-114,,Minnesota full timeout
0:02.0,,,114-114,,N. Bjelica enters the game for G. Dieng
0:02.0,L. Nance enters the game for R. Hibbert,,114-114,,
0:00.0,,,114-114,,A. Wiggins misses 2-pt shot from 17 ft
0:00.0,,,114-114,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:39.0,,,114-114,,G. Dieng misses 2-pt shot from 13 ft
4:36.0,Defensive rebound by R. Hibbert,,114-114,,
4:23.0,D. Russell misses 2-pt shot from 20 ft,,114-114,,
4:22.0,,,114-114,,Defensive rebound by G. Dieng
4:10.0,,,114-116,2,A. Wiggins makes 2-pt shot from 9 ft (assist by R. Rubio)
3:54.0,N. Young misses 3-pt shot from 22 ft,,114-116,,
3:53.0,,,114-116,,Defensive rebound by R. Rubio
3:38.0,,,114-119,3,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio)
3:14.0,D. Russell misses 2-pt shot from 7 ft,,114-119,,
3:14.0,,,114-119,,Defensive rebound by Team
3:14.0,Loose ball foul by J. Randle (drawn by G. Dieng),,114-119,,
3:00.0,,,114-119,,K. Martin misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by J. Randle,,114-119,,
2:52.0,,,114-119,,Personal foul by K. Martin
2:41.0,L. Williams makes 3-pt shot from 24 ft (assist by J. Randle),3,117-119,,
2:21.0,,,117-119,,K. Towns misses 3-pt shot from 24 ft
2:19.0,,,117-119,,Offensive rebound by R. Rubio
1:57.0,,,117-119,,Turnover by A. Wiggins (bad pass; steal by J. Randle)
1:43.0,J. Randle makes 2-pt shot from 1 ft,2,119-119,,
1:38.0,,,119-119,,Minnesota full timeout
1:25.0,,,119-119,,Shooting foul by D. Russell (drawn by R. Rubio)
1:25.0,,,119-120,1,R. Rubio makes free throw 1 of 2
1:25.0,,,119-121,1,R. Rubio makes free throw 2 of 2
1:15.0,N. Young makes 2-pt shot from 9 ft,2,121-121,,
0:58.0,,,121-123,2,A. Wiggins makes 2-pt shot at rim
0:46.0,N. Young misses 3-pt shot from 23 ft,,121-123,,
0:44.0,Offensive rebound by J. Randle,,121-123,,
0:33.0,Shooting foul by K. Towns (drawn by J. Randle),,121-123,,
0:33.0,J. Randle misses free throw 1 of 2,,121-123,,
0:33.0,Offensive rebound by Team,,121-123,,
0:33.0,J. Randle makes free throw 2 of 2,1,122-123,,
0:33.0,,,122-123,,Minnesota full timeout
0:10.0,,,122-123,,Minnesota full timeout
0:10.0,,,122-123,,T. Prince enters the game for G. Dieng
0:10.0,,,122-123,,R. Rubio misses 2-pt shot from 19 ft
0:09.0,,,122-123,,Offensive rebound by Team
0:09.0,,,122-123,,Turnover by Team (shot clock)
0:09.0,LA Lakers full timeout,,122-123,,
0:09.0,,,122-123,,G. Dieng enters the game for K. Towns
0:09.0,LA Lakers full timeout,,122-123,,
0:04.0,D. Russell misses 2-pt shot from 18 ft,,122-123,,
0:02.0,Offensive rebound by R. Hibbert,,122-123,,
0:01.0,R. Hibbert misses 2-pt shot from 15 ft,,122-123,,
0:00.0,,,122-123,,Defensive rebound by G. Dieng
0:00.0,End of 1st overtime,,,,End of 1st overtime
