time,Washington,pts.away,score,pts.home,Utah
2:26.0,,,90-106,,Offensive rebound by Team
2:26.0,,,90-107,1,D. Favors makes free throw 2 of 2
2:18.0,J. Wall misses 3-pt shot from 24 ft,,90-107,,
2:17.0,,,90-107,,Defensive rebound by G. Hayward
2:17.0,Personal foul by M. Thornton,,90-107,,
2:17.0,K. Oubre enters the game for J. Wall,,90-107,,
2:17.0,,,90-108,1,G. Hayward makes free throw 1 of 2
2:17.0,J. Eddie enters the game for O. Porter,,90-108,,
2:17.0,R. Sessions enters the game for M. Morris,,90-108,,
2:17.0,J. Hickson enters the game for J. Dudley,,90-108,,
2:17.0,,,90-108,,J. Withey enters the game for D. Favors
2:17.0,,,90-108,,C. Johnson enters the game for R. Hood
2:17.0,,,90-109,1,G. Hayward makes free throw 2 of 2
2:02.0,M. Thornton misses 2-pt shot from 18 ft,,90-109,,
2:01.0,,,90-109,,Defensive rebound by T. Lyles
1:38.0,,,90-109,,J. Withey misses 2-pt shot from 4 ft
1:38.0,Defensive rebound by K. Oubre,,90-109,,
1:18.0,J. Eddie misses 3-pt shot from 22 ft,,90-109,,
1:17.0,,,90-109,,Defensive rebound by S. Mack
1:00.0,,,90-111,2,J. Withey makes 2-pt shot from 2 ft
1:00.0,,,90-111,,Shooting foul by J. Hickson (drawn by J. Withey)
1:00.0,,,90-111,,J. Ingles enters the game for G. Hayward
1:00.0,,,90-111,,R. Neto enters the game for S. Mack
1:00.0,,,90-112,1,J. Withey makes free throw 1 of 1
0:43.0,K. Oubre makes 3-pt shot from 23 ft (assist by J. Hickson),3,93-112,,
0:29.0,,,93-114,2,R. Neto makes 2-pt shot from 2 ft
0:13.0,R. Sessions misses 2-pt shot from 2 ft,,93-114,,
0:12.0,,,93-114,,Defensive rebound by C. Johnson
0:00.0,End of 4th quarter,,,,End of 4th quarter
