time,Chicago,pts.away,score,pts.home,LA Clippers
1:37.0,D. McDermott misses 2-pt shot from 19 ft,,93-117,,
1:36.0,,,93-117,,Defensive rebound by L. Stephenson
1:11.0,,,93-117,,C. Wilcox misses 2-pt shot from 2 ft
1:08.0,Defensive rebound by B. Portis,,93-117,,
1:05.0,D. McDermott misses 3-pt shot from 24 ft,,93-117,,
1:04.0,,,93-117,,Defensive rebound by L. Stephenson
0:51.0,,,93-117,,C. Wilcox misses 2-pt shot from 21 ft
0:50.0,Defensive rebound by C. Bairstow,,93-117,,
0:39.0,C. Bairstow misses 2-pt shot from 5 ft,,93-117,,
0:35.0,,,93-117,,Defensive rebound by J. Ayres
0:19.0,,,93-120,3,A. Rivers makes 3-pt shot from 26 ft
0:11.0,T. Snell misses 3-pt shot from 26 ft,,93-120,,
0:11.0,Offensive rebound by Team,,93-120,,
0:07.0,T. Snell misses 2-pt shot from 4 ft (block by J. Ayres),,93-120,,
0:05.0,,,93-120,,Defensive rebound by P. Prigioni
0:00.0,End of 4th quarter,,,,End of 4th quarter
