time,Miami,pts.away,score,pts.home,Portland
4:16.0,,,83-105,1,M. Harkless makes free throw 2 of 2
4:01.0,J. Richardson makes 2-pt shot from 22 ft (assist by J. Winslow),2,85-105,,
3:43.0,,,85-105,,A. Crabbe misses 2-pt shot from 19 ft
3:43.0,Defensive rebound by U. Haslem,,85-105,,
3:32.0,J. McRoberts misses 2-pt shot from 1 ft,,85-105,,
3:31.0,Offensive rebound by J. McRoberts,,85-105,,
3:31.0,J. McRoberts makes 2-pt shot from 1 ft,2,87-105,,
3:09.0,,,87-105,,Turnover by C. Kaman (bad pass)
3:09.0,,,87-105,,N. Vonleh enters the game for M. Harkless
3:00.0,U. Haslem makes 2-pt shot from 16 ft (assist by J. Richardson),2,89-105,,
2:38.0,,,89-105,,G. Henderson misses 2-pt shot from 3 ft
2:38.0,Defensive rebound by J. Winslow,,89-105,,
2:29.0,U. Haslem misses 3-pt shot from 22 ft,,89-105,,
2:28.0,,,89-105,,Defensive rebound by C. Kaman
2:23.0,,,89-107,2,B. Roberts makes 2-pt shot from 17 ft (assist by G. Henderson)
2:05.0,U. Haslem misses 2-pt shot from 11 ft,,89-107,,
2:04.0,,,89-107,,Defensive rebound by N. Vonleh
2:04.0,,,89-107,,Portland full timeout
2:04.0,,,89-107,,P. Connaughton enters the game for G. Henderson
2:04.0,,,89-107,,L. Montero enters the game for A. Crabbe
1:43.0,,,89-109,2,C. Kaman makes 2-pt shot from 6 ft
1:32.0,Shooting foul by B. Roberts (drawn by J. Richardson),,89-109,,
1:32.0,J. Richardson makes free throw 1 of 2,1,90-109,,
1:32.0,J. Richardson misses free throw 2 of 2,,90-109,,
1:31.0,,,90-109,,Defensive rebound by N. Vonleh
1:12.0,,,90-109,,Shooting foul by J. McRoberts (drawn by N. Vonleh)
1:12.0,,,90-109,,N. Vonleh misses free throw 1 of 2
1:12.0,,,90-109,,Offensive rebound by Team
1:12.0,,,90-110,1,N. Vonleh makes free throw 2 of 2
0:58.0,U. Haslem misses 2-pt shot from 6 ft,,90-110,,
0:56.0,,,90-110,,Defensive rebound by N. Vonleh
0:38.0,,,90-110,,P. Connaughton misses 2-pt shot from 11 ft
0:37.0,Defensive rebound by J. McRoberts,,90-110,,
0:28.0,G. Green makes 3-pt shot from 27 ft (assist by J. McRoberts),3,93-110,,
0:04.0,,,93-110,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
