time,Utah,pts.away,score,pts.home,New York
0:11.0,,,96-97,,New York full timeout
0:11.0,,,96-97,,J. Calderon enters the game for D. Williams
0:11.0,C. Johnson enters the game for T. Lyles,,96-97,,
0:11.0,R. Gobert enters the game for T. Burke,,96-97,,
0:11.0,T. Booker enters the game for J. Ingles,,96-97,,
0:10.0,Personal foul by R. Gobert (drawn by K. Porzingis),,96-97,,
0:10.0,,,96-98,1,K. Porzingis makes free throw 1 of 2
0:10.0,,,96-99,1,K. Porzingis makes free throw 2 of 2
0:10.0,Utah full timeout,,96-99,,
0:10.0,,,96-99,,D. Williams enters the game for J. Calderon
0:10.0,T. Lyles enters the game for R. Gobert,,96-99,,
0:10.0,T. Burke enters the game for T. Booker,,96-99,,
0:10.0,J. Ingles enters the game for C. Johnson,,96-99,,
0:02.0,Shooting foul by K. Porzingis (drawn by G. Hayward),,96-99,,
0:02.0,,,96-99,,R. Lopez enters the game for K. Porzingis
0:02.0,G. Hayward makes free throw 1 of 3,1,97-99,,
0:02.0,G. Hayward makes free throw 2 of 3,1,98-99,,
0:02.0,R. Gobert enters the game for T. Lyles,,98-99,,
0:02.0,T. Booker enters the game for T. Burke,,98-99,,
0:02.0,C. Johnson enters the game for J. Ingles,,98-99,,
0:02.0,G. Hayward makes free throw 3 of 3,1,99-99,,
0:02.0,,,99-99,,New York full timeout
0:01.0,,,99-99,,C. Anthony misses 2-pt shot from 3 ft
0:00.0,,,99-99,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:43.0,Turnover by G. Hayward (bad pass; steal by J. Calderon),,99-99,,
4:19.0,,,99-99,,D. Williams misses 2-pt shot from 21 ft
4:17.0,Defensive rebound by R. Gobert,,99-99,,
4:07.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,101-99,,
3:43.0,,,101-101,2,C. Anthony makes 2-pt shot from 11 ft
3:24.0,Turnover by G. Hayward (traveling),,101-101,,
3:24.0,,,101-101,,A. Afflalo enters the game for J. Calderon
3:11.0,,,101-103,2,L. Galloway makes 2-pt shot from 19 ft
2:49.0,R. Hood makes 2-pt shot from 1 ft,2,103-103,,
2:25.0,,,103-106,3,D. Williams makes 3-pt shot from 23 ft (assist by C. Anthony)
2:06.0,G. Hayward misses 2-pt shot from 6 ft,,103-106,,
2:05.0,,,103-106,,Defensive rebound by C. Anthony
2:04.0,Personal foul by G. Hayward (drawn by C. Anthony),,103-106,,
1:45.0,,,103-108,2,R. Lopez makes 2-pt shot from 4 ft (assist by L. Galloway)
1:27.0,R. Hood makes 2-pt shot from 4 ft,2,105-108,,
1:06.0,,,105-108,,A. Afflalo misses 3-pt shot from 24 ft
1:04.0,,,105-108,,Offensive rebound by D. Williams
1:04.0,,,105-108,,D. Williams misses 2-pt shot from 1 ft
1:02.0,,,105-108,,Offensive rebound by D. Williams
1:01.0,,,105-110,2,D. Williams makes 2-pt shot from 1 ft
1:01.0,,,105-110,,Shooting foul by R. Hood (drawn by D. Williams)
1:01.0,,,105-111,1,D. Williams makes free throw 1 of 1
0:55.0,R. Hood misses 3-pt shot from 23 ft,,105-111,,
0:53.0,Offensive rebound by T. Lyles,,105-111,,
0:53.0,Shooting foul by R. Lopez (drawn by T. Lyles),,105-111,,
0:53.0,T. Lyles misses free throw 1 of 2,,105-111,,
0:53.0,Offensive rebound by Team,,105-111,,
0:53.0,C. Johnson enters the game for T. Burke,,105-111,,
0:53.0,T. Lyles makes free throw 2 of 2,1,106-111,,
0:42.0,,,106-111,,L. Galloway misses 2-pt shot from 1 ft (block by R. Gobert)
0:41.0,,,106-111,,Offensive rebound by R. Lopez
0:41.0,,,106-113,2,R. Lopez makes 2-pt shot at rim
0:41.0,Utah full timeout,,106-113,,
0:41.0,T. Burke enters the game for C. Johnson,,106-113,,
0:38.0,T. Lyles makes 3-pt shot from 23 ft (assist by G. Hayward),3,109-113,,
0:38.0,,,109-113,,New York full timeout
0:38.0,T. Booker enters the game for T. Lyles,,109-113,,
0:38.0,C. Johnson enters the game for T. Burke,,109-113,,
0:37.0,Personal foul by G. Hayward (drawn by C. Anthony),,109-113,,
0:37.0,,,109-114,1,C. Anthony makes free throw 1 of 2
0:37.0,T. Lyles enters the game for T. Booker,,109-114,,
0:37.0,T. Burke enters the game for C. Johnson,,109-114,,
0:37.0,,,109-115,1,C. Anthony makes free throw 2 of 2
0:33.0,G. Hayward makes 2-pt shot from 21 ft,2,111-115,,
0:29.0,,,111-115,,Turnover by L. Galloway (bad pass)
0:29.0,Utah full timeout,,111-115,,
0:21.0,R. Hood misses 3-pt shot from 24 ft,,111-115,,
0:18.0,,,111-115,,Defensive rebound by Team
0:18.0,Jump ball: R. Lopez vs. T. Lyles (D. Williams gains possession),,,,Jump ball: R. Lopez vs. T. Lyles (D. Williams gains possession)
0:16.0,Personal foul by R. Gobert (drawn by D. Williams),,111-115,,
0:16.0,,,111-116,1,D. Williams makes free throw 1 of 2
0:16.0,,,111-116,,D. Williams misses free throw 2 of 2
0:16.0,Defensive rebound by T. Lyles,,111-116,,
0:13.0,Turnover by T. Lyles (bad pass),,111-116,,
0:13.0,C. Johnson enters the game for T. Burke,,111-116,,
0:13.0,T. Booker enters the game for T. Lyles,,111-116,,
0:11.0,Personal take foul by C. Johnson (drawn by L. Galloway),,111-116,,
0:11.0,,,111-117,1,L. Galloway makes free throw 1 of 2
0:11.0,T. Lyles enters the game for T. Booker,,111-117,,
0:11.0,T. Burke enters the game for C. Johnson,,111-117,,
0:11.0,,,111-118,1,L. Galloway makes free throw 2 of 2
0:05.0,R. Hood misses 3-pt shot from 25 ft,,111-118,,
0:04.0,,,111-118,,Defensive rebound by D. Williams
0:00.0,End of 1st overtime,,,,End of 1st overtime
