time,Indiana,pts.away,score,pts.home,Portland
3:25.0,,,109-116,,Defensive rebound by D. Lillard
3:04.0,,,109-118,2,M. Plumlee makes 2-pt shot from 1 ft (assist by A. Aminu)
3:04.0,,,109-118,,Shooting foul by I. Mahinmi (drawn by M. Plumlee)
3:04.0,Indiana full timeout,,109-118,,
3:04.0,,,109-118,,M. Plumlee misses free throw 1 of 1
3:03.0,Defensive rebound by I. Mahinmi,,109-118,,
2:47.0,G. Hill misses 3-pt shot from 24 ft,,109-118,,
2:46.0,,,109-118,,Defensive rebound by A. Aminu
2:32.0,Personal foul by C. Miles (drawn by M. Plumlee),,109-118,,
2:23.0,,,109-118,,A. Crabbe misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by C. Miles,,109-118,,
2:09.0,I. Mahinmi misses 2-pt shot from 15 ft,,109-118,,
2:08.0,Offensive rebound by G. Hill,,109-118,,
2:06.0,G. Hill makes 2-pt shot from 1 ft,2,111-118,,
1:46.0,,,111-120,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
1:35.0,G. Hill misses 2-pt shot from 3 ft,,111-120,,
1:32.0,Offensive rebound by I. Mahinmi,,111-120,,
1:32.0,I. Mahinmi misses 2-pt shot at rim,,111-120,,
1:31.0,,,111-120,,Defensive rebound by M. Plumlee
1:31.0,,,111-120,,Turnover by Team (shot clock)
1:09.0,J. Young enters the game for C. Miles,,111-120,,
1:09.0,L. Allen enters the game for P. George,,111-120,,
1:09.0,G. Robinson enters the game for I. Mahinmi,,111-120,,
1:09.0,C. Budinger enters the game for G. Hill,,111-120,,
1:09.0,S. Hill enters the game for R. Stuckey,,111-120,,
0:54.0,J. Young misses 2-pt shot from 1 ft,,111-120,,
0:53.0,,,111-120,,Defensive rebound by D. Lillard
0:30.0,,,111-123,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
0:21.0,G. Robinson misses 3-pt shot from 24 ft,,111-123,,
0:20.0,,,111-123,,Defensive rebound by C. McCollum
0:00.0,End of 4th quarter,,,,End of 4th quarter
