time,Boston,pts.away,score,pts.home,Miami
1:47.0,A. Johnson enters the game for J. Sullinger,,97-93,,
1:47.0,J. Crowder makes free throw 2 of 2,1,98-93,,
1:33.0,,,98-93,,D. Wade misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by E. Turner,,98-93,,
1:17.0,Boston full timeout,,98-93,,
1:09.0,A. Bradley misses 3-pt shot from 24 ft,,98-93,,
1:08.0,,,98-93,,Defensive rebound by Team
1:08.0,Loose ball foul by A. Johnson (drawn by C. Bosh),,98-93,,
1:00.0,,,98-93,,D. Wade misses 2-pt shot from 7 ft (block by A. Bradley)
0:59.0,Defensive rebound by E. Turner,,98-93,,
0:59.0,,,98-93,,Personal foul by D. Wade (drawn by E. Turner)
0:59.0,E. Turner makes free throw 1 of 2,1,99-93,,
0:59.0,E. Turner misses free throw 2 of 2,,99-93,,
0:58.0,Offensive rebound by E. Turner,,99-93,,
0:38.0,E. Turner makes 2-pt shot from 1 ft,2,101-93,,
0:38.0,,,101-93,,Miami full timeout
0:35.0,,,101-93,,C. Bosh misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by A. Johnson,,101-93,,
0:32.0,,,101-93,,Personal foul by G. Dragic (drawn by E. Turner)
0:32.0,E. Turner makes free throw 1 of 2,1,102-93,,
0:32.0,E. Turner makes free throw 2 of 2,1,103-93,,
0:32.0,,,103-93,,Miami full timeout
0:29.0,,,103-93,,Shooting foul by J. Crowder (drawn by G. Green)
0:29.0,,,103-94,1,G. Green makes free throw 1 of 2
0:29.0,J. Sullinger enters the game for J. Jerebko,,103-94,,
0:29.0,I. Thomas enters the game for A. Johnson,,103-94,,
0:29.0,,,103-95,1,G. Green makes free throw 2 of 2
0:28.0,,,103-95,,Personal foul by J. Winslow (drawn by I. Thomas)
0:28.0,I. Thomas makes free throw 1 of 2,1,104-95,,
0:28.0,A. Johnson enters the game for J. Sullinger,,104-95,,
0:28.0,I. Thomas makes free throw 2 of 2,1,105-95,,
0:17.0,,,105-95,,G. Dragic misses 3-pt shot from 25 ft (block by A. Johnson)
0:16.0,Defensive rebound by I. Thomas,,105-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
