time,Golden State,pts.away,score,pts.home,San Antonio
3:18.0,,,57-54,,D. Green enters the game for K. Leonard
3:18.0,,,57-55,1,P. Mills makes free throw 2 of 2
3:04.0,S. Curry makes 2-pt shot from 13 ft (assist by S. Livingston),2,59-55,,
2:44.0,,,59-55,,M. Ginobili misses 2-pt shot from 15 ft
2:43.0,Defensive rebound by H. Barnes,,59-55,,
2:33.0,Turnover by S. Livingston (lost ball; steal by P. Mills),,59-55,,
2:28.0,,,59-57,2,K. Anderson makes 2-pt shot at rim (assist by D. Green)
2:12.0,S. Curry makes 2-pt shot from 1 ft (assist by S. Livingston),2,61-57,,
2:12.0,Shooting foul by D. Green (drawn by S. Curry),,61-57,,
2:12.0,B. Rush enters the game for H. Barnes,,61-57,,
2:12.0,,,61-57,,D. West enters the game for L. Aldridge
2:12.0,F. Ezeli enters the game for D. Green,,61-57,,
2:12.0,S. Curry makes free throw 1 of 1,1,62-57,,
1:56.0,Personal foul by S. Curry,,62-57,,
1:56.0,,,62-57,,K. Martin enters the game for D. Green
1:53.0,Personal foul by S. Livingston,,62-57,,
1:53.0,,,62-58,1,M. Ginobili makes free throw 1 of 2
1:53.0,,,62-58,,M. Ginobili misses free throw 2 of 2
1:52.0,Defensive rebound by F. Ezeli,,62-58,,
1:38.0,S. Curry misses 2-pt shot from 21 ft,,62-58,,
1:37.0,,,62-58,,Defensive rebound by K. Martin
1:28.0,,,62-58,,P. Mills misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by F. Ezeli,,62-58,,
1:20.0,Turnover by B. Rush (traveling),,62-58,,
1:10.0,,,62-58,,M. Ginobili misses 2-pt shot from 9 ft
1:09.0,Defensive rebound by A. Iguodala,,62-58,,
0:52.0,Turnover by B. Rush (lost ball; steal by M. Ginobili),,62-58,,
0:36.0,,,62-61,3,K. Martin makes 3-pt shot from 22 ft (assist by P. Mills)
0:24.0,B. Rush misses 2-pt shot from 15 ft,,62-61,,
0:23.0,,,62-61,,Defensive rebound by D. West
0:02.0,,,62-61,,P. Mills misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by A. Iguodala,,62-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Shooting foul by B. Marjanovic (drawn by H. Barnes),,62-61,,
11:40.0,H. Barnes makes free throw 1 of 2,1,63-61,,
11:40.0,H. Barnes misses free throw 2 of 2,,63-61,,
11:39.0,,,63-61,,Defensive rebound by K. Anderson
11:27.0,,,63-63,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by M. Ginobili)
11:27.0,,,63-63,,Shooting foul by S. Livingston (drawn by B. Marjanovic)
11:27.0,M. Speights enters the game for F. Ezeli,,63-63,,
11:27.0,,,63-63,,B. Marjanovic misses free throw 1 of 1
11:27.0,Defensive rebound by A. Iguodala,,63-63,,
11:11.0,M. Speights misses 2-pt shot from 15 ft,,63-63,,
11:10.0,,,63-63,,Defensive rebound by B. Marjanovic
