time,Houston,pts.away,score,pts.home,Memphis
1:34.0,,,101-89,,Away from play foul by Z. Randolph (drawn by J. Harden)
1:34.0,,,101-89,,J. Ennis enters the game for T. Allen
1:34.0,,,101-89,,J. Green enters the game for M. Gasol
1:34.0,,,101-89,,E. Williams enters the game for Z. Randolph
1:34.0,C. Capela enters the game for T. Ariza,,101-89,,
1:34.0,M. Harrell enters the game for D. Howard,,101-89,,
1:34.0,M. Thornton enters the game for J. Harden,,101-89,,
1:34.0,C. Brewer enters the game for T. Jones,,101-89,,
1:34.0,J. Harden makes free throw 1 of 1,1,102-89,,
1:22.0,M. Thornton makes 2-pt shot from 10 ft,2,104-89,,
1:12.0,,,104-89,,Turnover by E. Williams (bad pass)
1:01.0,M. Thornton misses 3-pt shot from 27 ft,,104-89,,
1:00.0,,,104-89,,Defensive rebound by M. Chalmers
0:41.0,,,104-89,,J. Ennis misses 3-pt shot from 27 ft
0:40.0,Defensive rebound by P. Beverley,,104-89,,
0:18.0,P. Beverley makes 3-pt shot from 27 ft,3,107-89,,
0:08.0,,,107-91,2,J. Ennis makes 2-pt shot at rim (assist by E. Williams)
0:00.0,End of 4th quarter,,,,End of 4th quarter
