time,Indiana,pts.away,score,pts.home,New Orleans
3:58.0,,,85-82,,T. Evans misses 2-pt shot from 2 ft (block by I. Mahinmi)
3:57.0,Defensive rebound by G. Robinson,,85-82,,
3:48.0,G. Robinson misses 2-pt shot from 5 ft (block by R. Anderson),,85-82,,
3:47.0,,,85-82,,Defensive rebound by A. Ajinca
3:30.0,,,85-82,,R. Anderson misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by M. Ellis,,85-82,,
3:17.0,C. Miles misses 3-pt shot from 24 ft,,85-82,,
3:17.0,,,85-82,,Defensive rebound by A. Ajinca
3:09.0,,,85-82,,Turnover by E. Gordon (traveling)
3:09.0,Indiana full timeout,,85-82,,
3:09.0,G. Hill enters the game for G. Robinson,,85-82,,
2:45.0,M. Ellis makes 2-pt shot from 14 ft,2,87-82,,
2:23.0,,,87-82,,N. Cole enters the game for E. Gordon
2:23.0,Jump ball: A. Ajinca vs. P. George,,,,Jump ball: A. Ajinca vs. P. George
2:17.0,,,87-82,,Shooting foul by G. Hill (drawn by J. Holiday)
2:17.0,,,87-83,1,J. Holiday makes free throw 1 of 2
2:17.0,,,87-84,1,J. Holiday makes free throw 2 of 2
2:03.0,M. Ellis misses 2-pt shot from 16 ft,,87-84,,
2:02.0,Offensive rebound by I. Mahinmi,,87-84,,
1:46.0,C. Miles makes 2-pt shot from 7 ft,2,89-84,,
1:38.0,,,89-86,2,A. Ajinca makes 2-pt shot from 2 ft (assist by J. Holiday)
1:23.0,Turnover by M. Ellis (lost ball; steal by N. Cole),,89-86,,
1:14.0,,,89-86,,Turnover by J. Holiday (lost ball)
0:55.0,Turnover by M. Ellis (lost ball; steal by A. Ajinca),,89-86,,
0:51.0,,,89-86,,New Orleans full timeout
0:51.0,,,89-86,,E. Gordon enters the game for N. Cole
0:42.0,,,89-86,,J. Holiday misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by C. Miles,,89-86,,
0:21.0,M. Ellis misses 2-pt shot from 21 ft,,89-86,,
0:20.0,Offensive rebound by G. Hill,,89-86,,
0:20.0,G. Hill misses 2-pt shot from 1 ft,,89-86,,
0:19.0,,,89-86,,Defensive rebound by T. Evans
0:11.0,,,89-86,,E. Gordon misses 3-pt shot from 24 ft (block by M. Ellis)
0:10.0,Defensive rebound by P. George,,89-86,,
0:06.0,,,89-86,,Personal take foul by R. Anderson (drawn by P. George)
0:06.0,P. George makes free throw 1 of 2,1,90-86,,
0:06.0,P. George makes free throw 2 of 2,1,91-86,,
0:06.0,,,91-86,,New Orleans full timeout
0:04.0,,,91-86,,A. Ajinca misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by M. Ellis,,91-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
