time,Minnesota,pts.away,score,pts.home,Boston
1:39.0,Turnover by N. Bjelica (lost ball; steal by I. Thomas),,49-58,,
1:35.0,,,49-58,,A. Bradley misses 3-pt shot from 25 ft
1:33.0,,,49-58,,Offensive rebound by K. Olynyk
1:29.0,,,49-60,2,I. Thomas makes 2-pt shot from 8 ft (assist by J. Crowder)
1:03.0,N. Bjelica misses 3-pt shot from 26 ft,,49-60,,
1:02.0,,,49-60,,Defensive rebound by I. Thomas
0:55.0,,,49-60,,A. Bradley misses 2-pt shot from 1 ft
0:54.0,,,49-60,,Offensive rebound by A. Bradley
0:53.0,,,49-60,,A. Bradley misses 2-pt shot from 1 ft (block by K. Towns)
0:52.0,Defensive rebound by T. Prince,,49-60,,
0:32.0,T. Prince makes 2-pt shot from 21 ft (assist by N. Bjelica),2,51-60,,
0:10.0,,,51-60,,I. Thomas misses 2-pt shot from 2 ft
0:09.0,Defensive rebound by K. Towns,,51-60,,
0:01.0,Shooting foul by I. Thomas (drawn by R. Rubio),,51-60,,
0:01.0,R. Rubio makes free throw 1 of 3,1,52-60,,
0:01.0,R. Rubio makes free throw 2 of 3,1,53-60,,
0:01.0,R. Rubio misses free throw 3 of 3,,53-60,,
0:01.0,,,53-60,,Defensive rebound by J. Crowder
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,53-62,2,J. Crowder makes 2-pt shot from 20 ft (assist by K. Olynyk)
11:23.0,A. Wiggins makes 2-pt shot from 8 ft,2,55-62,,
11:04.0,,,55-62,,K. Olynyk misses 2-pt shot from 1 ft (block by K. Towns)
11:03.0,,,55-62,,Offensive rebound by D. Lee
11:02.0,,,55-64,2,D. Lee makes 2-pt shot at rim
10:46.0,K. Towns misses 2-pt shot from 3 ft,,55-64,,
10:45.0,,,55-64,,Defensive rebound by K. Olynyk
10:30.0,,,55-64,,Turnover by K. Olynyk (lost ball; steal by G. Dieng)
10:21.0,Turnover by R. Rubio (bad pass; steal by I. Thomas),,55-64,,
10:18.0,,,55-64,,Shooting foul by A. Wiggins (drawn by J. Crowder)
10:18.0,,,55-64,,J. Crowder misses free throw 1 of 2
10:18.0,,,55-64,,Offensive rebound by Team
10:18.0,,,55-64,,J. Crowder misses free throw 2 of 2
10:15.0,,,55-64,,Offensive rebound by Team
10:05.0,,,55-64,,A. Bradley misses 2-pt shot from 22 ft
10:04.0,Defensive rebound by Team,,55-64,,
9:43.0,G. Dieng misses 2-pt shot from 3 ft,,55-64,,
9:42.0,,,55-64,,Defensive rebound by J. Crowder
9:38.0,,,55-64,,Turnover by A. Bradley (lost ball)
9:23.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,57-64,,
9:11.0,,,57-67,3,K. Olynyk makes 3-pt shot from 24 ft (assist by D. Lee)
8:44.0,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Prince),3,60-67,,
8:22.0,,,60-69,2,D. Lee makes 2-pt shot from 15 ft
7:59.0,G. Dieng makes 2-pt shot from 7 ft (assist by K. Towns),2,62-69,,
7:51.0,,,62-69,,I. Thomas misses 2-pt shot at rim
7:50.0,,,62-69,,Offensive rebound by D. Lee
7:50.0,,,62-69,,D. Lee misses 2-pt shot at rim
7:48.0,,,62-69,,Offensive rebound by D. Lee
7:41.0,Personal foul by G. Dieng (drawn by I. Thomas),,62-69,,
7:35.0,,,62-69,,Shooting foul by A. Wiggins (drawn by D. Lee)
7:35.0,,,62-70,1,D. Lee makes free throw 1 of 2
7:35.0,Z. LaVine enters the game for A. Wiggins,,62-70,,
7:35.0,,,62-70,,D. Lee misses free throw 2 of 2
7:35.0,Defensive rebound by G. Dieng,,62-70,,
7:21.0,K. Towns makes 2-pt shot from 1 ft,2,64-70,,
7:17.0,,,64-70,,Turnover by D. Lee (bad pass)
7:00.0,Z. LaVine misses 2-pt shot from 17 ft,,64-70,,
6:59.0,,,64-70,,Defensive rebound by Team
6:59.0,Loose ball foul by K. Towns (drawn by D. Lee),,64-70,,
6:46.0,,,64-72,2,K. Olynyk makes 2-pt shot from 20 ft (assist by I. Thomas)
6:25.0,K. Towns makes 2-pt shot from 5 ft (assist by G. Dieng),2,66-72,,
6:12.0,,,66-72,,A. Bradley misses 3-pt shot from 23 ft
6:11.0,,,66-72,,Offensive rebound by Team
6:08.0,,,66-74,2,K. Olynyk makes 2-pt shot from 18 ft (assist by I. Thomas)
5:48.0,K. Towns makes 2-pt shot from 5 ft (assist by Z. LaVine),2,68-74,,
5:37.0,,,68-76,2,D. Lee makes 2-pt shot at rim (assist by I. Thomas)
5:33.0,Minnesota full timeout,,68-76,,
5:19.0,Z. LaVine misses 3-pt shot from 26 ft,,68-76,,
5:18.0,,,68-76,,Defensive rebound by I. Thomas
5:07.0,,,68-78,2,J. Crowder makes 2-pt shot from 17 ft (assist by I. Thomas)
4:44.0,Offensive foul by G. Dieng,,68-78,,
4:44.0,Turnover by G. Dieng (offensive foul),,68-78,,
4:44.0,S. Muhammad enters the game for K. Towns,,68-78,,
4:34.0,,,68-80,2,D. Lee makes 2-pt shot at rim (assist by I. Thomas)
4:12.0,Z. LaVine misses 2-pt shot from 7 ft (block by A. Bradley),,68-80,,
4:11.0,,,68-80,,Defensive rebound by J. Crowder
4:05.0,,,68-82,2,J. Crowder makes 2-pt shot from 13 ft (assist by I. Thomas)
4:04.0,Minnesota full timeout,,68-82,,
4:04.0,,,68-82,,E. Turner enters the game for I. Thomas
3:44.0,G. Dieng misses 2-pt shot from 1 ft,,68-82,,
3:43.0,,,68-82,,Defensive rebound by K. Olynyk
3:29.0,,,68-82,,K. Olynyk misses 2-pt shot from 8 ft
3:28.0,,,68-82,,Offensive rebound by D. Lee
3:27.0,,,68-82,,D. Lee misses 2-pt shot from 1 ft (block by G. Dieng)
3:24.0,,,68-82,,Offensive rebound by D. Lee
3:23.0,,,68-84,2,D. Lee makes 2-pt shot from 1 ft
3:10.0,,,68-84,,Personal block foul by D. Lee (drawn by R. Rubio)
3:10.0,K. Martin enters the game for T. Prince,,68-84,,
3:10.0,,,68-84,,J. Jerebko enters the game for K. Olynyk
3:04.0,S. Muhammad misses 3-pt shot from 24 ft,,68-84,,
3:03.0,,,68-84,,Defensive rebound by A. Bradley
2:49.0,,,68-84,,Turnover by J. Crowder (offensive foul)
2:49.0,,,68-84,,Offensive foul by J. Crowder
2:49.0,,,68-84,,Boston full timeout
2:49.0,K. Towns enters the game for G. Dieng,,68-84,,
2:49.0,A. Wiggins enters the game for R. Rubio,,68-84,,
2:23.0,K. Martin misses 2-pt shot from 20 ft,,68-84,,
2:22.0,,,68-84,,Defensive rebound by J. Jerebko
2:09.0,,,68-84,,J. Crowder misses 2-pt shot from 20 ft
2:08.0,Defensive rebound by Z. LaVine,,68-84,,
1:56.0,S. Muhammad makes 2-pt shot at rim (assist by K. Towns),2,70-84,,
1:43.0,,,70-84,,A. Bradley misses 3-pt shot from 24 ft
1:40.0,,,70-84,,Offensive rebound by Team
1:40.0,,,70-84,,T. Zeller enters the game for D. Lee
1:40.0,,,70-84,,R. Hunter enters the game for J. Crowder
1:30.0,,,70-86,2,A. Bradley makes 2-pt shot from 20 ft
1:00.0,A. Wiggins misses 3-pt shot from 26 ft,,70-86,,
0:59.0,,,70-86,,Defensive rebound by T. Zeller
0:47.0,,,70-88,2,R. Hunter makes 2-pt shot at rim (assist by J. Jerebko)
0:47.0,Turnover by Z. LaVine (inbound),,70-88,,
0:42.0,,,70-90,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
0:29.0,Z. LaVine makes 2-pt shot from 3 ft,2,72-90,,
0:26.0,,,72-92,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
0:01.0,Z. LaVine misses 3-pt shot from 25 ft,,72-92,,
0:00.0,,,72-92,,Defensive rebound by T. Zeller
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:33.0,Turnover by Team (shot clock),,72-92,,
11:10.0,,,72-92,,E. Turner misses 3-pt shot from 24 ft
11:09.0,,,72-92,,Offensive rebound by T. Zeller
11:07.0,,,72-92,,Turnover by T. Zeller (traveling)
10:59.0,K. Martin misses 2-pt shot from 17 ft (block by R. Hunter),,72-92,,
10:58.0,,,72-92,,Defensive rebound by I. Thomas
10:58.0,Personal foul by A. Miller (drawn by I. Thomas),,72-92,,
10:46.0,,,72-94,2,J. Jerebko makes 2-pt shot at rim (assist by E. Turner)
10:26.0,Turnover by G. Dieng (traveling),,72-94,,
10:14.0,,,72-94,,Turnover by T. Zeller (bad pass; steal by K. Martin)
10:09.0,Turnover by A. Wiggins (lost ball; steal by R. Hunter),,72-94,,
10:08.0,Personal foul by Z. LaVine (drawn by E. Turner),,72-94,,
10:08.0,R. Rubio enters the game for Z. LaVine,,72-94,,
10:08.0,K. Towns enters the game for G. Dieng,,72-94,,
9:53.0,,,72-94,,I. Thomas misses 2-pt shot from 3 ft
9:53.0,Defensive rebound by K. Towns,,72-94,,
9:43.0,R. Rubio makes 2-pt shot from 20 ft (assist by A. Miller),2,74-94,,
9:30.0,,,74-94,,T. Zeller misses 2-pt shot from 3 ft
9:29.0,Defensive rebound by K. Towns,,74-94,,
9:17.0,A. Miller misses 2-pt shot from 7 ft (block by T. Zeller),,74-94,,
9:16.0,Offensive rebound by K. Towns,,74-94,,
9:14.0,K. Towns misses 2-pt shot at rim,,74-94,,
9:12.0,,,74-94,,Defensive rebound by J. Jerebko
9:08.0,,,74-94,,T. Zeller misses 2-pt shot at rim
9:07.0,Defensive rebound by K. Towns,,74-94,,
8:56.0,Shooting foul by R. Hunter (drawn by A. Wiggins),,74-94,,
8:56.0,Official timeout,,74-94,,
8:56.0,D. Rudez enters the game for A. Miller,,74-94,,
8:56.0,A. Wiggins makes free throw 1 of 2,1,75-94,,
8:56.0,A. Wiggins makes free throw 2 of 2,1,76-94,,
8:41.0,,,76-94,,Turnover by R. Hunter (bad pass; steal by R. Rubio)
8:38.0,R. Rubio misses 2-pt shot from 1 ft (block by R. Hunter),,76-94,,
8:38.0,,,76-94,,Defensive rebound by Team
8:21.0,,,76-96,2,T. Zeller makes 2-pt shot from 14 ft (assist by I. Thomas)
7:52.0,A. Wiggins misses 2-pt shot from 4 ft,,76-96,,
7:51.0,,,76-96,,Defensive rebound by T. Zeller
7:43.0,,,76-96,,Turnover by E. Turner (bad pass; steal by K. Towns)
7:37.0,R. Rubio misses 2-pt shot from 17 ft,,76-96,,
7:36.0,,,76-96,,Defensive rebound by T. Zeller
7:35.0,Loose ball foul by R. Rubio (drawn by I. Thomas),,76-96,,
7:30.0,,,76-96,,Turnover by T. Zeller (offensive foul)
7:30.0,,,76-96,,Offensive foul by T. Zeller
7:21.0,Offensive foul by K. Towns,,76-96,,
7:21.0,Turnover by K. Towns (offensive foul),,76-96,,
7:09.0,,,76-96,,R. Hunter misses 3-pt shot from 28 ft
7:08.0,Defensive rebound by A. Wiggins,,76-96,,
6:57.0,A. Wiggins misses 2-pt shot from 3 ft,,76-96,,
6:57.0,Offensive rebound by K. Towns,,76-96,,
6:56.0,,,76-96,,Shooting block foul by T. Zeller (drawn by K. Towns)
6:56.0,K. Towns makes free throw 1 of 2,1,77-96,,
6:56.0,K. Towns makes free throw 2 of 2,1,78-96,,
6:33.0,,,78-96,,T. Zeller misses 2-pt shot from 2 ft
6:32.0,,,78-96,,Offensive rebound by T. Zeller
6:31.0,Violation by K. Towns (def goaltending),,78-96,,
6:31.0,,,78-98,2,T. Zeller makes 2-pt shot at rim
6:20.0,Shooting foul by E. Turner (drawn by A. Wiggins),,78-98,,
6:20.0,A. Wiggins makes free throw 1 of 2,1,79-98,,
6:20.0,Z. LaVine enters the game for K. Martin,,79-98,,
6:20.0,A. Wiggins misses free throw 2 of 2,,79-98,,
6:20.0,,,79-98,,Defensive rebound by I. Thomas
5:54.0,,,79-100,2,E. Turner makes 2-pt shot from 10 ft
5:34.0,K. Towns misses 2-pt shot from 11 ft,,79-100,,
5:33.0,Offensive rebound by K. Towns,,79-100,,
5:32.0,K. Towns makes 2-pt shot from 1 ft,2,81-100,,
