time,Dallas,pts.away,score,pts.home,New Orleans
4:46.0,,,38-39,,J. Holiday misses 2-pt shot from 15 ft
4:46.0,Defensive rebound by C. Villanueva,,38-39,,
4:37.0,,,38-39,,Personal foul by J. Holiday (drawn by D. Harris)
4:27.0,C. Villanueva makes 2-pt shot from 2 ft (assist by C. Parsons),2,40-39,,
4:10.0,,,40-39,,D. Cunningham misses 3-pt shot from 23 ft
4:09.0,Defensive rebound by D. Harris,,40-39,,
3:46.0,C. Villanueva misses 2-pt shot from 13 ft,,40-39,,
3:45.0,,,40-39,,Defensive rebound by R. Anderson
3:34.0,,,40-41,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:33.0,Dallas full timeout,,40-41,,
3:33.0,,,40-41,,T. Evans enters the game for D. Cunningham
3:33.0,,,40-41,,E. Gordon enters the game for J. Holiday
3:24.0,R. Felton misses 3-pt shot from 24 ft,,40-41,,
3:23.0,,,40-41,,Defensive rebound by T. Evans
3:09.0,,,40-43,2,A. Davis makes 2-pt shot from 10 ft (assist by E. Gordon)
2:52.0,D. Harris makes 3-pt shot from 25 ft (assist by R. Felton),3,43-43,,
2:37.0,,,43-46,3,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis)
2:15.0,R. Felton misses 2-pt shot from 1 ft,,43-46,,
2:14.0,,,43-46,,Defensive rebound by R. Anderson
2:04.0,,,43-46,,R. Anderson misses 2-pt shot from 6 ft
2:03.0,Defensive rebound by D. Powell,,43-46,,
1:48.0,C. Parsons makes 2-pt shot from 2 ft (assist by D. Powell),2,45-46,,
1:25.0,,,45-46,,A. Davis misses 2-pt shot from 3 ft
1:24.0,Defensive rebound by C. Parsons,,45-46,,
1:19.0,C. Parsons misses 3-pt shot from 25 ft,,45-46,,
1:17.0,,,45-46,,Defensive rebound by T. Evans
1:14.0,Shooting block foul by C. Parsons (drawn by T. Evans),,45-46,,
1:14.0,,,45-46,,New Orleans full timeout
1:14.0,J. McGee enters the game for C. Villanueva,,45-46,,
1:14.0,J. Barea enters the game for R. Felton,,45-46,,
1:14.0,,,45-46,,D. Cunningham enters the game for N. Cole
1:14.0,,,45-46,,T. Evans misses free throw 1 of 2
1:14.0,,,45-46,,Offensive rebound by Team
1:14.0,,,45-47,1,T. Evans makes free throw 2 of 2
