time,Minnesota,pts.away,score,pts.home,Chicago
5:07.0,,,84-89,,T. Snell misses 2-pt shot from 3 ft
5:06.0,Defensive rebound by K. Towns,,84-89,,
4:54.0,R. Rubio misses 2-pt shot from 1 ft,,84-89,,
4:53.0,,,84-89,,Defensive rebound by J. Butler
4:44.0,,,84-89,,P. Gasol misses 2-pt shot from 19 ft
4:43.0,Defensive rebound by T. Prince,,84-89,,
4:25.0,,,84-89,,Personal foul by J. Butler (drawn by K. Garnett)
4:25.0,K. Garnett misses free throw 1 of 2,,84-89,,
4:25.0,Offensive rebound by Team,,84-89,,
4:25.0,K. Garnett misses free throw 2 of 2,,84-89,,
4:23.0,,,84-89,,Defensive rebound by T. Gibson
4:09.0,,,84-89,,D. Rose misses 2-pt shot from 1 ft
4:08.0,Defensive rebound by A. Wiggins,,84-89,,
4:01.0,T. Prince misses 2-pt shot from 16 ft,,84-89,,
4:01.0,Offensive rebound by Team,,84-89,,
4:01.0,N. Bjelica enters the game for K. Garnett,,84-89,,
3:52.0,K. Towns makes 2-pt shot from 2 ft (assist by N. Bjelica),2,86-89,,
3:36.0,,,86-89,,Turnover by P. Gasol (lost ball; steal by R. Rubio)
3:36.0,Minnesota full timeout,,86-89,,
3:23.0,A. Wiggins misses 2-pt shot from 3 ft (block by J. Butler),,86-89,,
3:20.0,Jump ball: J. Butler vs. A. Wiggins (T. Gibson gains possession),,,,Jump ball: J. Butler vs. A. Wiggins (T. Gibson gains possession)
3:20.0,,,86-89,,Offensive rebound by Team
3:09.0,Personal foul by A. Wiggins (drawn by J. Butler),,86-89,,
2:55.0,,,86-89,,J. Butler misses 3-pt shot from 24 ft
2:55.0,,,86-89,,Offensive rebound by Team
2:55.0,,,86-89,,Turnover by Team (shot clock)
2:55.0,,,86-89,,Chicago full timeout
2:43.0,A. Wiggins misses 2-pt shot from 1 ft,,86-89,,
2:41.0,Offensive rebound by K. Towns,,86-89,,
2:41.0,K. Towns misses 2-pt shot from 1 ft,,86-89,,
2:41.0,,,86-89,,Defensive rebound by D. Rose
2:39.0,Personal foul by N. Bjelica (drawn by J. Butler),,86-89,,
2:31.0,,,86-89,,P. Gasol misses 2-pt shot from 14 ft
2:31.0,Defensive rebound by Team,,86-89,,
2:25.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,88-89,,
2:25.0,Shooting foul by T. Snell (drawn by A. Wiggins),,88-89,,
2:25.0,A. Wiggins misses free throw 1 of 1,,88-89,,
2:23.0,,,88-89,,Defensive rebound by P. Gasol
2:09.0,,,88-89,,D. Rose misses 2-pt shot from 18 ft
2:08.0,Defensive rebound by A. Wiggins,,88-89,,
1:47.0,R. Rubio misses 2-pt shot from 19 ft,,88-89,,
1:46.0,Offensive rebound by R. Rubio,,88-89,,
1:32.0,,,88-89,,Shooting block foul by J. Butler (drawn by N. Bjelica)
1:32.0,N. Bjelica misses free throw 1 of 2,,88-89,,
1:32.0,Offensive rebound by Team,,88-89,,
1:32.0,,,88-89,,N. Mirotic enters the game for T. Gibson
1:32.0,N. Bjelica makes free throw 2 of 2,1,89-89,,
1:11.0,,,89-89,,Shooting foul by K. Towns (drawn by J. Butler)
1:11.0,,,89-90,1,J. Butler makes free throw 1 of 2
1:11.0,,,89-90,,T. Gibson enters the game for N. Mirotic
1:11.0,,,89-90,,J. Noah enters the game for P. Gasol
1:11.0,,,89-91,1,J. Butler makes free throw 2 of 2
1:00.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,91-91,,
0:56.0,,,91-91,,Chicago full timeout
0:56.0,,,91-91,,P. Gasol enters the game for J. Noah
0:56.0,,,91-91,,N. Mirotic enters the game for T. Gibson
0:49.0,,,91-91,,J. Butler misses 2-pt shot from 1 ft
0:48.0,Defensive rebound by N. Bjelica,,91-91,,
0:28.0,T. Prince makes 2-pt shot from 1 ft,2,93-91,,
0:27.0,,,93-91,,Chicago full timeout
0:27.0,K. Garnett enters the game for K. Towns,,93-91,,
0:22.0,,,93-91,,N. Mirotic misses 2-pt shot from 3 ft
0:22.0,,,93-91,,Offensive rebound by P. Gasol
0:22.0,,,93-93,2,P. Gasol makes 2-pt shot from 2 ft
0:22.0,Minnesota full timeout,,93-93,,
0:22.0,,,93-93,,J. Noah enters the game for N. Mirotic
0:22.0,,,93-93,,T. Gibson enters the game for P. Gasol
0:22.0,K. Towns enters the game for K. Garnett,,93-93,,
0:00.0,A. Wiggins misses 2-pt shot from 18 ft,,93-93,,
0:00.0,Offensive rebound by Team,,93-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:39.0,,,93-93,,P. Gasol misses 2-pt shot from 5 ft (block by K. Towns)
4:37.0,Defensive rebound by R. Rubio,,93-93,,
4:18.0,R. Rubio misses 3-pt shot from 25 ft,,93-93,,
4:16.0,Offensive rebound by K. Towns,,93-93,,
4:14.0,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns),2,95-93,,
3:54.0,,,95-93,,D. Rose misses 2-pt shot from 5 ft (block by K. Towns)
3:53.0,Defensive rebound by T. Prince,,95-93,,
3:36.0,Shooting foul by P. Gasol (drawn by R. Rubio),,95-93,,
3:36.0,R. Rubio makes free throw 1 of 2,1,96-93,,
3:36.0,R. Rubio misses free throw 2 of 2,,96-93,,
3:35.0,,,96-93,,Defensive rebound by P. Gasol
3:20.0,,,96-93,,Offensive foul by J. Butler
3:20.0,,,96-93,,Turnover by J. Butler (offensive foul)
2:57.0,K. Towns misses 2-pt shot from 6 ft,,96-93,,
2:55.0,,,96-93,,Defensive rebound by P. Gasol
2:48.0,,,96-93,,N. Mirotic misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by Team,,96-93,,
2:48.0,,,96-93,,T. Gibson enters the game for N. Mirotic
2:33.0,A. Wiggins misses 2-pt shot from 1 ft,,96-93,,
2:32.0,Offensive rebound by K. Towns,,96-93,,
2:32.0,K. Towns makes 2-pt shot from 1 ft,2,98-93,,
2:16.0,,,98-93,,J. Butler misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by Team,,98-93,,
1:56.0,A. Wiggins misses 2-pt shot from 2 ft,,98-93,,
1:55.0,Offensive rebound by K. Towns,,98-93,,
1:55.0,K. Towns misses 2-pt shot at rim,,98-93,,
1:54.0,,,98-93,,Defensive rebound by D. Rose
1:50.0,,,98-93,,Turnover by D. Rose (lost ball)
1:50.0,Minnesota full timeout,,98-93,,
1:50.0,,,98-93,,D. McDermott enters the game for T. Snell
1:30.0,A. Wiggins misses 2-pt shot from 19 ft,,98-93,,
1:29.0,,,98-93,,Defensive rebound by D. McDermott
1:11.0,,,98-93,,D. Rose misses 3-pt shot from 24 ft
1:10.0,,,98-93,,Offensive rebound by T. Gibson
1:07.0,,,98-93,,J. Butler misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by K. Towns,,98-93,,
0:47.0,T. Prince misses 2-pt shot from 15 ft,,98-93,,
0:46.0,Offensive rebound by A. Wiggins,,98-93,,
0:30.0,T. Prince makes 2-pt shot from 1 ft (assist by K. Towns),2,100-93,,
0:30.0,Shooting foul by D. McDermott (drawn by T. Prince),,100-93,,
0:30.0,T. Prince misses free throw 1 of 1,,100-93,,
0:30.0,,,100-93,,Defensive rebound by P. Gasol
0:30.0,,,100-93,,Chicago full timeout
0:28.0,,,100-93,,D. McDermott misses 3-pt shot from 24 ft (block by T. Prince)
0:28.0,,,100-93,,Offensive rebound by Team
0:20.0,,,100-93,,J. Butler misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by N. Bjelica,,100-93,,
0:20.0,,,100-93,,Personal take foul by P. Gasol (drawn by N. Bjelica)
0:20.0,N. Bjelica makes free throw 1 of 2,1,101-93,,
0:20.0,,,101-93,,N. Mirotic enters the game for T. Gibson
0:20.0,N. Bjelica makes free throw 2 of 2,1,102-93,,
0:10.0,,,102-93,,N. Mirotic misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by K. Towns,,102-93,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
