time,New York,pts.away,score,pts.home,San Antonio
2:49.0,C. Anthony makes 2-pt shot from 16 ft,2,89-92,,
2:29.0,Personal foul by C. Anthony (drawn by K. Leonard),,89-92,,
2:29.0,Official timeout,,89-92,,
2:27.0,,,89-92,,M. Ginobili enters the game for J. Simmons
2:24.0,,,89-94,2,M. Ginobili makes 2-pt shot from 1 ft (assist by L. Aldridge)
2:08.0,L. Galloway misses 2-pt shot from 17 ft (block by M. Ginobili),,89-94,,
2:06.0,Offensive rebound by A. Afflalo,,89-94,,
2:03.0,A. Afflalo makes 3-pt shot from 24 ft,3,92-94,,
1:46.0,,,92-96,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
1:27.0,C. Anthony makes 2-pt shot from 14 ft (assist by L. Galloway),2,94-96,,
1:08.0,,,94-98,2,T. Parker makes 2-pt shot from 1 ft (assist by M. Ginobili)
1:08.0,New York full timeout,,94-98,,
1:08.0,K. Porzingis enters the game for R. Lopez,,94-98,,
0:50.0,A. Afflalo makes 3-pt shot from 24 ft,3,97-98,,
0:33.0,,,97-100,2,T. Parker makes 2-pt shot from 9 ft (assist by L. Aldridge)
0:33.0,New York full timeout,,97-100,,
0:32.0,K. Porzingis makes 2-pt shot at rim (assist by A. Afflalo),2,99-100,,
0:16.0,,,99-100,,T. Parker misses 2-pt shot from 20 ft
0:15.0,Defensive rebound by L. Galloway,,99-100,,
0:01.0,J. Calderon misses 3-pt shot from 24 ft,,99-100,,
0:00.0,,,99-100,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
