time,Chicago,pts.away,score,pts.home,Indiana
11:02.0,,,63-60,,Turnover by M. Turner (offensive foul)
11:02.0,,,63-60,,L. Allen enters the game for M. Turner
10:50.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,65-60,,
10:39.0,Personal foul by D. Rose,,65-60,,
10:30.0,Personal foul by B. Portis,,65-60,,
10:23.0,,,65-63,3,P. George makes 3-pt shot from 25 ft (assist by I. Mahinmi)
10:06.0,D. Rose misses 3-pt shot from 26 ft,,65-63,,
10:06.0,,,65-63,,Defensive rebound by P. George
10:01.0,,,65-63,,Turnover by P. George (lost ball; steal by M. Dunleavy)
9:56.0,M. Dunleavy misses 2-pt shot at rim,,65-63,,
9:56.0,,,65-63,,Defensive rebound by P. George
9:48.0,,,65-63,,P. George misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by P. Gasol,,65-63,,
9:28.0,D. Rose makes 2-pt shot from 11 ft (assist by M. Dunleavy),2,67-63,,
9:16.0,,,67-65,2,L. Allen makes 2-pt shot from 18 ft (assist by G. Hill)
8:52.0,P. Gasol misses 2-pt shot from 16 ft (block by I. Mahinmi),,67-65,,
8:51.0,Offensive rebound by J. Butler,,67-65,,
8:48.0,J. Butler misses 2-pt shot from 14 ft,,67-65,,
8:48.0,,,67-65,,Defensive rebound by G. Hill
8:42.0,,,67-65,,Turnover by G. Hill (lost ball; steal by J. Butler)
8:36.0,D. Rose misses 2-pt shot at rim,,67-65,,
8:35.0,,,67-65,,Defensive rebound by L. Allen
8:21.0,,,67-67,2,M. Ellis makes 2-pt shot from 16 ft
8:02.0,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol),2,69-67,,
7:43.0,,,69-67,,Shooting foul by J. Butler (drawn by P. George)
7:43.0,,,69-68,1,P. George makes free throw 1 of 2
7:43.0,,,69-69,1,P. George makes free throw 2 of 2
7:21.0,P. Gasol misses 2-pt shot from 2 ft,,69-69,,
7:21.0,,,69-69,,Defensive rebound by L. Allen
7:12.0,,,69-69,,M. Ellis misses 2-pt shot from 10 ft
7:11.0,,,69-69,,Offensive rebound by L. Allen
7:11.0,,,69-71,2,L. Allen makes 2-pt shot at rim
7:11.0,Chicago full timeout,,69-71,,
6:56.0,J. Butler misses 2-pt shot from 18 ft,,69-71,,
6:56.0,,,69-71,,Defensive rebound by I. Mahinmi
6:50.0,,,69-71,,Shooting foul by J. Butler (drawn by L. Allen)
6:50.0,,,69-71,,L. Allen misses free throw 1 of 2
6:50.0,,,69-71,,Offensive rebound by Team
6:50.0,N. Mirotic enters the game for B. Portis,,69-71,,
6:50.0,E. Moore enters the game for M. Dunleavy,,69-71,,
6:50.0,,,69-72,1,L. Allen makes free throw 2 of 2
6:26.0,Turnover by Team (shot clock),,69-72,,
6:13.0,,,69-72,,P. George misses 2-pt shot from 13 ft
6:12.0,,,69-72,,Offensive rebound by L. Allen
6:12.0,,,69-74,2,L. Allen makes 2-pt shot from 1 ft
5:55.0,D. Rose makes 2-pt shot at rim,2,71-74,,
5:44.0,,,71-76,2,I. Mahinmi makes 2-pt shot at rim
