time,Atlanta,pts.away,score,pts.home,San Antonio
3:41.0,Defensive rebound by T. Hardaway,,78-105,,
3:32.0,J. Holiday makes 3-pt shot from 22 ft (assist by L. Patterson),3,81-105,,
3:04.0,,,81-107,2,D. Green makes 2-pt shot from 10 ft
2:55.0,M. Scott makes 2-pt shot from 3 ft (assist by S. Mack),2,83-107,,
2:29.0,,,83-107,,R. Butler misses 2-pt shot from 4 ft
2:26.0,,,83-107,,Offensive rebound by B. Marjanovic
2:26.0,,,83-107,,Shooting foul by L. Patterson (drawn by B. Marjanovic)
2:26.0,,,83-107,,B. Marjanovic misses free throw 1 of 2
2:26.0,,,83-107,,Offensive rebound by Team
2:26.0,,,83-108,1,B. Marjanovic makes free throw 2 of 2
2:17.0,L. Patterson misses 3-pt shot from 24 ft,,83-108,,
2:16.0,,,83-108,,Defensive rebound by K. Anderson
1:53.0,,,83-108,,J. Simmons misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by L. Patterson,,83-108,,
1:49.0,J. Holiday makes 2-pt shot at rim (assist by L. Patterson),2,85-108,,
1:33.0,,,85-108,,J. Simmons misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by J. Holiday,,85-108,,
1:26.0,T. Hardaway misses 3-pt shot from 23 ft,,85-108,,
1:25.0,Offensive rebound by T. Hardaway,,85-108,,
1:23.0,T. Hardaway misses 3-pt shot from 24 ft (block by R. Butler),,85-108,,
1:22.0,,,85-108,,Defensive rebound by R. Butler
0:58.0,,,85-108,,J. Simmons misses 2-pt shot from 6 ft
0:57.0,,,85-108,,Offensive rebound by D. Green
0:54.0,,,85-108,,D. Green misses 2-pt shot from 14 ft
0:52.0,Defensive rebound by S. Mack,,85-108,,
0:43.0,M. Scott makes 3-pt shot from 24 ft (assist by S. Mack),3,88-108,,
0:21.0,,,88-108,,R. Butler misses 2-pt shot from 13 ft
0:20.0,Defensive rebound by M. Scott,,88-108,,
0:13.0,S. Mack misses 2-pt shot from 4 ft (block by D. Green),,88-108,,
0:12.0,Offensive rebound by S. Mack,,88-108,,
0:07.0,M. Scott misses 3-pt shot from 24 ft,,88-108,,
0:06.0,,,88-108,,Defensive rebound by K. Anderson
0:00.0,End of 4th quarter,,,,End of 4th quarter
