time,Memphis,pts.away,score,pts.home,Houston
0:30.0,,,100-93,2,J. Harden makes 2-pt shot from 1 ft
0:28.0,,,100-93,,Personal take foul by J. Terry (drawn by M. Conley)
0:28.0,M. Chalmers enters the game for T. Allen,,100-93,,
0:27.0,,,100-93,,Personal take foul by J. Harden (drawn by M. Conley)
0:27.0,M. Conley makes free throw 1 of 2,1,101-93,,
0:27.0,T. Allen enters the game for M. Chalmers,,101-93,,
0:27.0,M. Conley makes free throw 2 of 2,1,102-93,,
0:27.0,,,102-93,,Houston full timeout
0:23.0,,,102-93,,Turnover by J. Terry (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
