time,Miami,pts.away,score,pts.home,Sacramento
1:35.0,,,105-102,,Offensive rebound by K. Koufos
1:34.0,,,105-104,2,K. Koufos makes 2-pt shot from 5 ft
1:15.0,J. Johnson makes 2-pt shot from 10 ft,2,107-104,,
1:15.0,,,107-104,,Sacramento full timeout
1:15.0,J. Winslow enters the game for G. Green,,107-104,,
1:09.0,,,107-104,,D. Collison misses 2-pt shot from 14 ft
1:07.0,Defensive rebound by H. Whiteside,,107-104,,
0:46.0,L. Deng makes 3-pt shot from 22 ft (assist by G. Dragic),3,110-104,,
0:46.0,,,110-104,,Sacramento full timeout
0:37.0,,,110-106,2,K. Koufos makes 2-pt shot at rim (assist by S. Curry)
0:18.0,Offensive foul by J. Johnson,,110-106,,
0:18.0,Turnover by J. Johnson (offensive foul),,110-106,,
0:18.0,,,110-106,,Sacramento full timeout
0:11.0,,,110-106,,R. Gay misses 2-pt shot from 4 ft
0:10.0,,,110-106,,Offensive rebound by R. Gay
0:08.0,,,110-106,,R. Gay misses 2-pt shot from 2 ft
0:06.0,,,110-106,,Offensive rebound by K. Koufos
0:06.0,,,110-106,,K. Koufos misses 2-pt shot from 2 ft
0:06.0,Defensive rebound by H. Whiteside,,110-106,,
0:06.0,,,110-106,,Personal foul by R. Gay
0:06.0,Miami full timeout,,110-106,,
0:06.0,J. Richardson enters the game for H. Whiteside,,110-106,,
0:06.0,,,110-106,,J. Anderson enters the game for R. Gay
0:04.0,,,110-106,,Personal take foul by D. Collison
0:04.0,G. Dragic makes free throw 1 of 2,1,111-106,,
0:04.0,G. Dragic makes free throw 2 of 2,1,112-106,,
0:00.0,,,112-106,,D. Collison misses 3-pt shot from 25 ft
0:00.0,,,112-106,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
