time,Charlotte,pts.away,score,pts.home,Brooklyn
2:04.0,,,99-91,,W. Ellington enters the game for M. Brown
1:46.0,K. Walker makes 3-pt shot from 23 ft (assist by J. Lin),3,102-91,,
1:28.0,,,102-91,,J. Johnson misses 2-pt shot from 6 ft
1:27.0,Defensive rebound by M. Williams,,102-91,,
1:14.0,K. Walker misses 3-pt shot from 25 ft,,102-91,,
1:13.0,Offensive rebound by J. Lin,,102-91,,
0:57.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,104-91,,
0:57.0,,,104-91,,Brooklyn full timeout
0:45.0,,,104-93,2,W. Ellington makes 2-pt shot from 2 ft (assist by T. Young)
0:29.0,J. Lin misses 2-pt shot at rim (block by B. Lopez),,104-93,,
0:27.0,,,104-93,,Defensive rebound by J. Johnson
0:19.0,,,104-96,3,W. Ellington makes 3-pt shot from 27 ft (assist by J. Johnson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
