time,Brooklyn,pts.away,score,pts.home,Golden State
6:54.0,,,83-79,,S. Curry misses 2-pt shot from 8 ft
6:52.0,,,83-79,,Offensive rebound by A. Bogut
6:52.0,,,83-79,,A. Bogut misses 2-pt shot from 2 ft
6:50.0,,,83-79,,Offensive rebound by A. Bogut
6:49.0,,,83-79,,Turnover by A. Bogut (bad pass; steal by S. Larkin)
6:46.0,Shooting foul by A. Iguodala (drawn by W. Ellington),,83-79,,
6:46.0,W. Ellington makes free throw 1 of 2,1,84-79,,
6:46.0,,,84-79,,D. Green enters the game for H. Barnes
6:46.0,T. Young enters the game for S. Larkin,,84-79,,
6:46.0,W. Ellington makes free throw 2 of 2,1,85-79,,
6:28.0,,,85-79,,S. Curry misses 3-pt shot from 24 ft
6:27.0,,,85-79,,Offensive rebound by A. Bogut
6:18.0,Personal foul by T. Young (drawn by S. Livingston),,85-79,,
6:03.0,,,85-81,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
5:46.0,J. Jack misses 3-pt shot from 24 ft,,85-81,,
5:45.0,Offensive rebound by B. Lopez,,85-81,,
5:31.0,T. Young misses 2-pt shot from 7 ft,,85-81,,
5:31.0,,,85-81,,Defensive rebound by A. Bogut
5:24.0,,,85-84,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
5:23.0,Brooklyn full timeout,,85-84,,
5:23.0,T. Robinson enters the game for B. Lopez,,85-84,,
5:23.0,,,85-84,,H. Barnes enters the game for A. Bogut
5:16.0,,,85-84,,Personal foul by S. Livingston (drawn by J. Jack)
5:16.0,J. Johnson enters the game for T. Robinson,,85-84,,
5:16.0,R. Hollis-Jefferson enters the game for W. Ellington,,85-84,,
5:03.0,J. Jack misses 2-pt shot from 4 ft (block by D. Green),,85-84,,
5:01.0,Offensive rebound by R. Hollis-Jefferson,,85-84,,
4:58.0,R. Hollis-Jefferson misses 3-pt shot from 25 ft,,85-84,,
4:57.0,,,85-84,,Defensive rebound by D. Green
4:36.0,,,85-86,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
4:14.0,J. Johnson misses 2-pt shot from 20 ft,,85-86,,
4:13.0,,,85-86,,Defensive rebound by S. Curry
4:07.0,,,85-86,,S. Curry misses 2-pt shot from 17 ft
4:06.0,,,85-86,,Offensive rebound by H. Barnes
3:45.0,,,85-88,2,H. Barnes makes 2-pt shot from 15 ft (assist by D. Green)
3:19.0,J. Johnson makes 2-pt shot from 16 ft,2,87-88,,
2:58.0,,,87-88,,S. Livingston misses 2-pt shot at rim
2:57.0,Defensive rebound by R. Hollis-Jefferson,,87-88,,
2:49.0,Turnover by T. Young (traveling),,87-88,,
2:49.0,,,87-88,,Golden State full timeout
2:49.0,B. Lopez enters the game for R. Hollis-Jefferson,,87-88,,
2:49.0,,,87-88,,A. Bogut enters the game for H. Barnes
2:39.0,,,87-90,2,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala)
2:26.0,,,87-90,,Personal foul by D. Green (drawn by B. Lopez)
2:26.0,B. Lopez makes free throw 1 of 2,1,88-90,,
2:26.0,B. Lopez makes free throw 2 of 2,1,89-90,,
2:13.0,,,89-90,,D. Green misses 3-pt shot from 25 ft
2:13.0,,,89-90,,Offensive rebound by Team
2:13.0,Loose ball foul by B. Lopez (drawn by A. Bogut),,89-90,,
2:00.0,,,89-90,,D. Green misses 2-pt shot from 5 ft
1:58.0,,,89-90,,Offensive rebound by D. Green
1:58.0,,,89-90,,D. Green misses 2-pt shot from 2 ft
1:56.0,Defensive rebound by B. Bogdanovic,,89-90,,
1:45.0,Shooting foul by S. Livingston (drawn by J. Jack),,89-90,,
1:45.0,J. Jack makes free throw 1 of 2,1,90-90,,
1:45.0,J. Jack makes free throw 2 of 2,1,91-90,,
1:26.0,,,91-92,2,A. Iguodala makes 2-pt shot from 16 ft
1:16.0,J. Jack makes 2-pt shot from 8 ft,2,93-92,,
1:05.0,,,93-94,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
0:51.0,J. Jack misses 2-pt shot from 16 ft,,93-94,,
0:50.0,Offensive rebound by Team,,93-94,,
0:44.0,B. Lopez misses 2-pt shot from 4 ft,,93-94,,
0:44.0,,,93-94,,Defensive rebound by A. Bogut
0:42.0,,,93-94,,Turnover by A. Bogut (lost ball; steal by T. Young)
